vervallenConcept,vervallenConceptName
http://digitalbuildingdata.tech/nlcs/def/881e102a-8c13-42fb-adf3-75488fec8230,SKL-WTB_HULP_LINT_ANODE_MANTELBUIS-SO
http://digitalbuildingdata.tech/nlcs/def/f7618045-308b-460a-a30e-89a6d3830a3d,V-SKL-WTB_HULP_LINT_ANODE_MANTELBUIS-SO
http://digitalbuildingdata.tech/nlcs/def/e2b10e87-568a-4e60-8877-0f4f74fff13d,AOG-ZONE
http://digitalbuildingdata.tech/nlcs/def/725e9716-6c6a-48a3-b51f-1273ce320c24,SAL-COORDINAAT
http://digitalbuildingdata.tech/nlcs/def/b14d997d-e0bf-4afa-bc5e-a7d36d33c172,B-SVH-KANTOPSLUITING_LEICONBAND_100X300-D
http://digitalbuildingdata.tech/nlcs/def/02677e13-a291-460e-922f-b30796911088,GRENS_KADASTRAAL
http://digitalbuildingdata.tech/nlcs/def/e6abd6a9-f196-4cb6-8a31-21176939ff74,V-KG-KADASTRAAL-SO
http://digitalbuildingdata.tech/nlcs/def/d2129906-05a1-4c14-ada5-d90c3953e0d2,KG-KADASTRAAL-SO
http://digitalbuildingdata.tech/nlcs/def/0513fc71-a5fb-438b-85ee-63932dc500d7,KANTOPSLUITING_ELEMENT_VERLOOPBAND
http://digitalbuildingdata.tech/nlcs/def/f0f8aea3-cb50-4a48-927d-82a4c7635b6a,KANTOPSLUITING_ELEMENT
http://digitalbuildingdata.tech/nlcs/def/8a476ec2-fab9-42a2-97fb-0d3a2ea7a5d2,SVH-KANTOPSLUITING_VERLOOP_40 120X250_130 150X250_RECHTS
http://digitalbuildingdata.tech/nlcs/def/7b0487b4-17b5-4002-a5b2-685ef7ffc94b,SVH-KANTOPSLUITING_VERLOOP_180 200X250_110 220X250_LINKS
http://digitalbuildingdata.tech/nlcs/def/d656c530-78fb-4651-b49a-0281d3cc8f18,SVH-KANTOPSLUITING_VERLOOP_180 200X250_50 200X200_LINKS
http://digitalbuildingdata.tech/nlcs/def/4e4d7020-4773-4e78-b607-116d04f3ca78,SVH-KANTOPSLUITING_VERLOOP_70 120X200_130 150X250_RECHTS
http://digitalbuildingdata.tech/nlcs/def/727d5254-a4fe-4924-ac26-07e2318a9caa,SVH-KANTOPSLUITING_VERLOOP_120X250_130 150X250_RECHTS
http://digitalbuildingdata.tech/nlcs/def/bcfb0130-2045-4e3e-b730-fa80b8ab1cf9,SVH-KANTOPSLUITING_VERLOOP_130 150X250_120X250_RECHTS
http://digitalbuildingdata.tech/nlcs/def/07f974a5-999a-45b5-938d-c694b7dd4169,SVH-KANTOPSLUITING_VERLOOP_100X200_180 200X250_LINKS
http://digitalbuildingdata.tech/nlcs/def/6e29bb7e-bedc-4629-a634-e48fa399e429,SVH-KANTOPSLUITING_VERLOOP_130 150X250_50 200X200_LINKS
http://digitalbuildingdata.tech/nlcs/def/4f2772ad-c554-4b15-b870-c327abd1326a,SVH-KANTOPSLUITING_VERLOOP_70 120X200_130 150X250_LINKS
http://digitalbuildingdata.tech/nlcs/def/e4f59d4a-9f43-44ed-9fed-ef01b4925be7,SVH-KANTOPSLUITING_VERLOOP_180 200X250_110 220X250_RECHTS
http://digitalbuildingdata.tech/nlcs/def/06450822-912e-4c93-b241-a2ab0740edbb,SVH-KANTOPSLUITING_VERLOOP_100X200_130 150X250_LINKS
http://digitalbuildingdata.tech/nlcs/def/959ad962-3d1f-4667-b252-ccc50d43312e,SVH-KANTOPSLUITING_VERLOOP_130 150X250_180 200X250_RECHTS
http://digitalbuildingdata.tech/nlcs/def/9750629f-a5f9-418a-8c2d-8fd59639458f,SVH-KANTOPSLUITING_VERLOOP_130 150X250_110 220X250_RECHTS
http://digitalbuildingdata.tech/nlcs/def/5d4562af-f576-4e97-9cf9-84b1992bbe17,SVH-KANTOPSLUITING_VERLOOP_40 120X250_120X250_RECHTS
http://digitalbuildingdata.tech/nlcs/def/b702ae7a-29c0-4dc1-aa0f-b768855e0c6f,SVH-KANTOPSLUITING_VERLOOP_130 150X250_180 200X250_LINKS
