objectURI,id_nummer,oudLaagnaam,nieuweLaagnaam
http://digitalbuildingdata.tech/nlcs/def/baeae744-5ec3-40eb-b102-4bfc6c80fc1a,3016,*_**_VH_GESLOTENVERHARDING_ASFALT_TUSSENLAAG_1-OPNIEUW STELLEN,*_**_VH_GESLOTENVERHARDING_ASFALT_TUSSENLAAG_1
http://digitalbuildingdata.tech/nlcs/def/d0113c14-9522-4b5e-87c9-b1a63afeef75,3017,*_**_VH_GESLOTENVERHARDING_ASFALT_TUSSENLAAG_2-OPNIEUW STELLEN,*_**_VH_GESLOTENVERHARDING_ASFALT_TUSSENLAAG_2
http://digitalbuildingdata.tech/nlcs/def/cd5ef1cd-d338-4e73-947d-01e1d631d2a6,2498,*_**_VH_FUNDERING_GRANULAAT_MENG_HYDRAULISCH-OPNIEUW STELLEN,*_**_VH_FUNDERING_GRANULAAT_MENG_HYDRAULISCH
http://digitalbuildingdata.tech/nlcs/def/ede142a7-a03d-4a14-a4e8-624948af2656,557,*_**_KG_GRENS-OPNIEUW STELLEN,*_**_KG_GRENS
http://digitalbuildingdata.tech/nlcs/def/655e65cb-c435-4453-802b-817827ac5e5d,598,*_**_KG_GRONDEIGENDOM-OPNIEUW STELLEN,*_**_KG_GRONDEIGENDOM
http://digitalbuildingdata.tech/nlcs/def/6954fa8d-2a24-438b-8004-e0050362c3b8,572,*_**_KG_BEHEERGRENS-OPNIEUW STELLEN,*_**_KG_BEHEERGRENS
http://digitalbuildingdata.tech/nlcs/def/8685ed9f-0d88-417f-8aef-83904715087c,586,*_**_KG_BENOGRENS-OPNIEUW STELLEN,*_**_KG_BENOGRENS
http://digitalbuildingdata.tech/nlcs/def/90f8315b-0865-4168-b9f1-2fead465b60c,611,*_**_KG_KADASTRAAL-OPNIEUW STELLEN,*_**_KG_KADASTRAAL
http://digitalbuildingdata.tech/nlcs/def/68617e07-60b7-4e6e-836d-747cba06c017,593,*_**_KG_GRONDVERWERVING-OPNIEUW STELLEN,*_**_KG_GRONDVERWERVING
http://digitalbuildingdata.tech/nlcs/def/b57161d6-4992-4e02-9a07-90b07e1967b5,579,*_**_KG_ONDERHOUDGRENS-OPNIEUW STELLEN,*_**_KG_ONDERHOUDGRENS
