NLCSArcering,id_nummer,oudeNLCSArceringName,nieuweNLCSArceringName
http://digitalbuildingdata.tech/nlcs/def/2a33bd43-b8d9-491a-a3cc-fc3262162f27,353,AGW-GROND_AFVAL-SOD,AGW-GRONDSOORTEN_AFVAL-SOD
http://digitalbuildingdata.tech/nlcs/def/d1b89c3a-57d9-47e4-bb92-19c858c17896,355,AGW-GROND_KERNMATERIAAL-SOD,AGW-GRONDSOORTEN_KERNMAT-SOD
http://digitalbuildingdata.tech/nlcs/def/81af6441-2bc2-4aca-86b6-848970942b9a,359,AGW-GROND_STEEN-SOD,AGW-GRONDSOORTEN_STEEN-SOD
http://digitalbuildingdata.tech/nlcs/def/32b65b76-27e8-45b2-8014-70afd7953db6,155,AVH-FUNDERING_GRANULAAT_LAVA-SOD,AVH-FUNDERING_GRAN_LAVA-SOD
http://digitalbuildingdata.tech/nlcs/def/f6064f26-06b8-4605-a92c-a254f54f232a,152,AVH-FUNDERING_GRANULAAT-SOD,AVH-FUNDERING_GRAN-SOD
http://digitalbuildingdata.tech/nlcs/def/b70a981f-6005-4d8e-b2e2-ebdf9824e8aa,72,AGW-GROND_VEEN-SO,AGW-GRONDSOORTEN_VEEN-SO
http://digitalbuildingdata.tech/nlcs/def/a07275fc-8ef1-48cd-9ea5-dcea648c8eaa,77,AGW-GROND_KERNMATERIAAL-SO,AGW-GRONDSOORTEN_KERNMAT-SO
http://digitalbuildingdata.tech/nlcs/def/47639c3d-cfd5-4abe-ba70-201e27d250eb,357,AGW-GROND_SLIB-SOD,AGW-GRONDSOORTEN_SLIB-SOD
http://digitalbuildingdata.tech/nlcs/def/1cfddb70-1ea4-4181-acb8-bdebe7dccfd8,76,AGW-GROND_AFVAL-SO,AGW-GRONDSOORTEN_AFVAL-SO
http://digitalbuildingdata.tech/nlcs/def/34bce621-225d-47cc-b436-36b2322be985,361,AGW-GROND_VEEN-SOD,AGW-GRONDSOORTEN_VEEN-SOD
