"FASE","sBIB","SYMBOOL","SYMBOOL_alt","ID","opt","STATUS","VRKL_KORT","VRKL_LANG"
"B","SVH","B-SVH-DREMPEL_PREFAB_2400X750_RUITPROFIEL_LINKS","SVH:B-SVH-DREMPEL_PREFAB_2400X750_RUITPROFIEL_LINK","1151","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_1200X1000_RUITPROFIEL","SVH:V-SVH-DREMPEL_PREFAB_1200X1000_RUITPROFIE","2204","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_1750X500","SVH:T-SVH-DREMPEL_PREFAB_1750X50","2176","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_2400X1200_RUITPROFIEL","SVH:SVH-DREMPEL_PREFAB_2400X1200_RUITPROFIE","1185","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_GUMACON","SVH:SVH-DREMPEL_PREFAB_GUMACO","3192","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_2400X1000_RUITPROFIEL","SVH:SVH-DREMPEL_PREFAB_2400X1000_RUITPROFIE","1183","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_2400X500_RUITPROFIEL","SVH:SVH-DREMPEL_PREFAB_2400X500_RUITPROFIE","1187","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_1500X1200","SVH:SVH-DREMPEL_PREFAB_1500X120","1170","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_1500X600","SVH:SVH-DREMPEL_PREFAB_1500X60","1172","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_2400X750_RUITPROFIEL_LINKS","SVH:SVH-DREMPEL_PREFAB_2400X750_RUITPROFIEL_LINK","1192","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_1200X500","SVH:SVH-DREMPEL_PREFAB_1200X50","1168","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_2400X750_RUITPROFIEL_RECHTS","SVH:SVH-DREMPEL_PREFAB_2400X750_RUITPROFIEL_RECHT","1193","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_1000X600","SVH:SVH-DREMPEL_PREFAB_1000X60","1164","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_3000X500","SVH:SVH-DREMPEL_PREFAB_3000X50","1195","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_1750X1000_RECHTS","SVH:SVH-DREMPEL_PREFAB_1750X1000_RECHT","1178","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_1000X600_RUITPROFIEL","SVH:SVH-DREMPEL_PREFAB_1000X600_RUITPROFIE","1165","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_1750X500","SVH:SVH-DREMPEL_PREFAB_1750X50","1180","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_4000X500","SVH:SVH-DREMPEL_PREFAB_4000X50","1197","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_BUS_RECHTS","SVH:SVH-DREMPEL_PREFAB_BUS_RECHT","1202","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_BUS_LINKS","SVH:SVH-DREMPEL_PREFAB_BUS_LINK","1201","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_1750X1000","SVH:SVH-DREMPEL_PREFAB_1750X100","1176","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_900X500","SVH:SVH-DREMPEL_PREFAB_900X50","1199","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_4200X1000","SVH:SVH-DREMPEL_PREFAB_4200X100","1198","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_2400X750_LINKS","SVH:SVH-DREMPEL_PREFAB_2400X750_LINK","1190","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_2400X600_RUITPROFIEL","SVH:SVH-DREMPEL_PREFAB_2400X600_RUITPROFIE","1189","","*","",""
"","SVH","SVH-DREMPEL_PREFAB_BUS","SVH:SVH-DREMPEL_PREFAB_BU","1200","","*","",""
