"lijnkleurURI,""id"",""fase"",""nummer"",""hex"",""R"",""G"",""B"",""optie"""
"http://digitalbuildingdata.tech/nlcs/def/0be2cba4-4adc-4f65-9340-6db66d5d1a1c,""159"",""19"",""59"",""#4F4F35"",""79"",""79"",""53"","""""
"http://digitalbuildingdata.tech/nlcs/def/6bbb1a7d-0338-4dd1-b39c-bbd661a341c5,""160"",""10"",""60"",""#BFFF00"",""191"",""255"",""0"",""AK"""
"http://digitalbuildingdata.tech/nlcs/def/350a99d9-34d1-48c8-be71-69fe94ff6dfe,""161"",""11"",""61"",""#EAFFAA"",""234"",""255"",""170"","""""
"http://digitalbuildingdata.tech/nlcs/def/8ac360e2-0d4a-46d7-a55d-302b5efa76b0,""162"",""12"",""62"",""#8DBD00"",""141"",""189"",""0"",""AK"""
"http://digitalbuildingdata.tech/nlcs/def/fc0d00e2-412d-4cda-b523-5fa034a73588,""163"",""13"",""63"",""#ADBD7E"",""173"",""189"",""126"","""""
"http://digitalbuildingdata.tech/nlcs/def/19b6acd6-8493-4d1c-a6ba-09dd265a9cfd,""164"",""14"",""64"",""#608100"",""96"",""129"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/50c8b1fd-73d9-4ed9-94c0-f67d757c0ecb,""165"",""15"",""65"",""#768156"",""118"",""129"",""86"","""""
"http://digitalbuildingdata.tech/nlcs/def/3abf352f-65be-4fb4-9df1-24cd2bf528a8,""166"",""16"",""66"",""#4E6800"",""78"",""104"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/2f44d7f7-3a87-4f15-aa2e-9e6417beddb6,""167"",""17"",""67"",""#5F6845"",""95"",""104"",""69"","""""
"http://digitalbuildingdata.tech/nlcs/def/89d96236-3913-49b0-88d9-454b6e0a6409,""168"",""18"",""68"",""#3B4F00"",""59"",""79"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/c5d1554a-7f9f-482e-b9cb-8ceaeba6f79d,""169"",""19"",""69"",""#494F35"",""73"",""79"",""53"","""""
"http://digitalbuildingdata.tech/nlcs/def/d591c043-9feb-4af9-aec1-1097803d6da1,""170"",""10"",""70"",""#7FFF00"",""127"",""255"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/731cf924-930f-47f4-a7b4-3f29238f0963,""171"",""11"",""71"",""#D4FFAA"",""212"",""255"",""170"","""""
"http://digitalbuildingdata.tech/nlcs/def/d52b2709-faf8-4da2-af08-6c85e2524d21,""172"",""12"",""72"",""#5EBD00"",""94"",""189"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/67918a8f-4e30-43ac-b0a8-e5dc73cdbdb2,""173"",""13"",""73"",""#9DBD7E"",""157"",""189"",""126"","""""
"http://digitalbuildingdata.tech/nlcs/def/79ebf4b1-d338-44c0-a960-0b1f4b644399,""174"",""14"",""74"",""#408100"",""64"",""129"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/845d51ee-538c-49c4-bd35-cdbb4adac839,""175"",""15"",""75"",""#6B8156"",""107"",""129"",""86"","""""
"http://digitalbuildingdata.tech/nlcs/def/f879c4c1-c6f0-498f-8cb3-544e8a069d7d,""176"",""16"",""76"",""#346800"",""52"",""104"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/0d851d6b-abf3-4859-8ece-ade5426c4b87,""177"",""17"",""77"",""#566845"",""86"",""104"",""69"","""""
"http://digitalbuildingdata.tech/nlcs/def/d5e16dfa-ef71-4d62-9e52-0fd11e16709e,""178"",""18"",""78"",""#274F00"",""39"",""79"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/3cb07d21-9dd3-47b9-b246-e47e5624844c,""179"",""19"",""79"",""#424F35"",""66"",""79"",""53"","""""
"http://digitalbuildingdata.tech/nlcs/def/e1f7576b-1af1-444e-9dc1-472a69383549,""180"",""10"",""80"",""#3FFF00"",""63"",""255"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/55600c4a-54b2-443c-a53b-23c4d813f7a4,""181"",""11"",""81"",""#BFFFAA"",""191"",""255"",""170"","""""
"http://digitalbuildingdata.tech/nlcs/def/dfc14e0f-4fa4-4e0b-98e5-49e68b468fed,""182"",""12"",""82"",""#2EBD00"",""46"",""189"",""0"","""""
