"mappingElement,""gwswStelselType"",""gwswType"",""nlcsObject"",""nlcsObjectName"",""nlcsSymbool"",""nlcsSymbolName"""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/f077eba8-0a0a-46ea-8373-d2fbf6f0191f,""http://data.gwsw.nl/1.6/totaal/Drainagestelsel"",""http://data.gwsw.nl/1.6/totaal/Vuilwaterriool"",""http://digitalbuildingdata.tech/nlcs/def/eac0d419-f850-4c8b-9dfb-8bf9f0db9e66"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/e982a5ed-6e9b-4934-a2b5-e2c512437f48,""http://data.gwsw.nl/1.6/totaal/Vuilwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/Straatkolk"",""http://digitalbuildingdata.tech/nlcs/def/8bbcc643-6f54-4259-adbc-7a751c5cdceb"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/b787bb8e-fa48-46b0-86b8-42d7fea1f9e6,""http://data.gwsw.nl/1.6/totaal/Persleidingsysteem"",""http://data.gwsw.nl/1.6/totaal/Stuwput"",""http://digitalbuildingdata.tech/nlcs/def/5c774b88-87a0-4285-8699-daff8f1ae296"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/4a24771a-c241-46b9-a6ff-548ed70de112,""http://data.gwsw.nl/1.6/totaal/GemengdStelsel"",""http://data.gwsw.nl/1.6/totaal/Perceelaansluitleiding"",""http://digitalbuildingdata.tech/nlcs/def/7936aeff-ab52-456e-98f0-1f1b3342a1dd"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/d9b6318b-65b1-4017-89e8-cc8f7e81abbd,""http://data.gwsw.nl/1.6/totaal/Duikerstelsel"",""http://data.gwsw.nl/1.6/totaal/Opvangput"",""http://digitalbuildingdata.tech/nlcs/def/7632c2a8-ecfe-4bb0-a4c0-80a40888f89a"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/76c4517b-6ffb-4460-95a7-ba6e0c36e959,""http://data.gwsw.nl/1.6/totaal/GemengdStelsel"",""http://data.gwsw.nl/1.6/totaal/Beerput"",""http://digitalbuildingdata.tech/nlcs/def/61815ff3-60fb-405f-bc9c-f8223cd62272"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/5ff8bcbe-9e81-49fe-998f-16dfd6c3e222,""http://data.gwsw.nl/1.6/totaal/Hemelwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/Brandput"",""http://digitalbuildingdata.tech/nlcs/def/4a4e0491-d0ae-4fec-9b8d-32835ebe6b36"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/fb205b70-db62-415a-abcd-96dd28afe729,""http://data.gwsw.nl/1.6/totaal/Infiltratiestelsel"",""http://data.gwsw.nl/1.6/totaal/VrijvervalLeidingsegment"",""http://digitalbuildingdata.tech/nlcs/def/7ed42126-2ef7-4c25-ae23-e5cdac7290bc"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/a0b5205d-a10f-4b46-a897-f698c146bccc,""http://data.gwsw.nl/1.6/totaal/Hemelwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/VerdieptePut"",""http://digitalbuildingdata.tech/nlcs/def/4a4e0491-d0ae-4fec-9b8d-32835ebe6b36"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/5b579b04-b131-4714-ab6f-ad2e3934d1f3,""http://data.gwsw.nl/1.6/totaal/Drainagestelsel"",""http://data.gwsw.nl/1.6/totaal/LozeLeiding"",""http://digitalbuildingdata.tech/nlcs/def/639feee5-5bb9-4a9c-b6c0-229c15c68e08"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/6d4fc6fa-f28b-4889-8d8f-7870eeafa970,""http://data.gwsw.nl/1.6/totaal/Persleidingsysteem"",""http://data.gwsw.nl/1.6/totaal/Leidingsegment"",""http://digitalbuildingdata.tech/nlcs/def/705a8d37-14d4-4320-9036-1a1d8b77db14"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/ced89e38-6e9f-4598-bb3c-078bc72e47bf,""http://data.gwsw.nl/1.6/totaal/GemengdStelsel"",""http://data.gwsw.nl/1.6/totaal/Leidingsegment"",""http://digitalbuildingdata.tech/nlcs/def/705a8d37-14d4-4320-9036-1a1d8b77db14"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/bae23003-4a0b-4b6e-b77b-2971e1e0b573,""http://data.gwsw.nl/1.6/totaal/Persleidingsysteem"",""http://data.gwsw.nl/1.6/totaal/BlindePut"",""http://digitalbuildingdata.tech/nlcs/def/cc878310-5886-4dab-9a5b-914812cf2c76"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/e6a44872-39b5-416f-ac78-82ebd0ccb94d,""http://data.gwsw.nl/1.6/totaal/Persleidingsysteem"",""http://data.gwsw.nl/1.6/totaal/Zinkerput"",""http://digitalbuildingdata.tech/nlcs/def/cc878310-5886-4dab-9a5b-914812cf2c76"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/40ca2f7c-c7d4-469a-98f0-949de0170464,""http://data.gwsw.nl/1.6/totaal/Infiltratiestelsel"",""http://data.gwsw.nl/1.6/totaal/RioolputMetGeleiding"",""http://digitalbuildingdata.tech/nlcs/def/f19102cc-19ee-4726-bd16-b9afb6d2abd1"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/0e2b604e-9647-4e39-960a-256c0624d159,""http://data.gwsw.nl/1.6/totaal/Drainagestelsel"",""http://data.gwsw.nl/1.6/totaal/Taludgoot"",""http://digitalbuildingdata.tech/nlcs/def/701fabfe-f496-4f63-b764-186b095d171d"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/b172585b-51cd-4b37-8501-9970ecf879d3,""http://data.gwsw.nl/1.6/totaal/Persleidingsysteem"",""http://data.gwsw.nl/1.6/totaal/VerbeterdeOverstortput"",""http://digitalbuildingdata.tech/nlcs/def/cc878310-5886-4dab-9a5b-914812cf2c76"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/0e3774be-0a8f-42c6-94c1-ae8ae2809ee1,""http://data.gwsw.nl/1.6/totaal/GemengdStelsel"",""http://data.gwsw.nl/1.6/totaal/ReinigendePut"",""http://digitalbuildingdata.tech/nlcs/def/1e8c5556-7c7c-4a1d-bf1e-66db371ee81b"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/14975ba8-b8de-43d9-89a9-f61a0bd74374,""http://data.gwsw.nl/1.6/totaal/Persleidingsysteem"",""http://data.gwsw.nl/1.6/totaal/Persleiding"",""http://digitalbuildingdata.tech/nlcs/def/705a8d37-14d4-4320-9036-1a1d8b77db14"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/a3453fc0-8c4b-4d12-a2b3-c9b78ebdd326,""http://data.gwsw.nl/1.6/totaal/Duikerstelsel"",""http://data.gwsw.nl/1.6/totaal/Kruisingsput"",""http://digitalbuildingdata.tech/nlcs/def/6f8537d3-442e-4f76-b217-98604636609e"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/07013a42-8b5b-4994-8e26-2e427cf2004b,""http://data.gwsw.nl/1.6/totaal/Drainagestelsel"",""http://data.gwsw.nl/1.6/totaal/Werveloverstortput"",""http://digitalbuildingdata.tech/nlcs/def/f19102cc-19ee-4726-bd16-b9afb6d2abd1"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/1a18098b-7219-4555-8928-d586d9b5313f,""http://data.gwsw.nl/1.6/totaal/Vuilwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/VerholenGoot"",""http://digitalbuildingdata.tech/nlcs/def/527140a5-d8d3-4e5e-bdd9-dad2322d9321"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/128d7ce1-fcc9-440c-926c-858caa0d5ea3,""http://data.gwsw.nl/1.6/totaal/Hemelwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/Drain"",""http://digitalbuildingdata.tech/nlcs/def/412c49b3-657f-44ec-8ea3-1ac29f1d1f43"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/1806ba18-5b30-4892-a92c-3aaf67df97d5,""http://data.gwsw.nl/1.6/totaal/Duikerstelsel"",""http://data.gwsw.nl/1.6/totaal/GeboordeLeiding"",""http://digitalbuildingdata.tech/nlcs/def/e8cbb681-e3da-408f-8ca2-0e53d0663802"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/fdc2fe19-4087-4140-8494-218387464310,""http://data.gwsw.nl/1.6/totaal/Duikerstelsel"",""http://data.gwsw.nl/1.6/totaal/Infiltratieriool"",""http://digitalbuildingdata.tech/nlcs/def/8fee24c2-10d8-46f6-9592-1775c52bcb32"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/ac9ba291-9968-47e3-a431-bf6075688117,""http://data.gwsw.nl/1.6/totaal/Vuilwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/Roostergoot"",""http://digitalbuildingdata.tech/nlcs/def/ed616b3c-7364-4411-9691-1a798edff003"","""","""","""""
