symboolURI,id,sbibliotheek,sbibliotheekURI,fase,symbool,optie,fileURL
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/4d440f22-390f-4f04-aedf-45fbeb0caff1,4017.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-HALFVERHARDING_GRIND_01_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-HALFVERHARDING_GRIND_01_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d7e4893c-2a21-44e9-b61e-6177a2c68701,4018.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-HALFVERHARDING_GRIND_02_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-HALFVERHARDING_GRIND_02_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/9cf2ab7d-b70b-4d02-9abe-53511fd9e940,4019.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-HALFVERHARDING_SCHELPEN_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-HALFVERHARDING_SCHELPEN_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7a8be940-39c7-4f8a-8c00-09a8b0d42669,402.0,SGR,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/5e1a4fd3-ed90-42b7-b26b-690189aa9f55,V,V-SGR-BOOM_40,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SGR/V-SGR-BOOM_40.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/1cf8a7c4-792c-41e1-a760-55f724f74273,4020.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-HOUTSNIPPERS_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-HOUTSNIPPERS_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/a648e47e-43ac-4d1f-a880-96c5938a00fc,4021.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-HSTEEN_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-HSTEEN_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/a067e5fd-45f4-498d-bdcc-e162fa21d768,4022.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-KALKZANDSTEEN-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-KALKZANDSTEEN-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/74a0909b-0c72-43c8-bec6-36fea52f1597,4023.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-KALKZANDSTEEN_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-KALKZANDSTEEN_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/6bcbd521-19bd-4f2c-97fa-3414f3211fce,4024.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-METSELWERK_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-METSELWERK_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/028746b0-1979-47fd-9e8c-b016450e51ae,4025.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-NATUURSTEEN_01_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-NATUURSTEEN_01_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/fdfe232f-116c-4818-b4e0-2c84e7618297,4026.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-NATUURSTEEN_02_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-NATUURSTEEN_02_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/3f821434-8acc-4adb-b2fb-b8133171d477,4027.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-NATUURSTEEN_KINDERKOP_HALFST_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-NATUURSTEEN_KINDERKOP_HALFST_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/fc642cfa-77c6-49d3-b100-a3f789afa385,4028.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-NATUURSTEEN_LOSVERBAND_01_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-NATUURSTEEN_LOSVERBAND_01_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/abdc9a2f-804c-440f-86f8-1383294b456b,4029.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-NATUURSTEEN_LOSVERBAND_02_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-NATUURSTEEN_LOSVERBAND_02_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/671e058c-063b-4c8a-987e-2f5f7db56e37,403.0,SGR,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/5e1a4fd3-ed90-42b7-b26b-690189aa9f55,V,V-SGR-BOOM_41,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SGR/V-SGR-BOOM_41.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/b2869891-b42c-43bd-9e15-f908a80e371b,4030.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-PLANKEN_01_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-PLANKEN_01_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/6601a870-bb9f-4784-965a-5e8d463de788,4031.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-PLANKEN_02_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-PLANKEN_02_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/6926ced1-57e0-4b60-b812-b114ce7c585b,4032.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-PUINVERHARDING_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-PUINVERHARDING_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/b6f2d4dd-4fb9-4022-80f7-7d3a55b61071,4033.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-ROOSTER_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-ROOSTER_KL-SO.dwg
