"FASE","BIB","SYMBOOL","ID"
"","SVH","SVH-KANTOPSLUITING_GAZONBAND_200X150-D","2351"
"","SVH","SVH-KANTOPSLUITING_GAZONBAND_200X200-D","2352"
"","SVH","SVH-KANTOPSLUITING_GAZONBAND_60X200-D","2353"
"","SVH","SVH-KANTOPSLUITING_GAZONBAND_120X250-D","2349"
"","SVH","SVH-KANTOPSLUITING_GAZONBAND_100X300-D","2347"
"","SVH","SVH-KANTOPSLUITING_GAZONBAND_80X200-D","2354"
"","SVH","SVH-KANTOPSLUITING_GAZONBAND_100X150-D","2345"
"","SVH","SVH-KANTOPSLUITING_OPSLUITBAND_200X300-D","2378"
"B","SVH","B-SVH-KANTOPSLUITING_SCHEIDINGSBAND_230 460X450-D","3414"
"","SVH","SVH-KANTOPSLUITING_HOEKSTUK_UITWENDIG_180 200X400","1279"
"","SVH","SVH-KANTOPSLUITING_AMSTELBAND_200X360-D","2426"
"B","SVH","B-SVH-KANTOPSLUITING_STOOTBAND_250X250-D","2498"
"B","SVH","B-SVH-KANTOPSLUITING_SCHEIDINGSBAND_130 470X280-D","3398"
"","SVH","SVH-KANTOPSLUITING_TROTTOIRBAND_ZOABBAND_180 200-D","2429"
"","SVH","SVH-KANTOPSLUITING_VERLOOP_130 150X250_180 200X250_RECHTS","1294"
"","SVH","SVH-KANTOPSLUITING_VERLOOP_180 200X250_40 120X250_LINKS","1299"
"B","SVH","B-SVH-KANTOPSLUITING_GELEIDEBAND_100_300X200-D","3444"
"B","SVH","B-SVH-KANTOPSLUITING_PLAKBAND_130 150X110-D","2480"
"","SVH","SVH-KANTOPSLUITING_OPSLUITBAND_150X250-D","2374"
"","SVH","SVH-KANTOPSLUITING_ASFALTBAND_50X200X250-D","2344"
"B","SVH","B-SVH-KANTOPSLUITING_SCHEIDINGSBAND_300X200-D","3241"
"","SVH","SVH-KANTOPSLUITING_SCHEIDINGSBAND_110 250X200-D","3393"
"B","SVH","B-SVH-KANTOPSLUITING_OPSLUITBAND_150X250-D","2463"
"","SVH","SVH-KANTOPSLUITING_SCHEIDINGSBAND_200 400X500-D","3405"
"","SVH","SVH-KANTOPSLUITING_HAVENBAND_400X400-D","2427"
"B","SVH","B-SVH-KANTOPSLUITING_SCHEIDINGSBAND_470 500X200-D","3422"
"","SVH","SVH-KANTOPSLUITING_VERLOOP_120X250_130 150X250_RECHTS","1288"
"B","SVH","B-SVH-KANTOPSLUITING_PLAKBAND_130 150X140-D","2482"
"B","SVH","B-SVH-KANTOPSLUITING_TROTTOIRBAND_180 200X160-D","2504"
"","SVH","SVH-KANTOPSLUITING_SCHEIDINGSBAND_220 440X160-D","3409"
"B","SVH","B-SVH-KANTOPSLUITING_OPSLUITBAND_300X250-D","2468"
"","SVH","SVH-KANTOPSLUITING_VERLOOP_180 200X250_50 200X200_RECHTS","1302"
"","SVH","SVH-KANTOPSLUITING_HOEKSTUK_UITWENDIG_70X200","1281"
"","SVH","SVH-KANTOPSLUITING_STOOTBAND_150X200-D","2407"
