"symboolURI,""id"",""sbibliotheek"",""sbibliotheekURI"",""fase"",""symbool"",""optie"",""fileURL"""
"http://digitalbuildingdata.tech/nlcs/def/330a0d61-2531-4841-92e3-801ffcbb7c3c,"""",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""V"",""V-SRI-PUT_DEKSEL_OVERIG_01-SO"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/V-SRI-PUT_DEKSEL_OVERIG_01-SO.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/c1d4c848-467b-42b7-bdcb-8af3db5bf947,"""",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""V"",""V-SRI-PUT_INSPECTIE_01-SO"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/V-SRI-PUT_INSPECTIE_01-SO.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/c8f349c9-52d5-4d45-b857-38e5b0ffc324,"""",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""V"",""V-SRI-PUT_DRAIN_01-SO"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/V-SRI-PUT_DRAIN_01-SO.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/994ecbc8-a40e-49d4-8ff3-52acd87336cb,"""",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""V"",""V-SRI-PUT_DEKSEL_ITR_01-SO"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/V-SRI-PUT_DEKSEL_ITR_01-SO.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/04847784-81f2-40a1-b48c-bda95a715c51,"""",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""B"",""B-SRI-KOLK_TEGELPAD-SO"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/B-SRI-KOLK_TEGELPAD-SO.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/f664b851-0776-467d-a14f-26278c260149,"""",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""V"",""V-SRI-PUT_POMPPUT_01-SO"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/V-SRI-PUT_POMPPUT_01-SO.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/30ed948a-bc1f-4176-a6ea-c61fd33dd3cd,"""",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""V"",""V-SRI-PUT_DEKSEL_DWA-SO"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/V-SRI-PUT_DEKSEL_DWA-SO.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/3324a9b1-c733-455e-a002-aff51b995692,"""",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""V"",""V-SRI-PUT_DEKSEL_OVERIG-SO"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/V-SRI-PUT_DEKSEL_OVERIG-SO.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/a4f123b4-1d51-4ad7-866a-9dbab57b4eb7,"""",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""V"",""V-SRI-PUT_DEKSEL-SO"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/V-SRI-PUT_DEKSEL-SO.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/45e44c4d-8478-42af-9558-2876ac890cc2,"""",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""B"",""B-SRI-PUT_POMPPUT_01-SO"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/B-SRI-PUT_POMPPUT_01-SO.dwg"""
