nlcs_term;nlcs_name;imbor_term;imbor_name;imbor_definition
http://digitalbuildingdata.tech/nlcs/term/21b09190-b54e-4492-937d-f0385a3ccd8c;GEWAPEND;https://data.crow.nl/imbor/term/72be8dbe-1e60-4340-9e81-044f80239529;Gewapend beton;Beton waarin een versterkende constructie, vaak in de vorm van een metalen raster, is aangebracht.
http://digitalbuildingdata.tech/nlcs/term/21b09190-b54e-4492-937d-f0385a3ccd8c;GEWAPEND;https://data.crow.nl/imbor/term/529e7f65-884f-49af-89a5-98fcd05addef;Gewapend beton;Beton waarin een versterkende constructie is aangebracht.
http://digitalbuildingdata.tech/nlcs/term/c0756e0f-ea8f-46b6-a006-5f8c13fce7b4;KOPERSLAK;https://data.crow.nl/imbor/term/971ba4ec-334d-40c8-aa46-59e9c9e816d8;Koperslak;Gebakken klinkers uit natuursteen met een afmeting van 16x16x16cm.
http://digitalbuildingdata.tech/nlcs/term/87e19e34-6c5b-4128-b606-993e24597db5;DIJKPAAL;https://data.crow.nl/imbor/term/a62b8e1a-0d98-4098-bfe9-b4e7ae4058d9;Dijkpaal;Een markant punt of paal op de waterkering of op het strand dat dient als referentiepunt voor afstandsaanduidingen.
http://digitalbuildingdata.tech/nlcs/term/78223dbd-1f67-412c-ba9a-68cf963fc483;PAAL;https://data.crow.nl/imbor/term/323bc423-c1f2-4e71-94c8-7296b84c21dc;Paal;Langwerpig stuk hout, ijzer, steen enz., dat in de grond staat.
http://digitalbuildingdata.tech/nlcs/term/38f406f0-93c9-4e47-a647-a9bc60897842;BOLDER;https://data.crow.nl/imbor/term/a3a873eb-164e-41dc-9514-eaa7f00bbfcc;Bolder;Een vaak cilindrisch constructiedeel van een waterbouwkundige constructie voor het bevestigen van scheepstrossen.
http://digitalbuildingdata.tech/nlcs/term/0c805bfd-0c7e-4100-a6f8-281fbacd0bdc;IE;https://data.crow.nl/imbor/term/008b200e-8750-43f2-a8e5-4a2f8cb33fb6;Meubilair;Beheeromgeving voor het registreren en inwinnen van gegevens, het beheren en inspecteren van verkeers- en straatmeubilair in de openbare ruimte.
http://digitalbuildingdata.tech/nlcs/term/c3825382-12c0-4084-a13a-a0e3a684b770;LICHTKOKER;https://data.crow.nl/imbor/term/9a861f6c-ea8c-424e-99e3-b3a6d00feda9;Faunavoorziening;Voorzieningen die geschikt zijn om diersoorten te beschermen. Denk hierbij aan faunatunnels, -goten, -duikers, etc.
http://digitalbuildingdata.tech/nlcs/term/6096cd1b-cfc7-4518-9f3b-8e3fc7013efa;FAUNAVOORZIENING;https://data.crow.nl/imbor/term/9a861f6c-ea8c-424e-99e3-b3a6d00feda9;Faunavoorziening;Voorzieningen die geschikt zijn om diersoorten te beschermen. Denk hierbij aan faunatunnels, -goten, -duikers, etc.
http://digitalbuildingdata.tech/nlcs/term/5c4bede9-2949-45d6-b959-9863429af7c7;GRONDDAM;https://data.crow.nl/imbor/term/9a861f6c-ea8c-424e-99e3-b3a6d00feda9;Faunavoorziening;Voorzieningen die geschikt zijn om diersoorten te beschermen. Denk hierbij aan faunatunnels, -goten, -duikers, etc.
