nlcs_term;nlcs_name
http://digitalbuildingdata.tech/nlcs/term/bce93444-a4c5-4b2b-8be2-c040a078d0a0;STADSPLATTEGROND
http://digitalbuildingdata.tech/nlcs/term/13817cab-e714-479d-b7f5-f85c00dd54b7;WILDRICHEL
http://digitalbuildingdata.tech/nlcs/term/ef51c379-4690-43ed-bcbb-491c0784d175;GRONDSPOT
http://digitalbuildingdata.tech/nlcs/term/7c30a251-c591-4990-907e-4e6b6eb419d9;VOORDE
http://digitalbuildingdata.tech/nlcs/term/bb636098-e816-45b8-b74d-fa9acaaaa6d6;FLYOVER
http://digitalbuildingdata.tech/nlcs/term/f3352aa4-8e6f-42c6-8625-43d9ab259015;HERDENKINGSMONUMENT
http://digitalbuildingdata.tech/nlcs/term/bc841af2-9de7-44aa-88ba-24855f9e81c6;SCHIJNWERPER
http://digitalbuildingdata.tech/nlcs/term/5e8ff510-a2e5-492e-aca6-0901d545b2de;NAALD
http://digitalbuildingdata.tech/nlcs/term/a4b4ba18-31a6-4a54-930c-55cb0977e7c8;RIET
http://digitalbuildingdata.tech/nlcs/term/10f2cf02-ff30-4755-b34c-f160ba6e00be;DRINKBAK
http://digitalbuildingdata.tech/nlcs/term/176bd85b-b45e-41d5-89ec-4a0fe10a7982;BOOMTEELT
http://digitalbuildingdata.tech/nlcs/term/ddb37468-f692-49d4-8987-1ab5872f96e5;TELEFOONCEL
http://digitalbuildingdata.tech/nlcs/term/fe844750-065a-488f-8dff-c66ec3edf699;BOMENGROND
http://digitalbuildingdata.tech/nlcs/term/fe7aad87-dac2-4657-9b9b-27cd6dbc0626;SOORTAANDUIDING
http://digitalbuildingdata.tech/nlcs/term/e118e644-7d4b-4d47-ba3c-318f6d2cbcda;DAMWAND
http://digitalbuildingdata.tech/nlcs/term/888573be-4ce0-489f-8a0a-c8fb210e78d4;SCHANSKORVEN
http://digitalbuildingdata.tech/nlcs/term/1629fcbd-ea58-4b92-aa31-fd3c54086c45;AFVAL APART PLAATS
http://digitalbuildingdata.tech/nlcs/term/84e98318-817f-4891-b21e-859068177bfd;OPEN VEGETATIE
http://digitalbuildingdata.tech/nlcs/term/79e03054-611c-4362-b563-397a47a545e8;KUNSTSTOF
http://digitalbuildingdata.tech/nlcs/term/4005ec82-4d19-4331-963f-73d2ddee2c9b;RECLAMEZUIL
http://digitalbuildingdata.tech/nlcs/term/7f0f704b-ba8f-4e16-8f39-e03b86ae41b5;TERUGKEERVOORZIENING
http://digitalbuildingdata.tech/nlcs/term/ef901216-4766-49bc-80be-03cedc4c1fcf;STOOTBAND
http://digitalbuildingdata.tech/nlcs/term/1b94838d-fbec-48d7-92cb-39239a3cb5cf;PERKOENPALENRIJ
http://digitalbuildingdata.tech/nlcs/term/f08fb491-943d-44b0-8488-e3fa0559365e;HEKWERK
http://digitalbuildingdata.tech/nlcs/term/f69b2a8f-bd10-42c8-b774-5c6237d4c8e2;PIJLER
http://digitalbuildingdata.tech/nlcs/term/9639aeea-608a-4955-a19b-313b71941608;PEUKENPAAL
http://digitalbuildingdata.tech/nlcs/term/d8d1f060-06be-4f3c-8064-68f80c734efa;MENG
http://digitalbuildingdata.tech/nlcs/term/02dcde06-138e-4e66-afb2-4c530a06ee63;KUNSTOBJECT
http://digitalbuildingdata.tech/nlcs/term/d2badf43-05d3-43ff-bd3b-95ffa40d39a7;PICKNICKSET
http://digitalbuildingdata.tech/nlcs/term/b2b1e532-177a-471a-a079-dc68e99a6c08;AFMEERCONSTRUCTIE
http://digitalbuildingdata.tech/nlcs/term/f61f1340-9300-41d4-b6d0-994723a7b5db;BERM
http://digitalbuildingdata.tech/nlcs/term/26e959fe-9474-439d-bf77-23bd7345c6d7;GAZON
http://digitalbuildingdata.tech/nlcs/term/bf596550-58ca-44c3-8cb7-d54d1e7e6460;RASTER
