searchterm,symboolURI,id,sbibliotheek,sbibliotheekURI,fase,symbool,finalCleanName,optie,fileURL
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/c73ada3f-4188-4292-b508-fdcc7411aa9f,1015,SRI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d78f17a-dc19-433f-924b-fa44e60d9558,,SRI-PUT_VACUUM-SO,SRI-PUT_VACUUM,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/SRI-PUT_VACUUM-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/514c2ebe-9a0a-4f41-8abd-7c2ddb5c422b,1016,SRI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d78f17a-dc19-433f-924b-fa44e60d9558,,SRI-PUT_VALPUT-SO,SRI-PUT_VALPUT,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/SRI-PUT_VALPUT-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/456bf034-05a5-49e0-ba66-ef5995e4d941,1018,SRI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d78f17a-dc19-433f-924b-fa44e60d9558,,SRI-PUTDEKSELHOOGTE-SO,SRI-PUTDEKSELHOOGTE,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/SRI-PUTDEKSELHOOGTE-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/0a1c68a1-7f51-4cfc-90b6-1f3d8816070c,1019,SRI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d78f17a-dc19-433f-924b-fa44e60d9558,,SRI-PUTNUMMER-SO,SRI-PUTNUMMER,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/SRI-PUTNUMMER-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/84eb6533-6054-43ac-9c8b-30b552279ac8,102,SZZ,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/075221b4-87a6-41f7-9e7e-757a73d40f27,,SZZ-HOOGTELABEL_04-SO,SZZ-HOOGTELABEL_04,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SZZ/SZZ-HOOGTELABEL_04-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/8589c8b0-f7b5-411f-811d-96b2c456809f,1020,SRI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d78f17a-dc19-433f-924b-fa44e60d9558,,SRI-STROOMRICHTING-SO,SRI-STROOMRICHTING,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/SRI-STROOMRICHTING-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/da1e212d-d9f4-46d7-b58e-317cdba2051a,1021,SOG,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/971459e0-bead-43d5-881b-ec725ab8a0e3,,SOG-TANK_SEPTIC-SO,G-TANK_SEPTIC-,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SOG/SOG-TANK_SEPTIC-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/07853449-5e75-4e35-b2e3-3ca80834e7bd,1022,SRI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d78f17a-dc19-433f-924b-fa44e60d9558,,SRI-UITLAATCONSTRUCTIE_UITSTROOMBAK-SO,SRI-UITLAATCONSTRUCTIE_UITSTROOMBAK,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/SRI-UITLAATCONSTRUCTIE_UITSTROOMBAK-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/301bea76-f7ac-4d3c-9b3f-1dd69e0d42a1,1023,SRI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d78f17a-dc19-433f-924b-fa44e60d9558,V,V-SRI-AFSCHEIDER_IBA-SO,SRI-AFSCHEIDER_IBA,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/V-SRI-AFSCHEIDER_IBA-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/b698657d-eb5b-4ee4-9b7a-33a9909e05db,1024,SRI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d78f17a-dc19-433f-924b-fa44e60d9558,V,V-SRI-AFSCHEIDER_OLIE_BENZINE-SO,SRI-AFSCHEIDER_OLIE_BENZINE,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/V-SRI-AFSCHEIDER_OLIE_BENZINE-SO.dwg
