"omschrijving,""status"",""underscore"",""discipline"",""underscore2"",""hoofdgroep"",""underscore3"",""object"",""underscore4"",""subobject01"",""underscore5"",""subobject02"",""underscore6"",""subobject03"",""underscore7"",""subobject04"",""underscore8"",""subobject05"",""streepje"",""bewerking"",""streepje2"",""schaal"",""aobject"",""sobject"",""laagnaam"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""vrkl_kort"",""vrkl_lang"",""id_nummer"",""kind_van"",""objectURI"",""kind_vanURI"""
"FAUNAPASSAGE_HOPOVER,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""90"",""90"",""90"",""80"",""253"",""CONTINUOUS"",""0.35"",""90"",""90"",""90"",""80"",""253"",""CONTINUOUS"",""0.35"",""90"",""90"",""90"",""80"",""253"",""V-CONTINUOUS-SO"",""0.25"",""90"",""90"",""90"",""80"",""253"",""CONTINUOUS"","""","""",""253"",""244"",""http://digitalbuildingdata.tech/nlcs/def/2fb2348d-e62c-4a0c-8366-4ce835de15d7"",""http://digitalbuildingdata.tech/nlcs/def/20a05b01-0167-48bb-8953-7b4f53d92ab0"""
"FAUNAPASSAGE_AMFIBIEENTUNNEL,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""90"",""90"",""90"",""80"",""253"",""CONTINUOUS"",""0.35"",""90"",""90"",""90"",""80"",""253"",""CONTINUOUS"",""0.35"",""90"",""90"",""90"",""80"",""253"",""V-CONTINUOUS-SO"",""0.25"",""90"",""90"",""90"",""80"",""253"",""CONTINUOUS"","""","""",""251"",""244"",""http://digitalbuildingdata.tech/nlcs/def/f12845f2-e0c4-49b7-8719-ba29b464f78a"",""http://digitalbuildingdata.tech/nlcs/def/20a05b01-0167-48bb-8953-7b4f53d92ab0"""
"FAUNAPASSAGE_FAUNATUNNEL,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""90"",""90"",""90"",""80"",""253"",""CONTINUOUS"",""0.35"",""90"",""90"",""90"",""80"",""253"",""CONTINUOUS"",""0.35"",""90"",""90"",""90"",""80"",""253"",""V-CONTINUOUS-SO"",""0.25"",""90"",""90"",""90"",""80"",""253"",""CONTINUOUS"","""","""",""249"",""244"",""http://digitalbuildingdata.tech/nlcs/def/566a9fdb-a8d3-4bf7-8e08-a701d2c29226"",""http://digitalbuildingdata.tech/nlcs/def/20a05b01-0167-48bb-8953-7b4f53d92ab0"""
"FAUNAPASSAGE_ECODUIKER,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""90"",""90"",""90"",""80"",""253"",""CONTINUOUS"",""0.35"",""90"",""90"",""90"",""80"",""253"",""CONTINUOUS"",""0.35"",""90"",""90"",""90"",""80"",""253"",""V-CONTINUOUS-SO"",""0.25"",""90"",""90"",""90"",""80"",""253"",""CONTINUOUS"","""","""",""248"",""244"",""http://digitalbuildingdata.tech/nlcs/def/4cf11c6c-1a60-4946-b8f8-27f0ebd92ec9"",""http://digitalbuildingdata.tech/nlcs/def/20a05b01-0167-48bb-8953-7b4f53d92ab0"""
"FAUNAPASSAGE_VIADUCT,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""90"",""90"",""90"",""80"",""253"",""CONTINUOUS"",""0.35"",""90"",""90"",""90"",""80"",""253"",""CONTINUOUS"",""0.35"",""90"",""90"",""90"",""80"",""253"",""V-CONTINUOUS-SO"",""0.25"",""90"",""90"",""90"",""80"",""253"",""CONTINUOUS"","""","""",""246"",""244"",""http://digitalbuildingdata.tech/nlcs/def/50ce97db-7545-4931-8c69-b1e23c7993b7"",""http://digitalbuildingdata.tech/nlcs/def/20a05b01-0167-48bb-8953-7b4f53d92ab0"""
"FAUNAPASSAGE_WILDRICHEL,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""80"",""80"",""80"",""80"",""253"",""CONTINUOUS"",""0.35"",""80"",""80"",""80"",""80"",""253"",""CONTINUOUS"",""0.35"",""80"",""80"",""80"",""80"",""253"",""V-CONTINUOUS-SO"",""0.35"",""80"",""80"",""80"",""80"",""253"",""CONTINUOUS"","""","""",""2881"",""244"",""http://digitalbuildingdata.tech/nlcs/def/b4ed4347-73df-4758-8988-12665e5d2eb9"",""http://digitalbuildingdata.tech/nlcs/def/20a05b01-0167-48bb-8953-7b4f53d92ab0"""
"ECOLOGISCHEVERBINDINGSZONE_CORRIDOR_NAT,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"",""0.35"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"",""0.35"",""80"",""82"",""80"",""80"",""253"",""V-CONTINUOUS-SO"",""0.25"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"","""","""",""239"",""238"",""http://digitalbuildingdata.tech/nlcs/def/36e8eb0d-9615-48cd-bf79-404d9d67bce6"",""http://digitalbuildingdata.tech/nlcs/def/1ff74d5e-10fb-4269-8793-35cfb8e5c3be"""
"ECOLOGISCHEVERBINDINGSZONE_CORRIDOR_DROOG,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"",""0.35"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"",""0.35"",""80"",""82"",""80"",""80"",""253"",""V-CONTINUOUS-SO"",""0.25"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"","""","""",""240"",""238"",""http://digitalbuildingdata.tech/nlcs/def/4639b8af-7836-48c7-accf-9c4dbb4e3935"",""http://digitalbuildingdata.tech/nlcs/def/1ff74d5e-10fb-4269-8793-35cfb8e5c3be"""
"ECOLOGISCHEVERBINDINGSZONE_ROBUUST_NAT,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"",""0.35"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"",""0.35"",""80"",""82"",""80"",""80"",""253"",""V-CONTINUOUS-SO"",""0.25"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"","""","""",""236"",""235"",""http://digitalbuildingdata.tech/nlcs/def/70950e17-7383-47c0-b069-2971b34d4c20"",""http://digitalbuildingdata.tech/nlcs/def/62bd344a-4b93-42e6-b7ff-0930db182f0f"""
"ECOLOGISCHEVERBINDINGSZONE_ROBUUST_DROOG,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"",""0.35"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"",""0.35"",""80"",""82"",""80"",""80"",""253"",""V-CONTINUOUS-SO"",""0.25"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"","""","""",""237"",""235"",""http://digitalbuildingdata.tech/nlcs/def/871e849f-162d-44de-b6d2-e0bdae360bd8"",""http://digitalbuildingdata.tech/nlcs/def/62bd344a-4b93-42e6-b7ff-0930db182f0f"""
