sbibliotheek,symbool,fase,id,optie,fileURL
SIE,V-SIE-MEUBILAIR_BORD_DSI-SO,,4219,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_BORD_DSI-SO.dwg
SIE,V-SIE-MEUBILAIR_BORD_INFORMATIE-SO,,4220,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_BORD_INFORMATIE-SO.dwg
SIE,V-SIE-MEUBILAIR_BORD_LOCATIEPAAL-SO,,4221,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_BORD_LOCATIEPAAL-SO.dwg
SIE,V-SIE-MEUBILAIR_BORD_STRAATNAAMBORD_MODEL_PAAL-SO,,4225,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_BORD_STRAATNAAMBORD_MODEL_PAAL-SO.dwg
SIE,V-SIE-MEUBILAIR_BORD_STRAATNAAMBORD_MODEL-SO,,4226,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_BORD_STRAATNAAMBORD_MODEL-SO.dwg
SIE,V-SIE-MEUBILAIR_BORD_STRAATNAAMBORD-SO,,4227,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_BORD_STRAATNAAMBORD-SO.dwg
SIE,V-SIE-MEUBILAIR_BORD_VERKEERSBORD_MODEL_PAAL-SO,,4228,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_BORD_VERKEERSBORD_MODEL_PAAL-SO.dwg
SIE,V-SIE-MEUBILAIR_BORD_VERKEERSBORD_MODEL-SO,,4229,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_BORD_VERKEERSBORD_MODEL-SO.dwg
SIE,V-SIE-MEUBILAIR_BORD_VERKEERSBORD-SO,,4230,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_BORD_VERKEERSBORD-SO.dwg
SIE,V-SIE-MEUBILAIR_BORD_WAARSCHUWINGSHEK-SO,,4231,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_BORD_WAARSCHUWINGSHEK-SO.dwg
SIE,V-SIE-MEUBILAIR_BORD_WEGWIJZER-SO,,4232,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_BORD_WEGWIJZER-SO.dwg
SIE,V-SIE-MEUBILAIR_BORD-SO,,4233,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_BORD-SO.dwg
SIE,V-SIE-MEUBILAIR_FIETSENREK-SO,,4234,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_FIETSENREK-SO.dwg
SIE,V-SIE-MEUBILAIR_FIETSKLEM-SO,,4235,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_FIETSKLEM-SO.dwg
SIE,V-SIE-MEUBILAIR_FIETSTROMMEL-SO,,4236,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_FIETSTROMMEL-SO.dwg
SIE,V-SIE-MEUBILAIR_GELEIDECONSTRUCTIE-SO,,4237,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_GELEIDECONSTRUCTIE-SO.dwg
SIE,V-SIE-MEUBILAIR_HOOGTEMERK-SO,,4238,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_HOOGTEMERK-SO.dwg
SIE,V-SIE-MEUBILAIR_KAST_CAI-SO,,4239,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_KAST_CAI-SO.dwg
SIE,V-SIE-MEUBILAIR_KAST_ELEKTRA-SO,,4240,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_KAST_ELEKTRA-SO.dwg
SIE,V-SIE-MEUBILAIR_KAST_GAS-SO,,4241,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_KAST_GAS-SO.dwg
SIE,V-SIE-MEUBILAIR_KAST_GMS-SO,,4242,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_KAST_GMS-SO.dwg
SIE,V-SIE-MEUBILAIR_KAST_OV-SO,,4243,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_KAST_OV-SO.dwg
SIE,V-SIE-MEUBILAIR_KAST_RIOOL-SO,,4244,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_KAST_RIOOL-SO.dwg
SIE,V-SIE-MEUBILAIR_KAST_TEL-SO,,4245,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_KAST_TEL-SO.dwg
SIE,V-SIE-MEUBILAIR_KAST_TELECOM-SO,,4246,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_KAST_TELECOM-SO.dwg
SIE,V-SIE-MEUBILAIR_KAST_VRI-SO,,4247,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_KAST_VRI-SO.dwg
SIE,V-SIE-MEUBILAIR_KAST-SO,,4248,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_KAST-SO.dwg
SIE,V-SIE-MEUBILAIR_LICHTPUNT-SO,,4249,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_LICHTPUNT-SO.dwg
SIE,V-SIE-MEUBILAIR_MAST_BOVENLEIDING-SO,,4250,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_MAST_BOVENLEIDING-SO.dwg
SIE,V-SIE-MEUBILAIR_MAST_LAAGSPANNING-SO,,4251,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_MAST_LAAGSPANNING-SO.dwg
SIE,V-SIE-MEUBILAIR_MAST_RADAR-SO,,4252,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_MAST_RADAR-SO.dwg
SIE,V-SIE-MEUBILAIR_MAST_STRAALZENDER-SO,,4253,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_MAST_STRAALZENDER-SO.dwg
SIE,V-SIE-MEUBILAIR_MAST_ZEND-SO,,4254,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_MAST_ZEND-SO.dwg
SIE,V-SIE-MEUBILAIR_MAST-SO,,4255,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_MAST-SO.dwg
SIE,V-SIE-MEUBILAIR_PAAL_AFSLUITPAAL-SO,,4256,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_PAAL_AFSLUITPAAL-SO.dwg
SIE,V-SIE-MEUBILAIR_PAAL_DIJKPAAL-SO,,4257,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_PAAL_DIJKPAAL-SO.dwg
SIE,V-SIE-MEUBILAIR_PAAL_DRUKKNOPPAAL-SO,,4258,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_PAAL_DRUKKNOPPAAL-SO.dwg
SIE,V-SIE-MEUBILAIR_PAAL_GRENSMARKERING-SO,,4259,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_PAAL_GRENSMARKERING-SO.dwg
SIE,V-SIE-MEUBILAIR_PAAL_HALTEPAAL-SO,,4260,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_PAAL_HALTEPAAL-SO.dwg
SIE,V-SIE-MEUBILAIR_PAAL_HECTOMETER-SO,,4261,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_PAAL_HECTOMETER-SO.dwg
SIE,V-SIE-MEUBILAIR_PAAL_POLLER-SO,,4262,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_PAAL_POLLER-SO.dwg
SIE,V-SIE-MEUBILAIR_PAAL_PORTAAL-SO,,4263,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_PAAL_PORTAAL-SO.dwg
SIE,V-SIE-MEUBILAIR_PAAL_PRAATPAAL-SO,,4264,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_PAAL_PRAATPAAL-SO.dwg
SIE,V-SIE-MEUBILAIR_PAAL_SIRENE-SO,,4265,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_PAAL_SIRENE-SO.dwg
SIE,V-SIE-MEUBILAIR_PAAL_TEL-SO,,4266,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_PAAL_TEL-SO.dwg
SIE,V-SIE-MEUBILAIR_PAAL_VERKEERSBORDPAAL-SO,,4267,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_PAAL_VERKEERSBORDPAAL-SO.dwg
SIE,V-SIE-MEUBILAIR_PAAL_VLAGGENMAST-SO,,4268,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_PAAL_VLAGGENMAST-SO.dwg
SIE,V-SIE-MEUBILAIR_PAAL_VRI-SO,,4269,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_PAAL_VRI-SO.dwg
SIE,V-SIE-MEUBILAIR_PAAL-SO,,4270,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_PAAL-SO.dwg
SIE,V-SIE-MEUBILAIR_PICKNICKSET-SO,,4271,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_PICKNICKSET-SO.dwg
SIE,V-SIE-MEUBILAIR_PUT_BRANDKRAAN-SO,,4272,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_PUT_BRANDKRAAN-SO.dwg
SIE,V-SIE-MEUBILAIR_PUT_BRANDSTOFPUT-SO,,4273,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_PUT_BRANDSTOFPUT-SO.dwg
SIE,V-SIE-MEUBILAIR_PUT_DRAINAGEPUT-SO,,4274,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_PUT_DRAINAGEPUT-SO.dwg
