symboolURI;id;sbibliotheek;sbibliotheekURI;fase;symbool;optie;fileURL
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/9265d949-fc35-4020-a1ea-5c97061c16c2;;SKL;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/af14b1c9-452b-4cea-9f13-a9b9921c9163;;SKL-KB_DRAINAGE-SO;SO;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/SKL-KB_DRAINAGE-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7095fdd7-eb96-4d8a-b43f-30f229ccbb67;;SKL;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/af14b1c9-452b-4cea-9f13-a9b9921c9163;;SKL-KB_DRAINAGE_DC-SO;SO;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/SKL-KB_DRAINAGE_DC-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/970ae48b-3d56-42fd-938e-5067e944210e;;SKL;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/af14b1c9-452b-4cea-9f13-a9b9921c9163;;SKL-AANLEGTECHNIEK_INTREDEPUNT-SO;SO;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/SKL-AANLEGTECHNIEK_INTREDEPUNT-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/78ff3fc1-8df0-4247-bb99-de45d9465b16;;SVH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093;;SVH-TEGEL_300X150_DIK_BLOK-SO;SO;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/SVH-TEGEL_300X150_DIK_BLOK-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/6d9033fb-5640-4daa-ab32-13132677546c;;SKL;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/af14b1c9-452b-4cea-9f13-a9b9921c9163;;SKL-KB_GELIJKRICHTER-SO;SO;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/SKL-KB_GELIJKRICHTER-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/55b87d2c-22b4-4c10-9134-09b81129e4fe;;SKL;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/af14b1c9-452b-4cea-9f13-a9b9921c9163;;SKL-KB_DRAINAGE_AC-SO;SO;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/SKL-KB_DRAINAGE_AC-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/9e9e284d-773d-45ae-8321-b4ae50c38e63;;SKL;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/af14b1c9-452b-4cea-9f13-a9b9921c9163;;SKL-AANLEGTECHNIEK_UITTREDEPUNT-SO;SO;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/SKL-AANLEGTECHNIEK_UITTREDEPUNT-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/0f17923e-b5b0-4e17-b76f-5d79d537cbfd;;SKL;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/af14b1c9-452b-4cea-9f13-a9b9921c9163;;SKL-KB_MEETPAAL_REMOTE-SO;SO;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/SKL-KB_MEETPAAL_REMOTE-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/0a4cbe05-4a28-41aa-a78d-113b17dff6df;;SVH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093;;SVH-TEGEL_300X150_DUN_BLOK_01-SO;SO;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/SVH-TEGEL_300X150_DUN_BLOK_01-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/25c19e10-71c6-4c68-a962-c0d7f35b2af6;;SKL;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/af14b1c9-452b-4cea-9f13-a9b9921c9163;;SKL-KB_MEETPAAL-SO;SO;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/SKL-KB_MEETPAAL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/f21a6375-ebf1-4a4e-85ed-2db46999dead;;SVH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093;;SVH-TEGEL_300X150_DUN_BLOK_KL_01-SO;SO;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/SVH-TEGEL_300X150_DUN_BLOK_KL_01-SO.dwg
