"omschrijving","status","underscore","discipline","underscore2","hoofdgroep","underscore3","object","underscore4","subobject01","underscore5","subobject02","underscore6","subobject03","underscore7","subobject04","underscore8","subobject05","streepje","bewerking","streepje3","element","streepje2","aobject","sobject","laagnaam","lw_b","kl_b","kl_b_a","kl_b_gd","kl_b_gn","kl_b_v","lt_b","lw_n","kl_n","kl_n_a","kl_n_gd","kl_n_gn","kl_n_v","lt_n","lw_v","kl_v","kl_v_a","kl_v_gd","kl_v_gn","kl_v_v","lt_v","lw_t","kl_t","kl_t_a","kl_t_gd","kl_t_gn","kl_t_v","lt_t","vrkl_kort","vrkl_lang","id_nummer","kind_van","objectURI","kind_vanURI"
"MARKERING_LANGS_STREEP_11","*","_","**","_","VW","_","MARKERING","_","LANGS","_","STREEP","_","11","_","","_","","'-","","'-","G/S","'-","","SVW-MARKERING_STREEP_11_010; SVW-MARKERING_STREEP_11_015; V-SVW-MARKERING_STREEP_11_010; V-SVW-MARKERING_STREEP_11_015","*_**_VW_MARKERING_LANGS_STREEP_11","0.13","7","7","7","7","7","VW-11_STREEP","0.13","7","7","7","7","7","VW-11_STREEP","0.13","7","7","7","7","7","V-VW-11_STREEP","0.13","7","7","7","7","7","VW-11_STREEP","","","2589","2579","http://digitalbuildingdata.tech/nlcs/def/d893e767-ea09-45c1-a226-56b3b7602df6","http://digitalbuildingdata.tech/nlcs/def/eafae490-2cd4-4ec5-b159-1be686387f5c"
"MARKERING_LANGS_STREEP_27030","*","_","**","_","VW","_","MARKERING","_","LANGS","_","STREEP","_","27030","_","","_","","'-","","'-","G/S","'-","","SVW-MARKERING_STREEP_270030_010; SVW-MARKERING_STREEP_270030_015; V-SVW-MARKERING_STREEP_270030_010; V-SVW-MARKERING_STREEP_270030_015","*_**_VW_MARKERING_LANGS_STREEP_27030","0.13","7","7","7","7","7","VW-27030_STREEP","0.13","7","7","7","7","7","VW-27030_STREEP","0.13","7","7","7","7","7","V-VW-27030_STREEP","0.13","7","7","7","7","7","VW-27030_STREEP","","","2610","2579","http://digitalbuildingdata.tech/nlcs/def/15d889d9-a422-4df0-984b-afda91f74583","http://digitalbuildingdata.tech/nlcs/def/eafae490-2cd4-4ec5-b159-1be686387f5c"
"MARKERING_DWARS_OVERSTEEK_BLOKSTREEP","*","_","**","_","VW","_","MARKERING","_","DWARS","_","OVERSTEEK","_","BLOKSTREEP","_","","_","","'-","","'-","G/S","'-","","SVW-MARKERING_STREEP_BLOK_050_050; SVW-MARKERING_STREEP_BLOK_060_060; V-SVW-MARKERING_STREEP_BLOK_050_050; V-SVW-MARKERING_STREEP_BLOK_060_060","*_**_VW_MARKERING_DWARS_OVERSTEEK_BLOKSTREEP","0.50","7","7","7","7","7","VW-BLOK50","0.50","7","7","7","7","7","VW-BLOK50","0.50","7","7","7","7","7","V-VW-BLOK50","0.35","7","7","7","7","7","VW-BLOK50","","","2635","2629","http://digitalbuildingdata.tech/nlcs/def/8fb62433-cff2-411a-92ca-c95b58918309","http://digitalbuildingdata.tech/nlcs/def/cc217a6d-7a6c-4a14-bc6c-429fdba906b9"
"MARKERING_LANGS_STREEP_33","*","_","**","_","VW","_","MARKERING","_","LANGS","_","STREEP","_","33","_","","_","","'-","","'-","G/S","'-","","SVW-MARKERING_STREEP_33_015; V-SVW-MARKERING_STREEP_33_015","*_**_VW_MARKERING_LANGS_STREEP_33","0.13","7","7","7","7","7","VW-33_STREEP","0.13","7","7","7","7","7","VW-33_STREEP","0.13","7","7","7","7","7","V-VW-33_STREEP","0.13","7","7","7","7","7","VW-33_STREEP","","","2599","2579","http://digitalbuildingdata.tech/nlcs/def/08519881-4d66-41f4-a0d8-079f3e400b4d","http://digitalbuildingdata.tech/nlcs/def/eafae490-2cd4-4ec5-b159-1be686387f5c"
"MARKERING_LANGS_STREEP_31","*","_","**","_","VW","_","MARKERING","_","LANGS","_","STREEP","_","31","_","","_","","'-","","'-","G/S","'-","","SVW-MARKERING_STREEP_31_010; V-SVW-MARKERING_STREEP_31_010","*_**_VW_MARKERING_LANGS_STREEP_31","0.13","7","7","7","7","7","VW-31_STREEP","0.13","7","7","7","7","7","VW-31_STREEP","0.13","7","7","7","7","7","V-VW-31_STREEP","0.13","7","7","7","7","7","VW-31_STREEP","","","2597","2579","http://digitalbuildingdata.tech/nlcs/def/b4134820-5436-4642-bb21-ad2147ef7e24","http://digitalbuildingdata.tech/nlcs/def/eafae490-2cd4-4ec5-b159-1be686387f5c"
"MARKERING_LANGS_STREEP_91","*","_","**","_","VW","_","MARKERING","_","LANGS","_","STREEP","_","91","_","","_","","'-","","'-","G/S","'-","","SVW-MARKERING_STREEP_91_010; SVW-MARKERING_STREEP_91_030; V-SVW-MARKERING_STREEP_91_010; V-SVW-MARKERING_STREEP_91_030","*_**_VW_MARKERING_LANGS_STREEP_91","0.25","7","7","7","7","7","VW-91_STREEP","0.25","7","7","7","7","7","VW-91_STREEP","0.25","7","7","7","7","7","V-VW-91_STREEP","0.25","7","7","7","7","7","VW-91_STREEP","","","2605","2579","http://digitalbuildingdata.tech/nlcs/def/49132732-8039-436a-8245-f0a9b45e2933","http://digitalbuildingdata.tech/nlcs/def/eafae490-2cd4-4ec5-b159-1be686387f5c"
"MARKERING_LANGS_STREEP_93","*","_","**","_","VW","_","MARKERING","_","LANGS","_","STREEP","_","93","_","","_","","'-","","'-","G/S","'-","","SVW-MARKERING_STREEP_93_010; SVW-MARKERING_STREEP_93_030; V-SVW-MARKERING_STREEP_93_010; V-SVW-MARKERING_STREEP_93_030","*_**_VW_MARKERING_LANGS_STREEP_93","0.13","7","7","7","7","7","VW-93_STREEP","0.13","7","7","7","7","7","VW-93_STREEP","0.13","7","7","7","7","7","V-VW-93_STREEP","0.13","7","7","7","7","7","VW-93_STREEP","","","2607","2579","http://digitalbuildingdata.tech/nlcs/def/008b20b6-5d91-473f-a6e8-7cfe6fedafe0","http://digitalbuildingdata.tech/nlcs/def/eafae490-2cd4-4ec5-b159-1be686387f5c"
"MARKERING_LANGS_STREEP_30270","*","_","**","_","VW","_","MARKERING","_","LANGS","_","STREEP","_","30270","_","","_","","'-","","'-","G/S","'-","","SVW-MARKERING_STREEP_030270_010; SVW-MARKERING_STREEP_030270_015; V-SVW-MARKERING_STREEP_030270_010; V-SVW-MARKERING_STREEP_030270_015","*_**_VW_MARKERING_LANGS_STREEP_30270","0.13","7","7","7","7","7","VW-30270_STREEP","0.13","7","7","7","7","7","VW-30270_STREEP","0.13","7","7","7","7","7","V-VW-30270_STREEP","0.13","7","7","7","7","7","VW-30270_STREEP","","","2612","2579","http://digitalbuildingdata.tech/nlcs/def/753e829a-96f3-46b4-a235-6f5c891b186b","http://digitalbuildingdata.tech/nlcs/def/eafae490-2cd4-4ec5-b159-1be686387f5c"
"MARKERING_DWARS_STOPSTREEP_020","*","_","**","_","VW","_","MARKERING","_","DWARS","_","STOPSTREEP","_","020","_","","_","","'-","","'-","G","'-","","","*_**_VW_MARKERING_DWARS_STOPSTREEP_020","0.18","7","7","7","7","7","CONTINUOUS","0.18","7","7","7","7","7","CONTINUOUS","0.18","7","7","7","7","7","V-CONTINUOUS-SO","0.18","7","7","7","7","7","CONTINUOUS","","","2624","2623","http://digitalbuildingdata.tech/nlcs/def/fbf9acc9-ff1d-4dc2-aedc-f7385730a8bd","http://digitalbuildingdata.tech/nlcs/def/7c90971f-b2b2-4423-aec0-527a13f1012d"
"MARKERING_DWARS_STOPSTREEP_030","*","_","**","_","VW","_","MARKERING","_","DWARS","_","STOPSTREEP","_","030","_","","_","","'-","","'-","G","'-","","","*_**_VW_MARKERING_DWARS_STOPSTREEP_030","0.25","7","7","7","7","7","CONTINUOUS","0.25","7","7","7","7","7","CONTINUOUS","0.25","7","7","7","7","7","V-CONTINUOUS-SO","0.25","7","7","7","7","7","CONTINUOUS","","","2625","2623","http://digitalbuildingdata.tech/nlcs/def/9c18520c-5307-4db4-a0cc-38d6ea4e9187","http://digitalbuildingdata.tech/nlcs/def/7c90971f-b2b2-4423-aec0-527a13f1012d"
