"omschrijving","status","underscore","discipline","underscore2","hoofdgroep","underscore3","object","underscore4","subobject01","underscore5","subobject02","underscore6","subobject03","underscore7","subobject04","underscore8","subobject05","streepje","bewerking","streepje3","element","streepje2","aobject","sobject","laagnaam","lw_b","kl_b","kl_b_a","kl_b_gd","kl_b_gn","kl_b_v","lt_b","lw_n","kl_n","kl_n_a","kl_n_gd","kl_n_gn","kl_n_v","lt_n","lw_v","kl_v","kl_v_a","kl_v_gd","kl_v_gn","kl_v_v","lt_v","lw_t","kl_t","kl_t_a","kl_t_gd","kl_t_gn","kl_t_v","lt_t","vrkl_kort","vrkl_lang","id_nummer","kind_van","objectURI","kind_vanURI"
"CONSTRUCTIELIJN","*","_","**","_","ZZ","_","CONSTRUCTIELIJN","_","","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_ZZ_CONSTRUCTIELIJN","0.18","7","7","7","7","253","CONTINUOUS","0.18","7","7","7","7","253","CONTINUOUS","0.18","7","7","7","7","253","CONTINUOUS","0.18","7","7","7","7","253","CONTINUOUS","","","2703","","http://digitalbuildingdata.tech/nlcs/def/171bfe4e-0d99-4b94-b0a7-6e766ef589e2",""
"HULPLIJN","*","_","**","_","ZZ","_","HULPLIJN","_","","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_ZZ_HULPLIJN","0.18","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","V-CONTINUOUS-SO","0.35","7","7","7","7","253","CONTINUOUS","","","3357","","http://digitalbuildingdata.tech/nlcs/def/1b8c0e72-a814-4ce9-aa2c-b3f018c75740",""
"DETAIL5","*","_","**","_","ZZ","_","DETAIL5","_","","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_ZZ_DETAIL5","0.70","7","7","7","7","253","CONTINUOUS","0.70","7","7","7","7","253","CONTINUOUS","0.70","7","7","7","7","253","CONTINUOUS","0.70","7","7","7","7","253","CONTINUOUS","","","2711","","http://digitalbuildingdata.tech/nlcs/def/06cfbe09-fc22-412b-92f6-bdb9db0fd0e9",""
"AFBREEKLIJN","*","_","**","_","ZZ","_","AFBREEKLIJN","_","","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_ZZ_AFBREEKLIJN","0.18","7","7","7","7","253","ZZ-AFBREEK-SO","0.18","7","7","7","7","253","ZZ-AFBREEK-SO","0.18","7","7","7","7","253","ZZ-AFBREEK-SO","0.18","7","7","7","7","253","ZZ-AFBREEK-SO","","","2701","","http://digitalbuildingdata.tech/nlcs/def/7577ea35-1159-4a22-a66f-78e08fa8c665",""
"AFBREEKLIJN","*","_","**","_","ZZ","_","AFBREEKLIJN","_","","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_ZZ_AFBREEKLIJN","0.18","7","7","7","7","253","ZZ-AFBREEK-SO","0.18","7","7","7","7","253","ZZ-AFBREEK-SO","0.18","7","7","7","7","253","ZZ-AFBREEKLIJN-SO","0.18","7","7","7","7","253","ZZ-AFBREEK-SO","","","2701","","http://digitalbuildingdata.tech/nlcs/def/7577ea35-1159-4a22-a66f-78e08fa8c665",""
"AFBREEKLIJN","*","_","**","_","ZZ","_","AFBREEKLIJN","_","","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_ZZ_AFBREEKLIJN","0.18","7","7","7","7","253","ZZ-AFBREEK-SO","0.18","7","7","7","7","253","ZZ-AFBREEK-SO","0.18","7","7","7","7","253","ZZ-AFBREEK-SO","0.18","7","7","7","7","253","ZZ-AFBREEKLIJN-SO","","","2701","","http://digitalbuildingdata.tech/nlcs/def/7577ea35-1159-4a22-a66f-78e08fa8c665",""
"AFBREEKLIJN","*","_","**","_","ZZ","_","AFBREEKLIJN","_","","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_ZZ_AFBREEKLIJN","0.18","7","7","7","7","253","ZZ-AFBREEK-SO","0.18","7","7","7","7","253","ZZ-AFBREEK-SO","0.18","7","7","7","7","253","ZZ-AFBREEKLIJN-SO","0.18","7","7","7","7","253","ZZ-AFBREEKLIJN-SO","","","2701","","http://digitalbuildingdata.tech/nlcs/def/7577ea35-1159-4a22-a66f-78e08fa8c665",""
"AFBREEKLIJN","*","_","**","_","ZZ","_","AFBREEKLIJN","_","","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_ZZ_AFBREEKLIJN","0.18","7","7","7","7","253","ZZ-AFBREEK-SO","0.18","7","7","7","7","253","ZZ-AFBREEKLIJN-SO","0.18","7","7","7","7","253","ZZ-AFBREEK-SO","0.18","7","7","7","7","253","ZZ-AFBREEK-SO","","","2701","","http://digitalbuildingdata.tech/nlcs/def/7577ea35-1159-4a22-a66f-78e08fa8c665",""
"AFBREEKLIJN","*","_","**","_","ZZ","_","AFBREEKLIJN","_","","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_ZZ_AFBREEKLIJN","0.18","7","7","7","7","253","ZZ-AFBREEK-SO","0.18","7","7","7","7","253","ZZ-AFBREEKLIJN-SO","0.18","7","7","7","7","253","ZZ-AFBREEKLIJN-SO","0.18","7","7","7","7","253","ZZ-AFBREEK-SO","","","2701","","http://digitalbuildingdata.tech/nlcs/def/7577ea35-1159-4a22-a66f-78e08fa8c665",""
"AFBREEKLIJN","*","_","**","_","ZZ","_","AFBREEKLIJN","_","","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_ZZ_AFBREEKLIJN","0.18","7","7","7","7","253","ZZ-AFBREEK-SO","0.18","7","7","7","7","253","ZZ-AFBREEKLIJN-SO","0.18","7","7","7","7","253","ZZ-AFBREEK-SO","0.18","7","7","7","7","253","ZZ-AFBREEKLIJN-SO","","","2701","","http://digitalbuildingdata.tech/nlcs/def/7577ea35-1159-4a22-a66f-78e08fa8c665",""
