oordeel,bestand,omschrijving,autocaddef
VARIANT: s=0.5 maar met x-offset,lijntypes-5-2-MO.csv,V-MO-STRALINGSTREEFWAARDE-SO,"A,3,-3.5,6,-4,[STRALING,NLCS.SHX,s=0.8],-4,6,-3.5,6,-3.5,[VERWIJDEREN2,NLCS.SHX,x=-1.75,s=0.5],3"
VARIANT: s=0.5 maar met x-offset,lijntypes-5-2-MO.csv,V-MO-TRILLINGSTREEFWAARDE-SO,"A,3,-3.5,6,-4,[TRILLING,NLCS.SHX,s=0.8],-4,6,-3.5,6,-3.5,[VERWIJDEREN2,NLCS.SHX,x=-1.75,s=0.5],3"
VARIANT: s=0.5 maar met x-offset,lijntypes-5-2-OV.csv,V-OV-LIJNV-SO,"A,0,-5,[drieh,NLCS.SHX,s=1,r=0,x=-.625],2.5,-0.5,[CIRC,NLCS.SHX,s=.5],-0.5,2.5,[drieh,NLCS.SHX,s=1,r=180,x=.625],-5,[VERWIJDEREN2,NLCS.SHX,x=1,s=0.5],-2"
VARIANT: s=0.5 maar met y-offset,lijntypes-5-2-GR.csv,V-GR-PLANTSOEN-SO,"A,0,-0.0001,[VERWIJDEREN2,NLCS.SHX,s=0.5,y=1],-0.0001,[PLANTSOEN,NLCS.shx,s=1.5],-4"
VARIANT: s=0.6,lijntypes-5-2-BV.csv,V-BV-A1-SO,"A,0.5,[STEPBARRIER-S,NLCS.SHX,x=.5,s=1],-1,[STEPBARRIER-S,NLCS.SHX,x=.5,s=1],-1,0.5,-1,[VERWIJDEREN2,NLCS.SHX,s=0.6],-1"
VARIANT: s=0.6,lijntypes-5-2-BV.csv,V-BV-ANTIVERBLINDINGSSCHERM-SO,"A,1,[VERWIJDEREN2,NLCS.SHX,s=0.6],1,-1,[VERTIKAAL,NLCS.SHX,s=1],-1, 2,-1,[VERTIKAAL,NLCS.SHX,s=1],-1"
VARIANT: s=0.6,lijntypes-5-2-BV.csv,V-BV-BEVER-SO,"A,0.5,[STEPBARRIER-B,NLCS.SHX,s=1],-1,[STEPBARRIER-B,NLCS.SHX,s=1],-1,0.5,-1,[VERWIJDEREN2,NLCS.SHX,s=0.6],-1"
VARIANT: s=0.6,lijntypes-5-2-BV.csv,V-BV-F2DL40080-SO,"A,2,-1,[F2DL40080,NLCS.SHX,s=0.5],-1,2,-1,[F2DL40080,NLCS.SHX,s=0.5],-1,2,-1,[F2DL40080,NLCS.SHX,s=0.5],-1,2,-2,[VERWIJDEREN2,NLCS.SHX,s=0.6],-2"
VARIANT: s=0.6,lijntypes-5-2-BV.csv,V-BV-F2M40080-SO,"A,2,-1,[F2M40080,NLCS.SHX,s=0.5],-1,2,-1,[F2M40080,NLCS.SHX,s=0.5],-1,2,-1,[F2M40080,NLCS.SHX,s=0.5],-1,2,-2,[VERWIJDEREN2,NLCS.SHX,s=0.6],-2"
VARIANT: s=0.6,lijntypes-5-2-BV.csv,V-BV-GELEIDERAIL_A-SO,"A,2,-1,[GELEIDERAIL-A,NLCS.SHX,s=0.5],-1,2,-1,[GELEIDERAIL-A,NLCS.SHX,s=0.5],-1,2,-1,[GELEIDERAIL-A,NLCS.SHX,s=0.5],-1,2,-2,[VERWIJDEREN2,NLCS.SHX,s=0.6],-2"
VARIANT: s=0.6,lijntypes-5-2-BV.csv,V-BV-STEPBARRIER_B-SO,"A,1,-1,[STEPBARRIER-B,NLCS.SHX,x=-1,s=1],1,-1,[VERWIJDEREN2,NLCS.SHX,s=0.6],-1"
VARIANT: s=0.6,lijntypes-5-2-BV.csv,V-BV-STEPBARRIER_BG-SO,"A,0.5,-1,[STEPBARRIER-B,NLCS.SHX,x=-1,s=1],1,[VERTIKAAL,NLCS.SHX,s=1],0.5,-1,[VERWIJDEREN2,NLCS.SHX,s=0.6],-1"
VARIANT: s=0.6,lijntypes-5-2-BV.csv,V-BV-STEPBARRIER_BV-SO,"A,1,-1,[STEPBARRIER-BV,NLCS.SHX,x=-1,s=1],1,-1,[VERWIJDEREN2,NLCS.SHX,s=0.6],-1"
VARIANT: s=0.6,lijntypes-5-2-BV.csv,V-BV-STEPBARRIER_S-SO,"A,1,-1,[STEPBARRIER-S,NLCS.SHX,x=-.5,s=1],1,-1,[VERWIJDEREN2,NLCS.SHX,s=0.6],-1"
VARIANT: s=0.6,lijntypes-5-2-BV.csv,V-BV-VLP1DL13360-SO,"A,2,-1,[VLP1DL13360,NLCS.SHX,s=0.5],-1,2,-1,[VLP1DL13360,NLCS.SHX,s=0.5],-1,2,-1,[VLP1DL13360,NLCS.SHX,s=0.5],-1,2,-2,[VERWIJDEREN2,NLCS.SHX,s=0.6],-2"
VARIANT: s=0.6,lijntypes-5-2-BV.csv,V-BV-VLP1LV13360-SO,"A,2,-1,[VLP1LV13360,NLCS.SHX,s=0.5],-1,2,-1,[VLP1LV13360,NLCS.SHX,s=0.5],-1,2,-1,[VLP1LV13360,NLCS.SHX,s=0.5],-1,2,-2,[VERWIJDEREN2,NLCS.SHX,s=0.6],-2"
VARIANT: s=0.6,lijntypes-5-2-BV.csv,V-BV-VLP1R13360-SO,"A,2,-1,[VLP1R13360,NLCS.SHX,s=0.5],-1,2,-1,[VLP1R13360,NLCS.SHX,s=0.5],-1,2,-1,[VLP1R13360,NLCS.SHX,s=0.5],-1,2,-2,[VERWIJDEREN2,NLCS.SHX,s=0.6],-2"
VARIANT: s=0.6,lijntypes-5-2-BV.csv,V-BV-VLP1Z13360-SO,"A,2,-1,[VLP1Z13360,NLCS.SHX,s=0.5],-1,2,-1,[VLP1Z13360,NLCS.SHX,s=0.5],-1,2,-1,[VLP1Z13360,NLCS.SHX,s=0.5],-1,2,-2,[VERWIJDEREN2,NLCS.SHX,s=0.6],-2"
VARIANT: s=0.6,lijntypes-5-2-BV.csv,V-BV-VLP1Z26760-SO,"A,2,-1,[VLP1Z26760,NLCS.SHX,s=0.5],-1,2,-1,[VLP1Z26760,NLCS.SHX,s=0.5],-1,2,-1,[VLP1Z26760,NLCS.SHX,s=0.5],-1,2,-2,[VERWIJDEREN2,NLCS.SHX,s=0.6],-2"
VARIANT: s=0.6,lijntypes-5-2-BV.csv,V-BV-VLP1ZC13360-SO,"A,2,-1,[VLP1ZC13360,NLCS.SHX,s=0.5],-1,2,-1,[VLP1ZC13360,NLCS.SHX,s=0.5],-1,2,-1,[VLP1ZC13360,NLCS.SHX,s=0.5],-1,2,-2,[VERWIJDEREN2,NLCS.SHX,s=0.6],-2"
VARIANT: s=0.6,lijntypes-5-2-BV.csv,V-BV-VLP2DL13380-SO,"A,2,-1,[VLP2DL13380,NLCS.SHX,s=0.5],-1,2,-1,[VLP2DL13380,NLCS.SHX,s=0.5],-1,2,-1,[VLP2DL13380,NLCS.SHX,s=0.5],-1,2,-2,[VERWIJDEREN2,NLCS.SHX,s=0.6],-2"
VARIANT: s=0.6,lijntypes-5-2-BV.csv,V-BV-VLP2R13380-SO,"A,2,-1,[VLP2R13380,NLCS.SHX,s=0.5],-1,2,-1,[VLP2R13380,NLCS.SHX,s=0.5],-1,2,-1,[VLP2R13380,NLCS.SHX,s=0.5],-1,2,-2,[VERWIJDEREN2,NLCS.SHX,s=0.6],-2"
VARIANT: s=0.6,lijntypes-5-2-BV.csv,V-BV-VLP2Z13380-SO,"A,2,-1,[VLP2Z13380,NLCS.SHX,s=0.5],-1,2,-1,[VLP2Z13380,NLCS.SHX,s=0.5],-1,2,-1,[VLP2Z13380,NLCS.SHX,s=0.5],-1,2,-2,[VERWIJDEREN2,NLCS.SHX,s=0.6],-2"
VARIANT: s=0.6,lijntypes-5-2-BV.csv,V-BV-VLP2Z26780-SO,"A,2,-1,[VLP2Z26780,NLCS.SHX,s=0.5],-1,2,-1,[VLP2Z26780,NLCS.SHX,s=0.5],-1,2,-1,[VLP2Z26780,NLCS.SHX,s=0.5],-1,2,-2,[VERWIJDEREN2,NLCS.SHX,s=0.6],-2"
VARIANT: s=0.6,lijntypes-5-2-BV.csv,V-BV-VLP2ZC13380-SO,"A,2,-1,[VLP2ZC13380,NLCS.SHX,s=0.5],-1,2,-1,[VLP2ZC13380,NLCS.SHX,s=0.5],-1,2,-1,[VLP2ZC13380,NLCS.SHX,s=0.5],-1,2,-2,[VERWIJDEREN2,NLCS.SHX,s=0.6],-2"
VARIANT: s=0.6,lijntypes-5-2-KG.csv,V-KG-RAMING-SO,"A,1,[VERWIJDEREN2,NLCS.SHX,s=0.6],1,0,[RMGZ,NLCS.SHX,s=1],-6"
VARIANT: s=0.6,lijntypes-5-2-KG.csv,V-KG-UITGEEFBAARGEBIED-SO,"A,2,[VERWIJDEREN2,NLCS.SHX,s=0.6],2,-2,[UGG,nlcs.shx,x=-1.4,s=1],-2"
VARIANT: s=0.6,lijntypes-5-2-KG.csv,V-KG-VERKOOP-SO,"A,1.25,[VERWIJDEREN2,NLCS.SHX,s=0.6],1.25,[VKGZ,nlcs.shx,s=1],2.5,-2.75"
VARIANT: s=0.6 + x-offset,lijntypes-5-2-BV.csv,V-BV-GELEIDERAIL-SO,"A,5,[VERWIJDEREN2,NLCS.SHX,x=10.5,s=0.6],5,-3,[GELEIDERAIL,NLCS.SHX,s=1],-3"
VARIANT: s=0.6 + x-offset,lijntypes-5-2-GR.csv,V-GR-HAAG_DRAAD-SO,"A,2,[VERWIJDEREN2,NLCS.SHX,x=-1,s=0.6],2,[MARK,NLCS.SHX,r=45,s=0.75],2,[VERWIJDEREN2,NLCS.SHX,x=1,s=0.6],2,-2"
VARIANT: s=0.6 + x-offset,lijntypes-5-2-GR.csv,V-GR-HAAG_RASTER-SO,"A,2,[VERWIJDEREN2,NLCS.SHX,x=-1,s=0.6],2,[MARK,NLCS.SHX,r=45,s=0.75],2,[VERWIJDEREN2,NLCS.SHX,x=1,s=0.6],2,-2"
VARIANT: s=0.6 + x-offset,lijntypes-5-2-IE.csv,V-IE-CONSTRUCTIEVE AFSCHEIDING-SO,"A,2,[VERWIJDEREN2,NLCS.SHX,x=-1,s=0.6],2,[B20-10V,NLCS.SHX,r=90,s=0.75],2,[VERWIJDEREN2,NLCS.SHX,x=1,s=0.6],2,-2"
VARIANT: s=0.6 + x-offset,lijntypes-5-2-IE.csv,V-IE-CONSTRUCTIEVE AFSCHEIDING_SCHUTTING-SO,"A,2,[VERWIJDEREN2,NLCS.SHX,x=-1,s=0.6],2,[B20-10V,NLCS.SHX,r=90,s=0.75],2,[VERWIJDEREN2,NLCS.SHX,x=1,s=0.6],2,-2"
