OMSCHRIJVING,STATUS,-,DISCIPLINE,-,HOOFDGROEP,-,OBJECT,_,SUBOBJECT01,_,SUBOBJECT02,_,SUBOBJECT03,_,SUBOBJECT04,_,SUBOBJECT05,-,BEWERKING,-,ELEMENT,-,SCHAAL,ARCERING,SYMBOOL,LAAGNAAM,B lineweight,B color,B color A,B color GD,B color GN,B color V,B linetype,N lineweight,N color,N color A,N color GD,N color GN,N color V,N linetype,V lineweight,V color,V color A,V color GD,V color GN,V color V,V linetype,T lineweight,T color,T color A,T color GD,T color GN,T color V,T linetype,VRKL_kort,VRKL_lang,VERSIE,WIJZIGING,STATUS,ID,KIND_VAN
GORDING_HOUT,*,-,**,-,GC,-,GORDING,_,HOUT,,,,,,,,,,,-,G/A,,,ACO-HOUT,,*-**-GC-GORDING_HOUT-G/A,0.18,30,252,40,10,254,CONTINUOUS,0.25,30,254,40,10,254,CONTINUOUS,0.25,30,252,40,10,254,V-CONTINUOUS-SO,0.25,30,252,40,10,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2775,2773
GORDING_STAAL,*,-,**,-,GC,-,GORDING,_,STAAL,,,,,,,,,,,-,G/A,,,ACO-STAAL,,*-**-GC-GORDING_STAAL-G/A,0.18,140,252,130,10,254,CONTINUOUS,0.25,140,254,130,10,254,CONTINUOUS,0.25,140,252,130,10,254,V-CONTINUOUS-SO,0.25,140,252,130,10,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2774,2773
LEVENSDUURVERLENGENDE MAATREGEL,*,-,**,-,GC,-,LEVENSDUURVERLENGENDE MAATREGEL,,,,,,,,,,,,,-,G,,,,,*-**-GC-LEVENSDUURVERLENGENDE MAATREGEL-G,0.18,170,172,170,170,253,CONTINUOUS,0.25,170,172,170,170,253,CONTINUOUS,0.25,170,172,170,170,253,V-CONTINUOUS-SO,0.25,170,172,170,170,253,CONTINUOUS,,,3.1,Pendiktes,GEWIJZIGD,2796,0
REPARATIES,*,-,**,-,GC,-,REPARATIES,,,,,,,,,,,,,-,G,,,,,*-**-GC-REPARATIES-G,0.18,170,172,170,170,253,CONTINUOUS,0.25,170,172,170,170,253,CONTINUOUS,0.25,170,172,170,170,253,V-CONTINUOUS-SO,0.25,170,172,170,170,253,CONTINUOUS,,,3.1,Pendiktes,GEWIJZIGD,2795,0
STEMPEL,*,-,**,-,GC,-,STEMPEL,,,,,,,,,,,,,-,G,,,,,*-**-GC-STEMPEL-G,0.18,130,252,20,10,254,CONTINUOUS,0.25,130,252,20,10,254,CONTINUOUS,0.25,130,252,20,10,254,V-CONTINUOUS-SO,0.25,130,252,20,10,254,CONTINUOUS,,,3.1,Pendiktes,GEWIJZIGD,2789,0
STEMPEL_GROUT,*,-,**,-,GC,-,STEMPEL,_,GROUT,,,,,,,,,,,-,G,,,,,*-**-GC-STEMPEL_GROUT-G,0.18,130,252,20,10,254,CONTINUOUS,0.25,130,252,20,10,254,CONTINUOUS,0.25,130,252,20,10,254,V-CONTINUOUS-SO,0.25,130,252,20,10,254,CONTINUOUS,,,3.1,Pendiktes,GEWIJZIGD,2791,2789
STEMPEL_ONDERWATERBETON,*,-,**,-,GC,-,STEMPEL,_,ONDERWATERBETON,,,,,,,,,,,-,G,,,,,*-**-GC-STEMPEL_ONDERWATERBETON-G,0.18,130,252,20,10,254,CONTINUOUS,0.25,130,254,20,10,254,CONTINUOUS,0.25,130,252,20,10,254,V-CONTINUOUS-SO,0.25,130,252,20,10,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2792,2789
STEMPEL_STAAL,*,-,**,-,GC,-,STEMPEL,_,STAAL,,,,,,,,,,,-,G,,,,,*-**-GC-STEMPEL_STAAL-G,0.18,130,252,20,10,254,CONTINUOUS,0.25,130,252,20,10,254,CONTINUOUS,0.25,130,252,20,10,254,V-CONTINUOUS-SO,0.25,130,252,20,10,254,CONTINUOUS,,,3.1,Pendiktes,GEWIJZIGD,2790,2789
VERANKERING,*,-,**,-,GC,-,VERANKERING,,,,,,,,,,,,,-,G,,,,,*-**-GC-VERANKERING-G,0.18,50,252,170,10,254,CONTINUOUS,0.25,50,252,170,10,254,CONTINUOUS,0.25,50,252,170,10,254,V-CONTINUOUS-SO,0.25,50,252,170,10,254,CONTINUOUS,,,3.1,Pendiktes,GEWIJZIGD,2777,0
VERANKERING_ANKERSCHERM,*,-,**,-,GC,-,VERANKERING,_,ANKERSCHERM,,,,,,,,,,,-,G/A,,,ACO-STAAL,,*-**-GC-VERANKERING_ANKERSCHERM-G/A,0.18,50,252,170,10,254,CONTINUOUS,0.25,50,254,170,10,254,CONTINUOUS,0.25,50,252,170,10,254,V-CONTINUOUS-SO,0.25,50,252,170,10,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2780,2777
VERANKERING_ANKERSCHOT,*,-,**,-,GC,-,VERANKERING,_,ANKERSCHOT,,,,,,,,,,,-,G/A,,,ACO-STAAL,,*-**-GC-VERANKERING_ANKERSCHOT-G/A,0.18,50,252,170,10,254,CONTINUOUS,0.25,50,254,170,10,254,CONTINUOUS,0.25,50,252,170,10,254,V-CONTINUOUS-SO,0.25,50,252,170,10,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2779,2777
VERANKERING_ANKERSTANG,*,-,**,-,GC,-,VERANKERING,_,ANKERSTANG,,,,,,,,,,,-,G/A,,,ACO-STAAL,,*-**-GC-VERANKERING_ANKERSTANG-G/A,0.18,50,252,170,10,254,CONTINUOUS,0.25,50,254,170,10,254,CONTINUOUS,0.25,50,252,170,10,254,V-CONTINUOUS-SO,0.25,50,252,170,10,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2778,2777
VERANKERING_GROUTANKER,*,-,**,-,GC,-,VERANKERING,_,GROUTANKER,,,,,,,,,,,-,G,,,,,*-**-GC-VERANKERING_GROUTANKER-G,0.18,50,252,170,10,254,CONTINUOUS,0.25,50,252,170,10,254,CONTINUOUS,0.25,50,252,170,10,254,V-CONTINUOUS-SO,0.25,50,252,170,10,254,CONTINUOUS,,,3.1,Pendiktes,GEWIJZIGD,2781,2777
VERANKERING_KLAPANKER,*,-,**,-,GC,-,VERANKERING,_,KLAPANKER,,,,,,,,,,,-,G,,,,,*-**-GC-VERANKERING_KLAPANKER-G,0.18,50,252,170,10,254,CONTINUOUS,0.25,50,252,170,10,254,CONTINUOUS,0.25,50,252,170,10,254,V-CONTINUOUS-SO,0.25,50,252,170,10,254,CONTINUOUS,,,3.1,Pendiktes,GEWIJZIGD,2783,2777
VERANKERING_SCHROEFANKER,*,-,**,-,GC,-,VERANKERING,_,SCHROEFANKER,,,,,,,,,,,-,G,,,,,*-**-GC-VERANKERING_SCHROEFANKER-G,0.18,50,252,170,10,254,CONTINUOUS,0.25,50,252,170,10,254,CONTINUOUS,0.25,50,252,170,10,254,V-CONTINUOUS-SO,0.25,50,252,170,10,254,CONTINUOUS,,,3.1,Pendiktes,GEWIJZIGD,2782,2777
VERANKERING_TREKPAAL,*,-,**,-,GC,-,VERANKERING,_,TREKPAAL,,,,,,,,,,,-,G,,,,,*-**-GC-VERANKERING_TREKPAAL-G,0.18,50,252,170,10,254,CONTINUOUS,0.25,50,252,170,10,254,CONTINUOUS,0.25,50,252,170,10,254,V-CONTINUOUS-SO,0.25,50,252,170,10,254,CONTINUOUS,,,3.1,Pendiktes,GEWIJZIGD,2784,2777
