8   inritband_130_150x200_1                 *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 inritband_130_150x200_1
9   inritband_130_150x200_2                 *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 inritband_130_150x200_2
10  inritband_130_150x200_3                 *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 inritband_130_150x200_3
11  inritband_130_150x200_4                 *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 inritband_130_150x200_4
12  inritband_180_200x180                   *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 inritband_180_200x180
13  inritband_180_200x200_1                 *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 inritband_180_200x200_1
14  inritband_180_200x200_2                 *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 inritband_180_200x200_2
15  inritband_180_200x200_3                 *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 inritband_180_200x200_3
16  inritband_180_200x200_4                 *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 inritband_180_200x200_4
17  inritband_180_200x200_5                 *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 inritband_180_200x200_5
18  kolk_1d_achteruitl_molgoot_RWS-band     *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 kolk_1d_achteruitlaat_comb_molgoot_en_RWS-band
19  kolk_1d_achteruitl_molgoot_trottoirband *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 kolk_1d_achteruitlaat_comb_molgoot_en_trottoirband
20  kolk_1d_achteruitl_leicon_band_B-4      *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 kolk_1d_achteruitlaat_leicon_band_B-4
21  kolk_1d_achteruitl_leicon_band_F25      *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 kolk_1d_achteruitlaat_leicon_band_F25
22  kolk_1d_achteruitl_leicon_band_F40      *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 kolk_1d_achteruitlaat_leicon_band_F40
23  kolk_1d_achteruitl_molgoot              *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 kolk_1d_achteruitlaat_molgoot
24  kolk_1d_achteruitl_RWS-band             *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 kolk_1d_achteruitlaat_RWS-band
25  kolk_1d_achteruitl_trottoirband         *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 kolk_1d_achteruitlaat_trottoirband
26  kolk_1d_zijuitl_molgoot_RWS-band        *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 kolk_1d_zijuitlaat_comb_molgoot_en_RWS-band
27  kolk_1d_zijuitl_molgoot_trottoirband    *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 kolk_1d_zijuitlaat_comb_molgoot_en_trottoirband
28  kolk_1d_zijuitl_leicon_band_B-4         *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 kolk_1d_zijuitlaat_leicon_band_B-4
29  kolk_1d_zijuitl_leicon_band_F25         *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 kolk_1d_zijuitlaat_leicon_band_F25
30  kolk_1d_zijuitl_leicon_band_F40         *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 kolk_1d_zijuitlaat_leicon_band_F40
31  kolk_1d_zijuitl_molgoot                 *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 kolk_1d_zijuitlaat_molgoot
32  kolk_1d_zijuitl_RWS-band                *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 kolk_1d_zijuitlaat_RWS-band
33  kolk_1d_zijuitl_trottoirband            *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 kolk_1d_zijuitlaat_trottoirband
