9   paal                                    og-**-inrichtingselement      *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 paal
10  paal_bovenleiding                       og-**-inrichtingselement      *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 paal bovenleiding
11  parkeermeter                            og-**-inrichtingselement      *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 parkeermeter
12  prullenbak                              og-**-inrichtingselement      *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 prullenbak
13  put                                     og-**-inrichtingselement      *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 put
14  putdeksel                               og-**-inrichtingselement      *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 putdeksel
15  snuffelpaal                             og-**-inrichtingselement      *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 snuffelpaal
16  telefooncel                             og-**-inrichtingselement      *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 telefooncel
*DTB Inrichting waterwegen                                                                                                                 4 
1   bolder                                  iw-**-bolder                  *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 bolder
2   dukdalf                                 iw-**-afmeerconstructie       *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 dukdalf
3   meerpaal                                iw-**-afmeerconstructie       *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 meerpaal
4   meerstoel                               iw-**-afmeerconstructie       *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 meerstoel
*DTB Kadaster                                                                                                                              3 
1   grenspaal                               kd-**-contour_z               *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 grenspaal
2   nokplat                                 kd-**-nok                     *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 nok plat
3   nokpunt                                 kd-**-nok                     *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 nok punt
*DTB Waterhuishouding                                                                                                                      3 
1   kolk                                    wh-**-kolk                    *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 kolk algemeen
2   straatkolk                              wh-**-straatkolk              *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 straatkolk
3   trottoirkolk                            wh-**-trottoirkolk            *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 trottoirkolk
*DTB Overig                                                                                                                                7 
1   boom                                    bp-**-boom                    *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 boom
2   moeras                                  bp-**-moeras                  *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 moeras
3   riet                                    bp-**-riet                    *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 riet
4   moeras                                  bp-**-moeras                  *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 moeras
5   water                                   og-**-water                   *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 water
6   wegwijzer                               bw-**-contour_z               *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 wegwijzer
7   dtb                                     *                             *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 dtb

einde
