OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;ELEMENT;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;VERSIE;WIJZIGING;STATUS;ID;KIND_VAN
GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_F2M40080;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDERAIL;_;AARDENBAAN;_;F2M40080;;;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_F2M40080-G;0.18;210;212;210;210;253;BV-F2M40080-SO;0.35;210;212;210;210;253;BV-F2M40080-SO;0.35;210;212;210;210;253;V-BV-F2M40080-SO;0.35;210;212;210;210;253;BV-F2M40080-SO;;;2.3;;;170;169
GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_VLP1Z13360;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDERAIL;_;AARDENBAAN;_;VLP1Z13360;;;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_VLP1Z13360-G;0.18;210;212;210;210;253;BV-VLP1Z13360-SO;0.35;210;212;210;210;253;BV-VLP1Z13360-SO;0.35;210;212;210;210;253;V-BV-VLP1Z13360-SO;0.35;210;212;210;210;253;BV-VLP1Z13360-SO;;;2.3;;;183;169
GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_VLP1Z13360_LINKS;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDERAIL;_;AARDENBAAN;_;VLP1Z13360;_;LINKS;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_VLP1Z13360_LINKS-G;0.18;210;212;210;210;253;BV-VLP1Z13360-SO;0.35;210;212;210;210;253;BV-VLP1Z13360-SO;0.35;210;212;210;210;253;V-BV-VLP1Z13360-SO;0.35;210;212;210;210;253;BV-VLP1Z13360-SO;;;2.3;;;184;183
GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_VLP1Z13360_RECHTS;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDERAIL;_;AARDENBAAN;_;VLP1Z13360;_;RECHTS;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_VLP1Z13360_RECHTS-G;0.18;210;212;210;210;253;BV-VLP1Z13360-SO;0.35;210;212;210;210;253;BV-VLP1Z13360-SO;0.35;210;212;210;210;253;V-BV-VLP1Z13360-SO;0.35;210;212;210;210;253;BV-VLP1Z13360-SO;;;2.3;;;185;183
GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_VLP1Z26760;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDERAIL;_;AARDENBAAN;_;VLP1Z26760;;;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_VLP1Z26760-G;0.18;210;212;210;210;253;BV-VLP1Z26760-SO;0.35;210;212;210;210;253;BV-VLP1Z26760-SO;0.35;210;212;210;210;253;V-BV-VLP1Z26760-SO;0.35;210;212;210;210;253;BV-VLP1Z26760-SO;;;2.3;;;180;169
GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_VLP1Z26760_LINKS;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDERAIL;_;AARDENBAAN;_;VLP1Z26760;_;LINKS;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_VLP1Z26760_LINKS-G;0.18;210;212;210;210;253;BV-VLP1Z26760-SO;0.35;210;212;210;210;253;BV-VLP1Z26760-SO;0.35;210;212;210;210;253;V-BV-VLP1Z26760-SO;0.35;210;212;210;210;253;BV-VLP1Z26760-SO;;;2.3;;;181;180
GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_VLP1Z26760_RECHTS;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDERAIL;_;AARDENBAAN;_;VLP1Z26760;_;RECHTS;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_VLP1Z26760_RECHTS-G;0.18;210;212;210;210;253;BV-VLP1Z26760-SO;0.35;210;212;210;210;253;BV-VLP1Z26760-SO;0.35;210;212;210;210;253;V-BV-VLP1Z26760-SO;0.35;210;212;210;210;253;BV-VLP1Z26760-SO;;;2.3;;;182;180
GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_VLP1ZC13360;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDERAIL;_;AARDENBAAN;_;VLP1ZC13360;;;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_VLP1ZC13360-G;0.18;210;212;210;210;253;BV-VLP1ZC13360-SO;0.35;210;212;210;210;253;BV-VLP1ZC13360-SO;0.35;210;212;210;210;253;V-BV-VLP1ZC13360-SO;0.35;210;212;210;210;253;BV-VLP1ZC13360-SO;;;2.3;;;186;169
GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_VLP1ZC13360_LINKS;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDERAIL;_;AARDENBAAN;_;VLP1ZC13360;_;LINKS;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_VLP1ZC13360_LINKS-G;0.18;210;212;210;210;253;BV-VLP1ZC13360-SO;0.35;210;212;210;210;253;BV-VLP1ZC13360-SO;0.35;210;212;210;210;253;V-BV-VLP1ZC13360-SO;0.35;210;212;210;210;253;BV-VLP1ZC13360-SO;;;2.3;;;187;186
GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_VLP1ZC13360_RECHTS;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDERAIL;_;AARDENBAAN;_;VLP1ZC13360;_;RECHTS;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_VLP1ZC13360_RECHTS-G;0.18;210;212;210;210;253;BV-VLP1ZC13360-SO;0.35;210;212;210;210;253;BV-VLP1ZC13360-SO;0.35;210;212;210;210;253;V-BV-VLP1ZC13360-SO;0.35;210;212;210;210;253;BV-VLP1ZC13360-SO;;;2.3;;;188;186
GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_VLP2Z13380;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDERAIL;_;AARDENBAAN;_;VLP2Z13380;;;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_VLP2Z13380-G;0.18;210;212;210;210;253;BV-VLP2Z13380-SO;0.35;210;212;210;210;253;BV-VLP2Z13380-SO;0.35;210;212;210;210;253;V-BV-VLP2Z13380-SO;0.35;210;212;210;210;253;BV-VLP2Z13380-SO;;;2.3;;;174;169
GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_VLP2Z13380_LINKS;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDERAIL;_;AARDENBAAN;_;VLP2Z13380;_;LINKS;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_VLP2Z13380_LINKS-G;0.18;210;212;210;210;253;BV-VLP2Z13380-SO;0.35;210;212;210;210;253;BV-VLP2Z13380-SO;0.35;210;212;210;210;253;V-BV-VLP2Z13380-SO;0.35;210;212;210;210;253;BV-VLP2Z13380-SO;;;2.3;;;175;174
GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_VLP2Z13380_RECHTS;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDERAIL;_;AARDENBAAN;_;VLP2Z13380;_;RECHTS;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_VLP2Z13380_RECHTS-G;0.18;210;212;210;210;253;BV-VLP2Z13380-SO;0.35;210;212;210;210;253;BV-VLP2Z13380-SO;0.35;210;212;210;210;253;V-BV-VLP2Z13380-SO;0.35;210;212;210;210;253;BV-VLP2Z13380-SO;;;2.3;;;176;174
GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_VLP2Z26780;*;-;**;-;BV;-;GELEIDECONSTRUCTIE;_;GELEIDERAIL;_;AARDENBAAN;_;VLP2Z26780;;;;;;;-;G;;;;;*-**-BV-GELEIDECONSTRUCTIE_GELEIDERAIL_AARDENBAAN_VLP2Z26780-G;0.18;210;212;210;210;253;BV-VLP2Z26780-SO;0.35;210;212;210;210;253;BV-VLP2Z26780-SO;0.35;210;212;210;210;253;V-BV-VLP2Z26780-SO;0.35;210;212;210;210;253;BV-VLP2Z26780-SO;;;2.3;;;171;169
