searchterm,sbibliotheek,fase,id,symbool,finalCleanName,optie
BOUWWEG,SVH,,1118,SVH-BOUWWEG-SO,BOUWWEG,SO
KASSEIEN,SVH,,1119,SVH-KASSEIEN-SO,KASSEIEN,SO
SCHAALBALK,SAL,,112,SAL-SCHAALBALK_M1500,SCHAALBALK_M1500,
DELTA,SVH,,1120,SVH-DELTA-SO,DELTA,SO
DREMPEL_PREFAB,SVH,B,1121,B-SVH-DREMPEL_PREFAB_1000X1200,DREMPEL_PREFAB_1000X1200,
DREMPEL_PREFAB,SVH,B,1122,B-SVH-DREMPEL_PREFAB_1000X1200_RUITPROFIEL,DREMPEL_PREFAB_1000X1200_RUITPROFIEL,
DREMPEL_PREFAB,SVH,B,1123,B-SVH-DREMPEL_PREFAB_1000X600,DREMPEL_PREFAB_1000X600,
DREMPEL_PREFAB,SVH,B,1124,B-SVH-DREMPEL_PREFAB_1000X600_RUITPROFIEL,DREMPEL_PREFAB_1000X600_RUITPROFIEL,
DREMPEL_PREFAB,SVH,B,1125,B-SVH-DREMPEL_PREFAB_1200X1000,DREMPEL_PREFAB_1200X1000,
DREMPEL_PREFAB,SVH,B,1126,B-SVH-DREMPEL_PREFAB_1200X1000_RUITPROFIEL,DREMPEL_PREFAB_1200X1000_RUITPROFIEL,
DREMPEL_PREFAB,SVH,B,1127,B-SVH-DREMPEL_PREFAB_1200X500,DREMPEL_PREFAB_1200X500,
DREMPEL_PREFAB,SVH,B,1128,B-SVH-DREMPEL_PREFAB_1200X500_RUITPROFIEL,DREMPEL_PREFAB_1200X500_RUITPROFIEL,
DREMPEL_PREFAB,SVH,B,1129,B-SVH-DREMPEL_PREFAB_1500X1200,DREMPEL_PREFAB_1500X1200,
SCHAALBALK,SAL,,113,SAL-SCHAALBALK_M15000,SCHAALBALK_M15000,
DREMPEL_PREFAB,SVH,B,1130,B-SVH-DREMPEL_PREFAB_1500X1200_RUITPROFIEL,DREMPEL_PREFAB_1500X1200_RUITPROFIEL,
DREMPEL_PREFAB,SVH,B,1131,B-SVH-DREMPEL_PREFAB_1500X600,DREMPEL_PREFAB_1500X600,
DREMPEL_PREFAB,SVH,B,1132,B-SVH-DREMPEL_PREFAB_1500X600_RUITPROFIEL,DREMPEL_PREFAB_1500X600_RUITPROFIEL,
DREMPEL_PREFAB,SVH,B,1133,B-SVH-DREMPEL_PREFAB_1700X1000,DREMPEL_PREFAB_1700X1000,
DREMPEL_PREFAB,SVH,B,1134,B-SVH-DREMPEL_PREFAB_1700X500,DREMPEL_PREFAB_1700X500,
DREMPEL_PREFAB,SVH,B,1135,B-SVH-DREMPEL_PREFAB_1750X1000,DREMPEL_PREFAB_1750X1000,
DREMPEL_PREFAB,SVH,B,1136,B-SVH-DREMPEL_PREFAB_1750X1000_LINKS,DREMPEL_PREFAB_1750X1000_LINKS,
DREMPEL_PREFAB,SVH,B,1137,B-SVH-DREMPEL_PREFAB_1750X1000_RECHTS,DREMPEL_PREFAB_1750X1000_RECHTS,
DREMPEL_PREFAB,SVH,B,1138,B-SVH-DREMPEL_PREFAB_1750X1200,DREMPEL_PREFAB_1750X1200,
DREMPEL_PREFAB,SVH,B,1139,B-SVH-DREMPEL_PREFAB_1750X500,DREMPEL_PREFAB_1750X500,
SCHAALBALK,SAL,,114,SAL-SCHAALBALK_M20,SCHAALBALK_M20,
DREMPEL_PREFAB,SVH,B,1140,B-SVH-DREMPEL_PREFAB_1750X600,DREMPEL_PREFAB_1750X600,
