objectURI,hoofdgroepURI,hoofdgroep,id_nummer,lt_v,omschrijving,lijntypeOmschrijving,autocaddef
http://digitalbuildingdata.tech/nlcs/def/e70dc904-07dd-46c8-99a4-57bb640950f6,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4603,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_GRES_600,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/d40223e5-d992-4ea6-b3c3-450d1b2af6b5,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4597,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_GRES_1000,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/3ab5b9ec-fa89-4ae0-9e5a-78d1a4079e25,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4604,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_GRES_700,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/325b1cdb-c6d5-4ba0-ae98-6fd796bfdd68,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4606,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_GRES_900,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/0c2e0d5d-2d5b-489a-b50e-e3dd8869ede8,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4605,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_GRES_800,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/732353e4-9ae1-4509-8947-bc86871fbe33,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4629,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_PVC_200,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/c158e5db-3e1c-4712-b418-83e1f9a53132,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4633,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_PVC_500,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/9f83bae0-cd64-41d2-bed8-4235cbf234d7,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4634,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_PVC_630,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/181cdec5-0a87-49f6-b90b-93b8e3455f0e,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4632,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_PVC_400,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/4f04a9b7-c73c-41d7-9c24-ce404890b20d,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4628,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_PVC_160,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/ff6eaace-c6a0-478e-ade2-cb06c7907d0b,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4630,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_PVC_250,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/8f6d6ce8-c86e-485d-89a9-fa7c730be389,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4631,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_PVC_315,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/4f3c6a84-f9d9-4380-a462-307c8b73bc9e,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4572,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_BETON_1000,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/9372ae9f-78b8-4d1c-85a1-f0325fe3cc49,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4579,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_BETON_500,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/e1bff352-0ff5-48eb-b965-e8cb9de9571b,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4584,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_BETON_EI,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/73603d9d-3f56-4cc9-b4e6-5ed6f75d9117,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4577,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_BETON_300,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/c6f93363-f1f3-4f3e-9377-be51b30a2fbc,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4574,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_BETON_1500,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/090743ad-ebbf-4ee8-8d7b-7d4ab1d9f102,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4576,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_BETON_250,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/b92c89de-d230-4576-b9f2-acc067353931,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4582,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_BETON_800,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/1c647a73-282d-40ff-8ba0-b1afea0eb7bd,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4575,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_BETON_2000,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/2aaca36e-29ae-493f-87e3-aab1dc480881,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4583,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_BETON_900,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/87985244-b34b-4823-985e-a0f1888bc105,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4580,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_BETON_600,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/ff3994b9-070e-409e-9986-83803d5525d1,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4581,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_BETON_700,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/10899bf5-0b3d-4d01-b3de-d5450ad65929,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4573,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_BETON_1250,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/43cf7e33-54e7-429f-b9b9-d3d3d3ad40d9,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4578,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_BETON_400,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/1aeedb08-1064-466b-95eb-fd9f806417e2,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4610,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_PE_160,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/d5bce32c-c977-4bd8-96cd-ea2fc239b5d3,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4609,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_PE_125,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/8df98dfe-77e5-4ca7-9b59-4bb38eb8ca0b,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4611,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_PE_250,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/71adad6d-849f-4b0a-8600-bdfef1c5be45,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4615,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_PE_450,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/043e567d-f9a5-4b1b-99e0-b972d4afd988,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4617,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_PE_560,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/7f5bc0b2-57d4-4d4c-87b1-680c550d666b,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4614,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_PE_400,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/400b564f-a2c9-4ed8-819d-5015e8df4460,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4612,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_PE_315,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/d1da0439-9c30-43af-beff-1970adfe4ba6,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4616,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_PE_500,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/49fb9005-590a-4c7c-992d-3adca255f937,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4618,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_PE_630,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/21194841-b02e-408e-a45b-0a80ee6ab4f7,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4613,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_PE_355,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/74da8d6f-b85a-49b6-bcc9-94e6ad004282,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4626,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_PP_800,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/796b3d68-806e-4893-bb8b-4aee4e0a7c7e,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4625,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_PP_600,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/db0f0bfb-451c-430b-9145-be6581c71b5d,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4622,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_PP_300,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
http://digitalbuildingdata.tech/nlcs/def/fe5375e4-e1e4-49bb-a948-90fa8b2ba06c,http://digitalbuildingdata.tech/nlcs/def/02dbaa02-0a5a-4065-8f87-0a4a3846a490,RI,4623,V-RI-DRAINAGE-SO,DRAINAGE_TRANSPORTLEIDING_PP_400,V-RI-DRAINAGE-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.8,1.8,-1.8,2.4,-1.8,1.8,-1.8"
