name;hoofdNames;topNames;numUri
BOOM_HOOGSTAM_IN CONTAINER_3E GROOTTE;GR;NLCS-object;1
BOOM_HOOGSTAM_MET KLUIT_3E GROOTTE;GR;NLCS-object;1
BOOM_HOOGSTAM_MET KLUIT_1E GROOTTE;GR;NLCS-object;1
BOOM_HOOGSTAM_MET KLUIT_2E GROOTTE;GR;NLCS-object;1
BOOM_MEERSTAMMIG_MET KLUIT_1E GROOTTE;GR;NLCS-object;1
BOOM_MEERSTAMMIG_MET KLUIT_3E GROOTTE;GR;NLCS-object;1
BOOM_MEERSTAMMIG_MET KLUIT_2E GROOTTE;GR;NLCS-object;1
BOOM_MEERSTAMMIG_ZONDER KLUIT_1E GROOTTE;GR;NLCS-object;1
BOOM_MEERSTAMMIG_ZONDER KLUIT_2E GROOTTE;GR;NLCS-object;1
BOOM_MEERSTAMMIG_ZONDER KLUIT_3E GROOTTE;GR;NLCS-object;1
BOOM_MEERSTAMMIG_IN CONTAINER_3E GROOTTE;GR;NLCS-object;1
BOOM_MEERSTAMMIG_IN CONTAINER_1E GROOTTE;GR;NLCS-object;1
BOOM_MEERSTAMMIG_IN CONTAINER_2E GROOTTE;GR;NLCS-object;1
BOOM_LAAGSTAM_ZONDER KLUIT_3E GROOTTE;GR;NLCS-object;1
BOOM_LAAGSTAM_ZONDER KLUIT_1E GROOTTE;GR;NLCS-object;1
BOOM_LAAGSTAM_ZONDER KLUIT_2E GROOTTE;GR;NLCS-object;1
BOOM_LAAGSTAM_MET KLUIT_2E GROOTTE;GR;NLCS-object;1
BOOM_LAAGSTAM_MET KLUIT_3E GROOTTE;GR;NLCS-object;1
BOOM_LAAGSTAM_MET KLUIT_1E GROOTTE;GR;NLCS-object;1
BOOM_LAAGSTAM_IN CONTAINER_3E GROOTTE;GR;NLCS-object;1
BOOM_LAAGSTAM_IN CONTAINER_2E GROOTTE;GR;NLCS-object;1
BOOM_LAAGSTAM_IN CONTAINER_1E GROOTTE;GR;NLCS-object;1
AANGRENZENDE CONSTRUCTIE;BC;NLCS-object;1
WAPENING;BC;NLCS-object;1
OPLEGBLOK;BC;NLCS-object;1
BETONVORM;BC;NLCS-object;1
VOORSPANNING;BC;NLCS-object;1
LEVENSDUURVERLENGENDE MAATREGEL;BC;NLCS-object;1
SLOOPLIJN;BC;NLCS-object;1
STORTNAAD;BC;NLCS-object;1
REPARATIES;BC;NLCS-object;1
ITSO;BC;NLCS-object;1
DILATATIE;BC;NLCS-object;1
OVERIGMATERIAAL;BC;NLCS-object;1
VOEGPROFIEL;BC;NLCS-object;1
AANGRENZENDE CONSTRUCTIE_HOUT;BC;NLCS-object;1
AANGRENZENDE CONSTRUCTIE_METSELWERK;BC;NLCS-object;1
AANGRENZENDE CONSTRUCTIE_STAAL;BC;NLCS-object;1
WAPENING_BIJLEGWAPENING;BC;NLCS-object;1
WAPENING_LOOPLIJN;BC;NLCS-object;1
WAPENING_HOOFDWAPENING;BC;NLCS-object;1
WAPENING_SUPPORT;BC;NLCS-object;1
BETONVORM_VSP;BC;NLCS-object;1
BETONVORM_GEWAPEND;BC;NLCS-object;1
BETONVORM_LICHT;BC;NLCS-object;1
BETONVORM_PREFAB;BC;NLCS-object;1
BETONVORM_BALLAST;BC;NLCS-object;1
BETONVORM_OWB;BC;NLCS-object;1
BETONVORM_ONGEWAPEND;BC;NLCS-object;1
BETONVORM_WERKVLOER;BC;NLCS-object;1
BETONVORM_IN HET WERK GESTORT;BC;NLCS-object;1
VOORSPANNING_SUPPORT;BC;NLCS-object;1
VOORSPANNING_ZONDER AANHECHTING;BC;NLCS-object;1
VOORSPANNING_MET AANHECHTING;BC;NLCS-object;1
BETONVORM_VSP_PREFAB;BC;NLCS-object;1
VOORSPANNING_ZONDER AANHECHTING_VERANKERING;BC;NLCS-object;1
VOORSPANNING_ZONDER AANHECHTING_KABEL;BC;NLCS-object;1
VOORSPANNING_MET AANHECHTING_KABEL;BC;NLCS-object;1
VOORSPANNING_MET AANHECHTING_VERANKERING;BC;NLCS-object;1
WVP;WH;NLCS-object;1
