"FASE","BIB","ARCERING","opt","ID","VRKL_KORT","VRKL_LANG","STATUS"
"","AVH","AVH-BSS_DIKFORMAAT_BLOK-SO","SO","122","dikformaatblokverband","","*"
"","AVH","AVH-BSS_DIKFORMAAT_BLOK-SO","SO","285","dikformaatblokverband","","*"
"","AVH","AVH-BSS_LINGEFORMAAT_HALFST","","344","lingeformaathalfsteensverband","","*"
"","AVH","AVH-BSS_LINGEFORMAAT_HALFST","","343","lingeformaathalfsteensverband","","*"
"","AVH","AVH-BSS_WAALFORMAAT-SOD","SOD","441","bsswaalformaat","","*"
"","AVH","AVH-BSS_WAALFORMAAT_ELLEBOOG-SO","SO","299","waalformaatelleboogverband","","*"
"","AVH","AVH-BSS_WAALFORMAAT_ELLEBOOG-SO","SO","137","waalformaatelleboogverband","","*"
"","AVH","AVH-BSS_KEIFORMAAT_DUBBEL-SO","SO","291","dubbelsteensverbandbss","","*"
"","AVH","AVH-BSS_KEIFORMAAT_DUBBEL-SO","SO","128","dubbelsteensverbandbss","","*"
"","AVH","AVH-BSS_OPENGESTRAAT-SO","SO","135","betonstraatstenenopengestraat","","*"
"","AVH","AVH-BSS_KEIFORMAAT_BLOK-SO","SO","125","keiformaatblokverband","","*"
"","AVH","AVH-BSS_KEIFORMAAT_BLOK-SO","SO","289","keiformaatblokverband","","*"
"","AVH","AVH-BSS_DIKFORMAAT-SOD","SOD","438","bssdikformaat","","*"
"","AVH","AVH-BSS_DIKFORMAAT_HALFST-SO","SO","287","dikformaathalfsteensverband","","*"
"","AVH","AVH-BSS_DIKFORMAAT_HALFST-SO","SO","124","dikformaathalfsteensverband","","*"
"","AVH","AVH-BSS_WAALFORMAAT_BLOK-SO","SO","136","waalformaatblokverband","","*"
"","AVH","AVH-BSS_WAALFORMAAT_BLOK-SO","SO","298","waalformaatblokverband","","*"
"","AVH","AVH-OVERIG_02-SO","SO","186","overig02","","*"
"","AVH","AVH-OVERIG_02-SO","SO","411","overig02","","*"
"","AVH","AVH-OVERIG_04-SO","SO","188","overig04","","*"
"","AVH","AVH-OVERIG_03-SO","SO","187","overig03","","*"
"","AVH","AVH-OVERIG_KOPSHOUT-SO","SO","190","balkdoorsnede","","*"
"","AVH","AVH-OVERIG_KOPSHOUT-SO","SO","412","balkdoorsnede","","*"
"","AVH","AVH-OVERIG_TRANENPLAAT_01-SO","SO","192","stalentranenplaat","","*"
"","AVH","AVH-OVERIG_TRANENPLAAT_01-SO","SO","192","stalentranenplaat01","","*"
"","AVH","AVH-OVERIG_TRANENPLAAT_01-SO","SO","420","stalentranenplaat","","*"
"","AVH","AVH-OVERIG_TRANENPLAAT_01-SO","SO","420","stalentranenplaat01","","*"
"","AVH","AVH-OVERIG_05-SO","SO","189","overig05","","*"
"","AVH","AVH-OVERIG_TRANENPLAAT_02-SO","SO","193","stalentranenplaat02","","*"
"","AVH","AVH-OVERIG_01-SO","SO","410","overig01","","*"
"","AVH","AVH-OVERIG_01-SO","SO","185","overig01","","*"
"","AVH","AVH-OVERIG_LANGSHOUT-SO","SO","413","balkaanzicht","","*"
"","AVH","AVH-OVERIG_LANGSHOUT-SO","SO","191","balkaanzicht","","*"
"","AVH","AVH-HERSTRATEN-SO","SO","404","herstraten","","*"
"","AVH","AVH-HERSTRATEN-SO","SO","282","herstraten","","*"
"","AVH","AVH-FUNDERING_GRAN_MENG_01-SOD","SOD","156","menggranulaat01","","*"
"","AVH","AVH-FUNDERING_GRAN_MENG_02-SOD","SOD","157","menggranulaatsoort2","","*"
"","AVH","AVH-FUNDERING_SCHUIMBETON-SOD","SOD","212","schuimbeton","","*"
"","AVH","AVH-FUNDERING_SLAKKEN_02-SOD","SOD","149","slakken","","*"
"","AVH","AVH-FUNDERING_ZAND-SOD","SOD","250","ophoogzand","","*"
"","AVH","AVH-FUNDERING_01-SOD","SOD","143","fundering","","*"
"","AVH","AVH-FUNDERING_OVERIG-SOD","SOD","147","funderingn.n.t.b.","","*"
"","AVH","AVH-FUNDERING_ZANDCEMENTSTAB-SOD","SOD","251","straatzand","","*"
"","AVH","AVH-FUNDERING_SLAKKEN_01-SOD","SOD","148","avi-slakken/vliegas/vuilverbranding","","*"
"","AVH","AVH-FUNDERING_EPS-SOD","SOD","146","epshardschuim","","*"
