"OMSCHRIJVING","STATUS","DISCIPLINE","Hoofdgroep","Object","SubObject01","SubObject02","SubObject03","SubObject04","SubObject05","Bewerking","Element","Arcering","Symbool","Laagnaam","BLineweight","BColor","BColorA","BColorGD","BColorGN","BColorV","B_Linetype","NLineweight","NColor","NColorA","NColorGD","NColorGN","NColorV","N_Linetype","VLineweight","VColor","VColorA","VColorGD","VColorGN","VColorV","V_Linetype","TLineweight","TColor","TColorA","TColorGD","TColorGN","TColorV","T_Linetype","VRKL_KORT","VRKL_LANG","ID","KIND_VAN"
"BEWEGWIJZERING_DRAAGCONSTRUCTIE","*","**","VW","BEWEGWIJZERING","DRAAGCONSTRUCTIE","","","","","","G/S","","SVW:SVW-BEWEGWIJZERING_DRAAGCONSTRUCTIE_PORTAAL_COMB","*-**-VW-BEWEGWIJZERING_DRAAGCONSTRUCTIE-G/S","0.18","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","V-CONTINUOUS-SO","0.35","7","7","7","7","253","CONTINUOUS","","","2564","2553"
"BEWEGWIJZERING_VOETGANGER","*","**","VW","BEWEGWIJZERING","VOETGANGER","","","","","","G","","","*-**-VW-BEWEGWIJZERING_VOETGANGER-G","0.18","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","V-CONTINUOUS-SO","0.35","7","7","7","7","253","CONTINUOUS","","","2561","2553"
"BEWEGWIJZERING_GEBIEDSONTSLUITINGWEG","*","**","VW","BEWEGWIJZERING","GEBIEDSONTSLUITINGWEG","","","","","","G","","","*-**-VW-BEWEGWIJZERING_GEBIEDSONTSLUITINGWEG-G","0.18","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","V-CONTINUOUS-SO","0.35","7","7","7","7","253","CONTINUOUS","","","2555","2553"
"BEWEGWIJZERING_STROOMWEG","*","**","VW","BEWEGWIJZERING","STROOMWEG","","","","","","G","","","*-**-VW-BEWEGWIJZERING_STROOMWEG-G","0.18","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","V-CONTINUOUS-SO","0.35","7","7","7","7","253","CONTINUOUS","","","2556","2553"
"BEWEGWIJZERING_BROMFIETS","*","**","VW","BEWEGWIJZERING","BROMFIETS","","","","","","G","","","*-**-VW-BEWEGWIJZERING_BROMFIETS-G","0.18","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","V-CONTINUOUS-SO","0.35","7","7","7","7","253","CONTINUOUS","","","2560","2553"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_RD_RA2.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_LA_7.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_LA_HAMERKOP7.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_GEBOGEN_7.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_RA_RABRUG7.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_ROTONDE_RD_RA6.8","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_RA_5.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_ROTONDE_RD_RALA6.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_RA_BRUG5.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_BAJONET_7.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_LA_2.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_RA_HAMERKOP5.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_LA_HAMERKOP5.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_ROTONDE_LA_6.8","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_RD_RALA","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_ROTONDE_RD_6.8","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_LA_LA7.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_RD_RA7.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_RD_RA5.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_VERDRIJF_RE_5.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_LA_TUNNEL5.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_RA_RATUNNEL7.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_LA_RA7.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_ROTONDE_RA_6.8","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_VERDRIJF_RE_7.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_RA_2.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_LA_BRUG5.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_VERDRIJF_LI_5.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_LA_RA5.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_RA_HAMERKOP7.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_LA_TUNNEL7.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_ROTONDE_RD_LA6.8","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_VISHAAK_7.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_VISHAAK_5.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_LA_5.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_ROTONDE_RD_BP6.8","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_RA_TUNNEL7.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_RD_7.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_RA_7.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_RD_5.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_VERDRIJF_LI_7.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_LA_LABRUG7.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_RA_BRUG7.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_BAJONET_5.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_RD_LA7.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_RA_RA7.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_RD_2.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_GEBOGEN_5.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_LA_LATUNNEL7.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_RD_LA5.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_LA_BRUG7.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_RD_RALA7.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_RD_LA2.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_COMBI_RA_TUNNEL5.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_PIJL","*","**","VW","MARKERING","PIJL","","","","","","G/S","","SVW:SVW-MARKERING_PIJL_ANTISPOOK_7.","*-**-VW-MARKERING_PIJL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2570","2569"
"MARKERING_VERDRIJFSTREEP","*","**","VW","MARKERING","VERDRIJFSTREEP","","","","","","G","","","*-**-VW-MARKERING_VERDRIJFSTREEP-G","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2571","2569"
"MARKERING_PUNTSTUK","*","**","VW","MARKERING","PUNTSTUK","","","","","","G","","","*-**-VW-MARKERING_PUNTSTUK-G","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2572","2569"
"MARKERING_LANGS","*","**","VW","MARKERING","LANGS","","","","","","G","","","*-**-VW-MARKERING_LANGS-G","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2578","2569"
"MARKERING_SYMBOOL","*","**","VW","MARKERING","SYMBOOL","","","","","","G/S","","SVW:SVW-MARKERING_SYMBOOL_VOORWAARSCHUWINGSDRIEHOEK_8.","*-**-VW-MARKERING_SYMBOOL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2573","2569"
"MARKERING_SYMBOOL","*","**","VW","MARKERING","SYMBOOL","","","","","","G/S","","SVW:SVW-MARKERING_SYMBOOL_50_1.","*-**-VW-MARKERING_SYMBOOL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2573","2569"
"MARKERING_SYMBOOL","*","**","VW","MARKERING","SYMBOOL","","","","","","G/S","","SVW:SVW-MARKERING_SYMBOOL_SCHOOLZONE_1.","*-**-VW-MARKERING_SYMBOOL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2573","2569"
"MARKERING_SYMBOOL","*","**","VW","MARKERING","SYMBOOL","","","","","","G/S","","SVW:SVW-MARKERING_SYMBOOL_60_1.","*-**-VW-MARKERING_SYMBOOL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2573","2569"
"MARKERING_SYMBOOL","*","**","VW","MARKERING","SYMBOOL","","","","","","G/S","","SVW:SVW-MARKERING_SYMBOOL_SCHOOLZONE_EINDE_0.","*-**-VW-MARKERING_SYMBOOL-G/S","0.18","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","2573","2569"
