"OMSCHRIJVING","STATUS","DISCIPLINE","Hoofdgroep","Object","SubObject01","SubObject02","SubObject03","SubObject04","SubObject05","Bewerking","Element","Arcering","Symbool","Laagnaam","BLineweight","BColor","BColorA","BColorGD","BColorGN","BColorV","B_Linetype","NLineweight","NColor","NColorA","NColorGD","NColorGN","NColorV","N_Linetype","VLineweight","VColor","VColorA","VColorGD","VColorGN","VColorV","V_Linetype","TLineweight","TColor","TColorA","TColorGD","TColorGN","TColorV","T_Linetype","VRKL_KORT","VRKL_LANG","ID","KIND_VAN"
"EXPLOSIEVEN","*","**","MO","EXPLOSIEVEN","","","","","","","G","","","*-**-MO-EXPLOSIEVEN-G","0.18","10","12","10","10","253","MO-EXPLOSIEVEN-SO","0.35","10","12","10","10","253","MO-EXPLOSIEVEN-SO","0.35","10","12","10","10","253","V-MO-EXPLOSIEVEN-SO","0.35","10","12","10","10","253","MO-EXPLOSIEVEN-SO","","","1549",""
"WATERBODEM","*","**","MO","WATERBODEM","","","","","","","G","","","*-**-MO-WATERBODEM-G","0.18","30","32","32","32","253","CONTINUOUS","0.35","30","32","32","32","253","CONTINUOUS","0.35","30","32","32","32","253","V-CONTINUOUS-SO","0.35","30","32","32","32","253","CONTINUOUS","","","1513",""
"ROUTE GEVAARLIJKE STOFFEN","*","**","MO","ROUTE GEVAARLIJKE STOFFEN","","","","","","","G","","","*-**-MO-ROUTE GEVAARLIJKE STOFFEN-G","0.18","20","22","20","20","253","CONTINUOUS","0.7","20","22","20","20","253","CONTINUOUS","0.7","20","22","20","20","253","V-CONTINUOUS-SO","0.7","20","22","20","20","253","CONTINUOUS","","","3137",""
"LOCATIE_FOTO","*","**","MO","LOCATIE","FOTO","","","","","","G","","","*-**-MO-LOCATIE_FOTO-G","0.18","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","V-CONTINUOUS-SO","0.35","30","32","30","30","253","CONTINUOUS","","","1476","1475"
"TRILLING_CONTOUR","*","**","MO","TRILLING","CONTOUR","","","","","","G","","","*-**-MO-TRILLING_CONTOUR-G","0.18","210","212","210","210","253","MO-BORDER-SO","0.7","210","212","210","210","253","MO-BORDER-SO","0.35","210","212","210","210","253","V-MO-BORDER-SO","0.35","210","212","210","210","253","MO-BORDER-SO","","","1540","1539"
"ONDERZOEK_SONDERING","*","**","MO","ONDERZOEK","SONDERING","","","","","","G/S","","SMO:SMO-BODEM_SONDERING","*-**-MO-ONDERZOEK_SONDERING-G/S","0.18","90","92","30","30","253","CONTINUOUS","0.35","90","92","30","30","253","CONTINUOUS","0.35","90","92","30","30","253","V-CONTINUOUS-SO","0.35","90","92","30","30","253","CONTINUOUS","","","1478","1477"
"ONDERZOEK_MINIFILTER","*","**","MO","ONDERZOEK","MINIFILTER","","","","","","G/S","","SMO:SMO-BODEM_MINIFILTER","*-**-MO-ONDERZOEK_MINIFILTER-G/S","0.18","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","V-CONTINUOUS-SO","0.35","30","32","30","30","253","CONTINUOUS","","","1490","1477"
"ONDERZOEK_HELLINGMETERBUIS","*","**","MO","ONDERZOEK","HELLINGMETERBUIS","","","","","","G/S","","SMO:SMO-BODEM_HELLINGMETERBUIS","*-**-MO-ONDERZOEK_HELLINGMETERBUIS-G/S","0.18","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","V-CONTINUOUS-SO","0.35","30","32","30","30","253","CONTINUOUS","","","1489","1477"
"ONDERZOEK_SPANNINGSMETER","*","**","MO","ONDERZOEK","SPANNINGSMETER","","","","","","G/S","","SMO:SMO-BODEM_WATERSPANNINGSMETER","*-**-MO-ONDERZOEK_SPANNINGSMETER-G/S","0.18","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","V-CONTINUOUS-SO","0.35","150","152","150","150","253","CONTINUOUS","","","1494","1477"
"ONDERZOEK_PUIN","*","**","MO","ONDERZOEK","PUIN","","","","","","G","","","*-**-MO-ONDERZOEK_PUIN-G","0.18","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","V-CONTINUOUS-SO","0.35","30","32","30","30","253","CONTINUOUS","","","1493","1477"
"ONDERZOEK_PEILBUIS","*","**","MO","ONDERZOEK","PEILBUIS","","","","","","G/S","","SMO:SMO-BODEM_PEILBUIS_1FILTER_HANDMATIG","*-**-MO-ONDERZOEK_PEILBUIS-G/S","0.18","150","152","30","30","253","CONTINUOUS","0.35","150","152","30","30","253","CONTINUOUS","0.35","150","152","30","30","253","V-CONTINUOUS-SO","0.35","150","152","30","30","253","CONTINUOUS","","","1484","1477"
"ONDERZOEK_PEILBUIS","*","**","MO","ONDERZOEK","PEILBUIS","","","","","","G/S","","SMO:SMO-BODEM_PEILBUIS_1FILTER","*-**-MO-ONDERZOEK_PEILBUIS-G/S","0.18","150","152","30","30","253","CONTINUOUS","0.35","150","152","30","30","253","CONTINUOUS","0.35","150","152","30","30","253","V-CONTINUOUS-SO","0.35","150","152","30","30","253","CONTINUOUS","","","1484","1477"
"ONDERZOEK_PEILBUIS","*","**","MO","ONDERZOEK","PEILBUIS","","","","","","G/S","","SMO:SMO-BODEM_PEILBUIS_MIDIFILTER","*-**-MO-ONDERZOEK_PEILBUIS-G/S","0.18","150","152","30","30","253","CONTINUOUS","0.35","150","152","30","30","253","CONTINUOUS","0.35","150","152","30","30","253","V-CONTINUOUS-SO","0.35","150","152","30","30","253","CONTINUOUS","","","1484","1477"
"ONDERZOEK_PEILBUIS","*","**","MO","ONDERZOEK","PEILBUIS","","","","","","G/S","","SMO:SMO-BODEM_PEILBUIS_MINIFILTER","*-**-MO-ONDERZOEK_PEILBUIS-G/S","0.18","150","152","30","30","253","CONTINUOUS","0.35","150","152","30","30","253","CONTINUOUS","0.35","150","152","30","30","253","V-CONTINUOUS-SO","0.35","150","152","30","30","253","CONTINUOUS","","","1484","1477"
"ONDERZOEK_PEILBUIS","*","**","MO","ONDERZOEK","PEILBUIS","","","","","","G/S","","SMO:SMO-BODEM_PEILBUIS_2FILTER","*-**-MO-ONDERZOEK_PEILBUIS-G/S","0.18","150","152","30","30","253","CONTINUOUS","0.35","150","152","30","30","253","CONTINUOUS","0.35","150","152","30","30","253","V-CONTINUOUS-SO","0.35","150","152","30","30","253","CONTINUOUS","","","1484","1477"
"ONDERZOEK_PEILBUIS","*","**","MO","ONDERZOEK","PEILBUIS","","","","","","G/S","","SMO:SMO-BODEM_PEILBUIS_3FILTER","*-**-MO-ONDERZOEK_PEILBUIS-G/S","0.18","150","152","30","30","253","CONTINUOUS","0.35","150","152","30","30","253","CONTINUOUS","0.35","150","152","30","30","253","V-CONTINUOUS-SO","0.35","150","152","30","30","253","CONTINUOUS","","","1484","1477"
"ONDERZOEK_STEEK","*","**","MO","ONDERZOEK","STEEK","","","","","","G/S","","SMO:SMO-BODEM_STEEK_BAGGERLAAG","*-**-MO-ONDERZOEK_STEEK-G/S","0.18","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","V-CONTINUOUS-SO","0.35","30","32","30","30","253","CONTINUOUS","","","2912","1477"
"ONDERZOEK_STEEK","*","**","MO","ONDERZOEK","STEEK","","","","","","G/S","","SMO:SMO-BODEM_STEEK_VASTEBODEM","*-**-MO-ONDERZOEK_STEEK-G/S","0.18","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","V-CONTINUOUS-SO","0.35","30","32","30","30","253","CONTINUOUS","","","2912","1477"
"ONDERZOEK_STEEK","*","**","MO","ONDERZOEK","STEEK","","","","","","G/S","","SMO:SMO-BODEM_STEEK_WATERBODEM","*-**-MO-ONDERZOEK_STEEK-G/S","0.18","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","V-CONTINUOUS-SO","0.35","30","32","30","30","253","CONTINUOUS","","","2912","1477"
"ONDERZOEK_GRAAFGAT","*","**","MO","ONDERZOEK","GRAAFGAT","","","","","","G/S","","SMO:SMO-BODEM_ASBESTGAT","*-**-MO-ONDERZOEK_GRAAFGAT-G/S","0.18","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","V-CONTINUOUS-SO","0.35","30","32","30","30","253","CONTINUOUS","","","1491","1477"
"ONDERZOEK_SLEUF","*","**","MO","ONDERZOEK","SLEUF","","","","","","G/S","","SMO:SMO-BODEM_PROEFSLEUF","*-**-MO-ONDERZOEK_SLEUF-G/S","0.18","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","V-CONTINUOUS-SO","0.35","30","32","30","30","253","CONTINUOUS","","","2911","1477"
"ONDERZOEK_BORING","*","**","MO","ONDERZOEK","BORING","","","","","","G/S","","SMO:SMO-BODEM_BORING","*-**-MO-ONDERZOEK_BORING-G/S","0.18","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","V-CONTINUOUS-SO","0.35","30","32","30","30","253","CONTINUOUS","","","1480","1477"
"ONDERZOEK_VASTPUNT","*","**","MO","ONDERZOEK","VASTPUNT","","","","","","G/S","","SMO:SMO-BODEM_VASTPUNT","*-**-MO-ONDERZOEK_VASTPUNT-G/S","0.18","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","V-CONTINUOUS-SO","0.35","30","32","30","30","253","CONTINUOUS","","","2913","1477"
"ONDERZOEK_ZAKBAAK","*","**","MO","ONDERZOEK","ZAKBAAK","","","","","","G/S","","SMO:SMO-BODEM_ZAKBAAK","*-**-MO-ONDERZOEK_ZAKBAAK-G/S","0.18","190","192","30","30","253","CONTINUOUS","0.35","190","192","30","30","253","CONTINUOUS","0.35","190","192","30","30","253","V-CONTINUOUS-SO","0.35","190","192","30","30","253","CONTINUOUS","","","1487","1477"
"ONDERZOEK_SLIBMONSTER","*","**","MO","ONDERZOEK","SLIBMONSTER","","","","","","G/S","","SMO:SMO-BODEM_SLIBMONSTER","*-**-MO-ONDERZOEK_SLIBMONSTER-G/S","0.18","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","V-CONTINUOUS-SO","0.35","30","32","30","30","253","CONTINUOUS","","","1486","1477"
"SCHADE_STAAL","*","**","MO","SCHADE","STAAL","","","","","","G","","","*-**-MO-SCHADE_STAAL-G","0.18","130","132","130","130","253","CONTINUOUS","0.35","130","132","130","130","253","CONTINUOUS","0.35","130","132","130","130","253","V-CONTINUOUS-SO","0.35","130","132","130","130","253","CONTINUOUS","","","1571","1570"
"SCHADE_METSELWERK","*","**","MO","SCHADE","METSELWERK","","","","","","G","","","*-**-MO-SCHADE_METSELWERK-G","0.18","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","1578","1570"
"SCHADE_GRONDKERING","*","**","MO","SCHADE","GRONDKERING","","","","","","G","","","*-**-MO-SCHADE_GRONDKERING-G","0.18","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","1575","1570"
"SCHADE_VERHARDING","*","**","MO","SCHADE","VERHARDING","","","","","","G","","","*-**-MO-SCHADE_VERHARDING-G","0.18","130","132","130","130","253","CONTINUOUS","0.35","130","132","130","130","253","CONTINUOUS","0.35","130","132","130","130","253","V-CONTINUOUS-SO","0.35","130","132","130","130","253","CONTINUOUS","","","1579","1570"
"SCHADE_FUNDERING","*","**","MO","SCHADE","FUNDERING","","","","","","G","","","*-**-MO-SCHADE_FUNDERING-G","0.18","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","1576","1570"
"SCHADE_HOUT","*","**","MO","SCHADE","HOUT","","","","","","G","","","*-**-MO-SCHADE_HOUT-G","0.18","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","V-CONTINUOUS-SO","0.35","40","42","40","40","253","CONTINUOUS","","","1573","1570"
"SCHADE_MECHANISCH","*","**","MO","SCHADE","MECHANISCH","","","","","","G","","","*-**-MO-SCHADE_MECHANISCH-G","0.18","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","1574","1570"
"SCHADE_KUNSTSTOF","*","**","MO","SCHADE","KUNSTSTOF","","","","","","G","","","*-**-MO-SCHADE_KUNSTSTOF-G","0.18","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","1577","1570"
"SCHADE_BETON","*","**","MO","SCHADE","BETON","","","","","","G","","","*-**-MO-SCHADE_BETON-G","0.18","252","252","252","252","253","CONTINUOUS","0.35","252","252","252","252","253","CONTINUOUS","0.35","252","252","252","252","253","V-CONTINUOUS-SO","0.35","252","252","252","252","253","CONTINUOUS","","","1572","1570"
"ARCHEOLOGIE_VINDPLAATS","*","**","MO","ARCHEOLOGIE","VINDPLAATS","","","","","","G","","","*-**-MO-ARCHEOLOGIE_VINDPLAATS-G","0.18","90","92","90","90","253","MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","253","MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","253","V-MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","253","MO-ARCHEOLOGIE-SO","","","1551","1550"
"ARCHEOLOGIE_MEETLIJN","*","**","MO","ARCHEOLOGIE","MEETLIJN","","","","","","G","","","*-**-MO-ARCHEOLOGIE_MEETLIJN-G","0.18","90","92","90","90","253","MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","253","MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","253","V-MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","253","MO-ARCHEOLOGIE-SO","","","1558","1550"
"ARCHEOLOGIE_HISTORISCHE KERN","*","**","MO","ARCHEOLOGIE","HISTORISCHE KERN","","","","","","G","","","*-**-MO-ARCHEOLOGIE_HISTORISCHE KERN-G","0.18","90","92","90","90","250,190,145","MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","250,190,145","MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","250,190,145","MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","250,190,145","V-MO-ARCHEOLOGIE-SO","","","3124","1550"
"ARCHEOLOGIE_NAP","*","**","MO","ARCHEOLOGIE","NAP","","","","","","G","","","*-**-MO-ARCHEOLOGIE_NAP-G","0.18","90","92","90","90","253","MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","253","MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","253","V-MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","253","MO-ARCHEOLOGIE-SO","","","1557","1550"
"ARCHEOLOGIE_VONDST","*","**","MO","ARCHEOLOGIE","VONDST","","","","","","G","","","*-**-MO-ARCHEOLOGIE_VONDST-G","0.18","90","92","90","90","253","MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","253","MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","253","V-MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","253","MO-ARCHEOLOGIE-SO","","","1552","1550"
"ARCHEOLOGIE_GRONDSLAGPUNT","*","**","MO","ARCHEOLOGIE","GRONDSLAGPUNT","","","","","","G","","","*-**-MO-ARCHEOLOGIE_GRONDSLAGPUNT-G","0.18","90","92","90","90","253","MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","253","MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","253","V-MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","253","MO-ARCHEOLOGIE-SO","","","1556","1550"
"ARCHEOLOGIE_KOLOMOPNAME","*","**","MO","ARCHEOLOGIE","KOLOMOPNAME","","","","","","G","","","*-**-MO-ARCHEOLOGIE_KOLOMOPNAME-G","0.18","90","92","90","90","253","MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","253","MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","253","V-MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","253","MO-ARCHEOLOGIE-SO","","","1555","1550"
"ARCHEOLOGIE_COUPE","*","**","MO","ARCHEOLOGIE","COUPE","","","","","","G","","","*-**-MO-ARCHEOLOGIE_COUPE-G","0.18","90","92","90","90","253","MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","253","MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","253","V-MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","253","MO-ARCHEOLOGIE-SO","","","1554","1550"
"ARCHEOLOGIE_SPOOR","*","**","MO","ARCHEOLOGIE","SPOOR","","","","","","G","","","*-**-MO-ARCHEOLOGIE_SPOOR-G","0.18","90","92","90","90","253","MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","253","MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","253","V-MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","253","MO-ARCHEOLOGIE-SO","","","1553","1550"
