OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;ID;KIND_VAN;objectURI;kind_vanURI
TEKENBLAD_SITUATIE;X;-;XX;-;AL;-;TEKENBLAD;_;SITUATIE;;;;;;;;;;;;;;;X-XX-AL-TEKENBLAD_SITUATIE;0.18;7;7;7;7;253;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;21;12;http://digitalbuildingdata.tech/nlcs/def/22235789-48d3-4154-8f8d-63ed70b13e04;http://digitalbuildingdata.tech/nlcs/def/7158aa53-1b03-40c5-bf95-8d31e2c72624
TEKENBLAD_TITELBLOK;X;-;XX;-;AL;-;TEKENBLAD;_;TITELBLOK;;;;;;;;;;;;;;;X-XX-AL-TEKENBLAD_TITELBLOK;0.25;7;7;7;7;253;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;22;12;http://digitalbuildingdata.tech/nlcs/def/136521c9-daf1-49e9-b172-75e75b470a76;http://digitalbuildingdata.tech/nlcs/def/7158aa53-1b03-40c5-bf95-8d31e2c72624
TEKENBLAD_TITELBLOK_BEDRIJFSLOGO;X;-;XX;-;AL;-;TEKENBLAD;_;TITELBLOK;_;BEDRIJFSLOGO;;;;;;;;;;;;;X-XX-AL-TEKENBLAD_TITELBLOK_BEDRIJFSLOGO;0.25;7;7;7;7;251;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;23;22;http://digitalbuildingdata.tech/nlcs/def/142d5294-b077-446d-87e7-30f2777e841d;http://digitalbuildingdata.tech/nlcs/def/7158aa53-1b03-40c5-bf95-8d31e2c72624
TEKENBLAD_VERKLARING;X;-;XX;-;AL;-;TEKENBLAD;_;VERKLARING;;;;;;;;;;;;;;;X-XX-AL-TEKENBLAD_VERKLARING;0.18;7;7;7;7;253;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;24;12;http://digitalbuildingdata.tech/nlcs/def/5c8ecbe8-2744-4c16-87df-9a4db5b2c7c8;http://digitalbuildingdata.tech/nlcs/def/7158aa53-1b03-40c5-bf95-8d31e2c72624
TEKENBLAD_VIEWPORT;X;-;XX;-;AL;-;TEKENBLAD;_;VIEWPORT;;;;;;;;;;;;;;;X-XX-AL-TEKENBLAD_VIEWPORT;0.18;7;7;7;7;253;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;25;12;http://digitalbuildingdata.tech/nlcs/def/b5f97208-afc7-442d-ad3f-a1e4371644e8;http://digitalbuildingdata.tech/nlcs/def/b587d613-cd7c-4348-a3b4-24538c0cb9f2
TEKENBLAD_WIJZIGINGSBLOK;X;-;XX;-;AL;-;TEKENBLAD;_;WIJZIGINGSBLOK;;;;;;;;;;;;;;;X-XX-AL-TEKENBLAD_WIJZIGINGSBLOK;0.25;7;7;7;7;253;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;26;12;http://digitalbuildingdata.tech/nlcs/def/5bd4b95a-dc71-42af-b5cf-c2d7449f9760;
TEKENBLADGRENS;X;-;XX;-;AL;-;TEKENBLADGRENS;;;;;;;;;;;;;;;;;X-XX-AL-TEKENBLADGRENS;0.35;7;7;7;7;253;AL-TEKENBLADGRENS-SO;;;;;;;;;;;;;;;;;;;;;;;;38;;http://digitalbuildingdata.tech/nlcs/def/6b3b0a4e-ae5c-41b6-8924-e37f88c13d31;
VERWIJZING;X;-;XX;-;AL;-;VERWIJZING;;;;;;;;;;;;;;;;SAL-VERWIJZING;X-XX-AL-VERWIJZING;0.18;7;7;7;7;253;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;27;;http://digitalbuildingdata.tech/nlcs/def/f7144968-6e00-4516-a3bc-9b7b556cc0a5;
VERWIJZING_AANZICHT;X;-;XX;-;AL;-;VERWIJZING;_;AANZICHT;;;;;;;;;;;;;;;X-XX-AL-VERWIJZING_AANZICHT;0.35;7;7;7;7;253;AL-AANZICHT-SO;;;;;;;;;;;;;;;;;;;;;;;;28;27;http://digitalbuildingdata.tech/nlcs/def/ae1369b0-0ece-4017-94a5-f001804b4188;
VERWIJZING_DETAIL;X;-;XX;-;AL;-;VERWIJZING;_;DETAIL;;;;;;;;;;;;;;;X-XX-AL-VERWIJZING_DETAIL;0.35;7;7;7;7;253;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;29;27;http://digitalbuildingdata.tech/nlcs/def/82677c85-1aa0-4ea4-ad78-a9534476dc8e;
VERWIJZING_WIJZIGING;X;-;XX;-;AL;-;VERWIJZING;_;WIJZIGING;;;;;;;;;;;;;;;X-XX-AL-VERWIJZING_WIJZIGING;0.18;7;7;7;7;253;AL-WIJZIGING-SO;;;;;;;;;;;;;;;;;;;;;;;;31;27;http://digitalbuildingdata.tech/nlcs/def/f54c6021-5e77-48aa-a020-0bf0f86da9e4;
