OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;ID;KIND_VAN;URI;KIND_VAN_URI
VOORSPANNING_SUPPORT;*;-;**;-;BC;-;VOORSPANNING;_;SUPPORT;;;;;;;;;;;;;;;*-**-BC-VOORSPANNING_SUPPORT;0.18;7;252;7;7;254;CONTINUOUS;0.25;7;254;7;7;254;CONTINUOUS;0.18;7;252;7;7;254;V-CONTINUOUS-SO;0.18;7;252;7;7;254;CONTINUOUS;;;2739;2732;http://digitalbuildingdata.tech/nlcs/def/6285f5b6-77b6-47fc-93a9-ef21512a9fe4;http://digitalbuildingdata.tech/nlcs/def/f388d713-909d-46fe-9591-f7bf6eff2b77
BETONVORM_VSP_PREFAB;*;-;**;-;BC;-;BETONVORM;_;VSP;_;PREFAB;;;;;;;;;;;;;*-**-BC-BETONVORM_VSP_PREFAB;0.18;40;253;90;10;253;CONTINUOUS;0.25;40;253;90;10;253;CONTINUOUS;0.25;40;253;90;10;253;V-CONTINUOUS-SO;0.25;40;253;90;10;253;CONTINUOUS;;;2716;2715;http://digitalbuildingdata.tech/nlcs/def/4bc16cd8-8807-4beb-9b38-d8f3e020eb31;http://digitalbuildingdata.tech/nlcs/def/32c86848-743a-49ad-aa66-436530d4aac2
VOORSPANNING_ZONDER AANHECHTING_VERANKERING;*;-;**;-;BC;-;VOORSPANNING;_;ZONDER AANHECHTING;_;VERANKERING;;;;;;;;;;;;;*-**-BC-VOORSPANNING_ZONDER AANHECHTING_VERANKERING;0.18;180;252;200;190;254;CONTINUOUS;0.25;180;254;200;190;254;CONTINUOUS;0.18;180;252;200;190;254;V-CONTINUOUS-SO;0.18;180;252;200;190;254;CONTINUOUS;;;2735;2733;http://digitalbuildingdata.tech/nlcs/def/84e41810-3d1a-4ab3-b5b7-9965165a48ed;http://digitalbuildingdata.tech/nlcs/def/70f297cb-8f45-49ff-88f9-60124b14a5fb
VOORSPANNING_ZONDER AANHECHTING_KABEL;*;-;**;-;BC;-;VOORSPANNING;_;ZONDER AANHECHTING;_;KABEL;;;;;;;;;;;;;*-**-BC-VOORSPANNING_ZONDER AANHECHTING_KABEL;0.18;180;252;200;190;254;CONTINUOUS;0.50;180;254;200;190;254;CONTINUOUS;0.50;180;252;200;190;254;V-CONTINUOUS-SO;0.50;180;252;200;190;254;CONTINUOUS;;;2734;2733;http://digitalbuildingdata.tech/nlcs/def/df7761da-2f5d-4431-b5f6-2da9edd9b74e;http://digitalbuildingdata.tech/nlcs/def/70f297cb-8f45-49ff-88f9-60124b14a5fb
VOORSPANNING_MET AANHECHTING_KABEL;*;-;**;-;BC;-;VOORSPANNING;_;MET AANHECHTING;_;KABEL;;;;;;;;;;;;;*-**-BC-VOORSPANNING_MET AANHECHTING_KABEL;0.18;180;252;200;190;254;BC-KABEL-SO;0.50;180;254;200;190;254;BC-KABEL-SO;0.50;180;252;200;190;254;V-BC-KABEL-SO;0.50;180;252;200;190;254;BC-KABEL-SO;;;2737;2736;http://digitalbuildingdata.tech/nlcs/def/f41e5cd7-7370-4545-8426-2db5e1699ac8;http://digitalbuildingdata.tech/nlcs/def/03255874-3f3f-432b-9fa6-11a6ea8a2d88
VOORSPANNING_MET AANHECHTING_VERANKERING;*;-;**;-;BC;-;VOORSPANNING;_;MET AANHECHTING;_;VERANKERING;;;;;;;;;;;;;*-**-BC-VOORSPANNING_MET AANHECHTING_VERANKERING;0.18;180;252;200;190;254;CONTINUOUS;0.25;180;254;200;190;254;CONTINUOUS;0.18;180;252;200;190;254;V-CONTINUOUS-SO;0.18;180;252;200;190;254;CONTINUOUS;;;2738;2736;http://digitalbuildingdata.tech/nlcs/def/4b42ad66-2b63-4f53-9c9c-19c70c40adbc;http://digitalbuildingdata.tech/nlcs/def/03255874-3f3f-432b-9fa6-11a6ea8a2d88
AANGRENZENDE CONSTRUCTIE;*;-;**;-;BC;-;AANGRENZENDE CONSTRUCTIE;;;;;;;;;;;;;;;;;*-**-BC-AANGRENZENDE CONSTRUCTIE;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;V-CONTINUOUS-SO;0.18;7;253;7;20;253;CONTINUOUS;;;2740;;http://digitalbuildingdata.tech/nlcs/def/ef5558e0-000b-44d5-8d2a-d5c7b51fa1ed;
OPLEGBLOK;*;-;**;-;BC;-;OPLEGBLOK;;;;;;;;;;;;;;;;;*-**-BC-OPLEGBLOK;0.18;30;252;30;30;254;CONTINUOUS;0.18;30;254;30;30;254;CONTINUOUS;0.18;30;252;30;30;254;V-CONTINUOUS-SO;0.18;30;252;30;30;254;CONTINUOUS;;;2726;;http://digitalbuildingdata.tech/nlcs/def/0b3b6bfe-e1bd-487e-b7a0-a69a2f05460b;
VOORSPANNING;*;-;**;-;BC;-;VOORSPANNING;;;;;;;;;;;;;;;;;*-**-BC-VOORSPANNING;0.18;180;252;200;190;254;CONTINUOUS;0.50;180;254;200;190;254;CONTINUOUS;0.50;180;252;200;190;254;V-CONTINUOUS-SO;0.50;180;252;200;190;254;CONTINUOUS;;;2732;;http://digitalbuildingdata.tech/nlcs/def/f388d713-909d-46fe-9591-f7bf6eff2b77;
LEVENSDUURVERLENGENDE MAATREGEL;*;-;**;-;BC;-;LEVENSDUURVERLENGENDE MAATREGEL;;;;;;;;;;;;;;;;;*-**-BC-LEVENSDUURVERLENGENDE MAATREGEL;0.18;170;172;170;170;253;CONTINUOUS;0.25;170;172;170;170;253;CONTINUOUS;0.25;170;172;170;170;253;V-CONTINUOUS-SO;0.25;170;172;170;170;253;CONTINUOUS;;;2746;;http://digitalbuildingdata.tech/nlcs/def/3271d079-7305-4144-9330-33efb5869463;
SLOOPLIJN;*;-;**;-;BC;-;SLOOPLIJN;;;;;;;;;;;;;;;;;*-**-BC-SLOOPLIJN;0.18;10;252;10;10;254;BC-SLOOPLIJN-SO;0.18;10;252;10;10;254;BC-SLOOPLIJN-SO;0.18;10;252;10;10;254;BC-SLOOPLIJN-SO;0.18;10;252;10;10;254;BC-SLOOPLIJN-SO;;;2723;;http://digitalbuildingdata.tech/nlcs/def/ee179ed5-1f4e-4daf-8de6-ea549afa07fd;
STORTNAAD;*;-;**;-;BC;-;STORTNAAD;;;;;;;;;;;;;;;;;*-**-BC-STORTNAAD;0.18;10;252;10;10;254;BC-STORTNAAD-SO;0.18;10;252;10;10;254;BC-STORTNAAD-SO;0.18;10;252;10;10;254;BC-STORTNAAD-SO;0.18;10;252;10;10;254;BC-STORTNAAD-SO;;;2722;;http://digitalbuildingdata.tech/nlcs/def/776e2727-2419-4b54-90c4-695289c00064;
REPARATIES;*;-;**;-;BC;-;REPARATIES;;;;;;;;;;;;;;;;;*-**-BC-REPARATIES;0.18;170;172;170;170;253;CONTINUOUS;0.25;170;172;170;170;253;CONTINUOUS;0.25;170;172;170;170;253;V-CONTINUOUS-SO;0.25;170;172;170;170;253;CONTINUOUS;;;2745;;http://digitalbuildingdata.tech/nlcs/def/304ab180-2472-4a4b-9098-0340adc92860;
ITSO;*;-;**;-;BC;-;ITSO;;;;;;;;;;;;;;;;;*-**-BC-ITSO;0.18;30;252;30;30;254;CONTINUOUS;0.18;30;252;30;30;254;CONTINUOUS;0.18;30;252;30;30;254;V-CONTINUOUS-SO;0.18;30;252;30;30;254;CONTINUOUS;;;2725;;http://digitalbuildingdata.tech/nlcs/def/26fe25ca-7a7e-4d3c-99cd-5c0d8035ba5f;
DILATATIE;*;-;**;-;BC;-;DILATATIE;;;;;;;;;;;;;;;;;*-**-BC-DILATATIE;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;V-CONTINUOUS-SO;0.18;7;253;7;20;253;CONTINUOUS;;;3009;;http://digitalbuildingdata.tech/nlcs/def/5986ac17-417d-42e0-89db-f84397d75aad;
OVERIGMATERIAAL;*;-;**;-;BC;-;OVERIGMATERIAAL;;;;;;;;;;;;;;;;;*-**-BC-OVERIGMATERIAAL;0.18;7;253;7;20;255;CONTINUOUS;0.18;7;253;7;20;255;CONTINUOUS;0.18;7;253;7;20;255;V-CONTINUOUS-SO;0.18;7;253;7;20;255;CONTINUOUS;;;2744;;http://digitalbuildingdata.tech/nlcs/def/afdc34f8-5008-4a3c-9d63-ac750a16465d;
VOEGPROFIEL;*;-;**;-;BC;-;VOEGPROFIEL;;;;;;;;;;;;;;;;;*-**-BC-VOEGPROFIEL;0.18;30;252;30;30;254;CONTINUOUS;0.18;30;252;30;30;254;CONTINUOUS;0.18;30;252;30;30;254;V-CONTINUOUS-SO;0.18;30;252;30;30;254;CONTINUOUS;;;2724;;http://digitalbuildingdata.tech/nlcs/def/eb27111b-7e14-4597-a21c-abe2841941e2;
