OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;ID;KIND_VAN;URI;KIND_VAN_URI
HYDRAULIEKVORM_SCHEMA;*;-;**;-;MC;-;HYDRAULIEKVORM;_;SCHEMA;;;;;;;;;;;;;;;*-**-MC-HYDRAULIEKVORM_SCHEMA;0.18;7;7;7;7;7;CONTINUOUS;0.25;7;7;7;7;7;CONTINUOUS;0.25;7;7;7;7;7;CONTINUOUS;0.25;7;7;7;7;7;CONTINUOUS;;;2964;2834;http://digitalbuildingdata.tech/nlcs/def/9d7d23f5-cf85-44cb-807a-dc1bcb5a0287;http://digitalbuildingdata.tech/nlcs/def/8f5fb3af-58d9-4df6-ba49-79d23f73a2bc
PNEUMATIEKVORM_SCHEMA;*;-;**;-;MC;-;PNEUMATIEKVORM;_;SCHEMA;;;;;;;;;;;;;;;*-**-MC-PNEUMATIEKVORM_SCHEMA;0.18;7;7;7;7;7;CONTINUOUS;0.25;7;7;7;7;7;CONTINUOUS;0.25;7;7;7;7;7;CONTINUOUS;0.25;7;7;7;7;7;CONTINUOUS;;;2975;2830;http://digitalbuildingdata.tech/nlcs/def/b7d3390f-5e1c-43ab-93d7-bad784c4d17d;http://digitalbuildingdata.tech/nlcs/def/94c35bd8-ee32-4b13-bba1-b12fd2b70b41
MECHANISCHVORM_SCHUIVEND;*;-;**;-;MC;-;MECHANISCHVORM;_;SCHUIVEND;;;;;;;;;;;;;;;*-**-MC-MECHANISCHVORM_SCHUIVEND;0.18;7;252;7;7;253;CONTINUOUS;0.35;7;252;7;7;253;CONTINUOUS;0.35;7;252;7;7;253;V-CONTINUOUS-SO;0.35;7;252;7;7;253;CONTINUOUS;;;2828;2825;http://digitalbuildingdata.tech/nlcs/def/191ae6c6-4f8d-40d8-8ab2-aeb2fa3c842d;http://digitalbuildingdata.tech/nlcs/def/4b453c86-41ca-4d91-b7f4-5875053209ce
AANGRENZENDECONSTRUCTIE_STAAL;*;-;**;-;MC;-;AANGRENZENDECONSTRUCTIE;_;STAAL;;;;;;;;;;;;;ACO-STAAL;;*-**-MC-AANGRENZENDECONSTRUCTIE_STAAL;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;V-CONTINUOUS-SO;0.18;7;253;7;20;253;CONTINUOUS;;;2840;2838;http://digitalbuildingdata.tech/nlcs/def/5f95b8ee-f752-4aa1-be20-d046269652a0;http://digitalbuildingdata.tech/nlcs/def/f414e4fd-74ad-435d-87d5-f39d051129c0
MECHANISCHVORM_STATISCH;*;-;**;-;MC;-;MECHANISCHVORM;_;STATISCH;;;;;;;;;;;;;;;*-**-MC-MECHANISCHVORM_STATISCH;0.18;7;252;7;7;253;CONTINUOUS;0.35;7;252;7;7;253;CONTINUOUS;0.35;7;252;7;7;253;V-CONTINUOUS-SO;0.35;7;252;7;7;253;CONTINUOUS;;;2826;2825;http://digitalbuildingdata.tech/nlcs/def/1ec80d92-878e-46da-ab77-171121836868;http://digitalbuildingdata.tech/nlcs/def/4b453c86-41ca-4d91-b7f4-5875053209ce
AANGRENZENDECONSTRUCTIE;*;-;**;-;MC;-;AANGRENZENDECONSTRUCTIE;;;;;;;;;;;;;;;;;*-**-MC-AANGRENZENDECONSTRUCTIE;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;V-CONTINUOUS-SO;0.18;7;253;7;20;253;CONTINUOUS;;;2838;;http://digitalbuildingdata.tech/nlcs/def/f414e4fd-74ad-435d-87d5-f39d051129c0;
HYDRAULIEKVORM;*;-;**;-;MC;-;HYDRAULIEKVORM;;;;;;;;;;;;;;;;;*-**-MC-HYDRAULIEKVORM;0.18;7;252;7;7;253;CONTINUOUS;0.35;7;252;7;7;253;CONTINUOUS;0.35;7;252;7;7;253;V-CONTINUOUS-SO;0.35;7;252;7;7;253;CONTINUOUS;;;2834;;http://digitalbuildingdata.tech/nlcs/def/8f5fb3af-58d9-4df6-ba49-79d23f73a2bc;
LEVENSDUURVERLENGENDE MAATREGEL;*;-;**;-;MC;-;LEVENSDUURVERLENGENDE MAATREGEL;;;;;;;;;;;;;;;;;*-**-MC-LEVENSDUURVERLENGENDE MAATREGEL;0.18;170;172;170;170;253;CONTINUOUS;0.35;170;172;170;170;253;CONTINUOUS;0.35;170;172;170;170;253;V-CONTINUOUS-SO;0.35;170;172;170;170;253;CONTINUOUS;;;2845;;http://digitalbuildingdata.tech/nlcs/def/51ada330-f4cf-4f3b-bd4b-d2993b53f849;
MECHANISCHVORM;*;-;**;-;MC;-;MECHANISCHVORM;;;;;;;;;;;;;;;;;*-**-MC-MECHANISCHVORM;0.18;60;252;130;20;254;CONTINUOUS;0.35;60;252;130;20;254;CONTINUOUS;0.35;60;252;130;20;254;V-CONTINUOUS-SO;0.35;60;252;130;20;254;CONTINUOUS;;;2825;;http://digitalbuildingdata.tech/nlcs/def/4b453c86-41ca-4d91-b7f4-5875053209ce;
OVERIGMATERIAAL;*;-;**;-;MC;-;OVERIGMATERIAAL;;;;;;;;;;;;;;;;;*-**-MC-OVERIGMATERIAAL;0.18;7;253;7;20;254;CONTINUOUS;0.18;7;253;7;20;254;CONTINUOUS;0.18;7;253;7;20;254;V-CONTINUOUS-SO;0.18;7;253;7;20;254;CONTINUOUS;;;2843;;http://digitalbuildingdata.tech/nlcs/def/35afe607-5713-433b-88e6-a8c58046ed33;
PNEUMATIEKVORM;*;-;**;-;MC;-;PNEUMATIEKVORM;;;;;;;;;;;;;;;;;*-**-MC-PNEUMATIEKVORM;0.18;7;252;7;7;253;CONTINUOUS;0.35;7;252;7;7;253;CONTINUOUS;0.35;7;252;7;7;253;V-CONTINUOUS-SO;0.35;7;252;7;7;253;CONTINUOUS;;;2830;;http://digitalbuildingdata.tech/nlcs/def/94c35bd8-ee32-4b13-bba1-b12fd2b70b41;
REPARATIES;*;-;**;-;MC;-;REPARATIES;;;;;;;;;;;;;;;;;*-**-MC-REPARATIES;0.18;170;172;170;170;253;CONTINUOUS;0.35;170;172;170;170;253;CONTINUOUS;0.35;170;172;170;170;253;V-CONTINUOUS-SO;0.35;170;172;170;170;253;CONTINUOUS;;;2844;;http://digitalbuildingdata.tech/nlcs/def/9329d395-b0ec-413e-bb97-816e246abb8b;
