;;; File   : RTW_geolayers-bc_lay_defkl.dat gegenereerd uit RTW.mdb
;;; Functie: Tabel met alle RTW lagen tbv RTW toolbox discipline: geolayers-bc

Posities:
POS_AANTLAAGNAAM   140
POS_LAAGNAAM       5
POS_LW_BS          45
POS_KL_BS          50
POS_LT_BS          60
POS_LW_NW          75
POS_KL_NW          80
POS_LT_NW          90
POS_LW_VW          105
POS_KL_VW          110
POS_LT_VW          120
POS_OMSCHR         140


    5                                       45   50        60             75   80        90             105  110       120                 140

*Beton-geometrie                                                                                                                           62 
9   to-rooster                              25   7         continuous     25   7         continuous     25   7         continuous          Rooster
10  to-snijrand                             25   7         continuous     25   7         continuous     25   7         continuous          Snijrand en snijmerken
11  to-stempel                              25   7         continuous     25   7         continuous     25   7         continuous          Titelblok-stempel
12  to-view                                 25   1         continuous     25   1         continuous     25   1         continuous          Viewport
13  to-vouwmerk                             18   7         continuous     18   7         continuous     18   7         continuous          Vouwmerken
14  to-wijzhoofd                            25   7         continuous     25   7         continuous     25   7         continuous          Wijzigingshoofd
15  to-bibmono                              13   7         continuous     13   7         continuous     13   7         continuous          Bibliotheek monochromepresentatie
16  to-bibkleur                             13   7         continuous     13   7         continuous     13   7         continuous          Bibliotheek kleurpresentatie
17  to-bibcontour                           25   7         continuous     25   7         continuous     25   7         continuous          Bibliotheek contourprestentatie
18  to-bibtekst_wit                         13   7         continuous     13   7         continuous     13   7         continuous          Bibliotheek tekst presentatie
19  to-bibtekst_zwart                       13   7         continuous     13   7         continuous     13   7         continuous          Bibliotheek tekst presentatie
20  to-bibtekst_zwartgeel                   13   7         continuous     13   7         continuous     13   7         continuous          Bibliotheek tekst presentatie
21  ------------------------------------------
23  to-t18                                  18   7         continuous     18   7         continuous     18   7         continuous          Tekst 1.80 mm
24  to-t25                                  25   7         continuous     25   7         continuous     25   7         continuous          Tekst 2.50 mm
25  to-t35                                  35   7         continuous     35   7         continuous     35   7         continuous          Tekst 3.50 mm
26  to-t50                                  50   7         continuous     50   7         continuous     50   7         continuous          Tekst 5.00 mm
27  to-t70                                  70   7         continuous     70   7         continuous     70   7         continuous          Tekst 7.00 mm

einde
