number,title,state,labels,milestone,release_notes
1,Inspectieput riolering: vierkant symbool ipv ovaal,CLOSED,minor fix; RI_riolering-en-GWSW; BGT; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT); Release note,Inhoudelijke issues Release 5.1,De symbolen voor putdeksels van rioleringen zijn aangevuld: er zijn nu putdeksels met een reguliere putrand en de _01 variant een ronde putrand met deksel. In de hoofdgroep KL zijn ovale symbolen beschikbaar voor de controleputjes/brandkranen van de waterleidingmaatschappijen.
2,"Hoe omgaan met termen, laagnamen, afkortingen in de thesaurus?",OPEN,thesaurus NLCS,Alignment NLCS-IMBOR​,
3,"NLCS kent geen FysiekeObjecten, alleen informatieobjecten. Objectclassificatie nodig?",CLOSED,Informatiemodel; Bespreken EC,Gebruikersvragen,
4,As kilometrering informatieobject?,CLOSED,Informatiemodel,NLCS release Vaststellen 5.02 als linked data​,
5,"#1703 Hoofdgroep ZZ, hoogtelabel, kantopsluting.",CLOSED,VH - verhardingen; ZZ_voor alle hoofdgroepen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT); Release note,Inhoudelijke issues Release 5.1,Alle symbolen voor hoogtelabel worden verwijderd uit de standaard. Aanbeveling aan tekenaars is een losse tekst plaatsen in het dwarsprofiel. De pijlen staan in de meeste tekeningen in de weg. Dit maakt de standaard eenvoudiger.
6,#1702 Meerdere ZZ linetypes hebben geen V- variant.,CLOSED,Lijnen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT); Release note,Inhoudelijke issues Release 5.1,"Lijntypes ZZ-CENTER-SO en ZZ-DASHDOT-SO worden niet meer gebruikt. Indien een dergelijk lijntype nodig is, wordt een lijntypes aangemaakt bij het objetc."
7,#1686  Het object RI-RWZI_DOCEERLEIDING moet RI-RWZI_DOSEERLEIDING zijn.,CLOSED,RI_riolering-en-GWSW; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT); Release note,Inhoudelijke issues Release 5.1,Spelfout in object RI-RWZI_DOCEERLEIDING  verbeterd naar RI-RWZI_DOSEERLEIDING.
8,#1685	De ene keer wordt de aanduiding LOZELEIDING gebruikt en de andere keer LOZE LEIDING ,CLOSED,RI_riolering-en-GWSW; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Gebruikersvragen,
9,#1684 Het object GW-WATERGANG_TALUD komt twee keer voor,CLOSED,minor fix; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT); Release note,Inhoudelijke issues Release 5.1,"Objecten GW-WATERGANG_TALUD en GW-WATERGANG_KNIKLIJN kwamen dubbel voor in de database, de dubbeling is verwijderd."
10,#1683  Het object GW-DIJK_TALUD komt 2 keer voor. ,CLOSED,GW-grondwerk; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT); Release note,Inhoudelijke issues Release 5.1,"Objecten GW-DIJK_TALUD en GW-DIJK_KNIKLIJN kwamen dubbel voor, dubbeling is verwijderd."
11,"#1682 SKL-Waterpomp terug bij de BGT import,",OPEN,BGT; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),BGT Mapping 5.1,
12,BGT mapping NLCS,CLOSED,duplicate,NLCS release Vaststellen 5.02 als linked data​,
13,controle input gebruikers op GWSW mapping,CLOSED,RI_riolering-en-GWSW,Alignment GWSW,
14,#1681	geleideconstructie opnemen in BGT mapping,CLOSED,BGT; IE-inrichtingselementen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT); Release note,Inhoudelijke issues Release 5.1,Symbolen voor geleideconstructie opgenomen bij inrichtingselementen.
15,"#1666 Niet alle rioolleidingen hebben de optie tot volschuimen, volzanden en relining",OPEN,RI_riolering-en-GWSW; Bespreken EC; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT); Release note,Inhoudelijke issues Release 5.1,"Bij alle soorten stelsel zijn de opties voor bewerkingen van rioolleidingen toegevoegd (volschuimen, volzanden en relinen)"
16,#1664	Zeer veel BGT symbolen zijn een factor 5 te klein.,CLOSED,minor fix; BGT; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
17,#1663 lijnen van het ELEMENT GD  moeten worden getekend met één pen dikker (binnen dezelfde lijngroep) ,CLOSED,documentation; Lijnen; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
18,#1658	rare situaties element -GD linetype continuous,CLOSED,documentation; Lijnen; eisen aan NLCS applicaties; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
19,"#1638	""Zaagsnede heeft alleen een NIEUW blok gedefinieerd,",CLOSED,VH - verhardingen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
20,#1637 Naamgeving lijnstijlen,CLOSED,documentation,Inhoudelijke issues Release 5.1,
21,"#1632	""1. Kunt u aangeven wat de reden is dat deze verschillende haaientanden niet meer zijn opgenomen?",CLOSED,Symbolen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
22,"#1624	""In NLCS 5.0 is nog maar één lijntype voor haaientanden aanwezig. ",CLOSED,duplicate,Inhoudelijke issues Release 5.1,
23,#1591 e kleur voor -GV is gelijk aan -G of hoort een -GV object de kleur te krijgen van een -V element (vlakvulling).,CLOSED,documentation; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
24,"#1589 riolering, oa wat het verschil is tussen een RIOOLLEIDING en TRANSPORTLEIDING?",CLOSED,RI_riolering-en-GWSW; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
25,#1588	de kleur van tekstlagen ook aanpassen per laag,OPEN,documentation; NLCS Basis; overal; kleuren,Inhoudelijke backlog,
26,#1574 voor Nuts bedrijven is het belangrijk dat bewerkingen ook aan objecten met de status Bestaand kan worden toegevoegd. ,CLOSED,documentation; duplicate; Netbeheer; status&bewerking,Release Netbeheer​ in NLCS versie x,
27,"#1554	""Er komen objecten voor met spatie in de Object naam.",CLOSED,documentation; Bespreken EC,Inhoudelijke issues Release 5.1,
28,"#1547	""We zien dat er spaties staan in de objectnaam en/of subobjectnaam.",CLOSED,duplicate,Inhoudelijke issues Release 5.1,
29,"#1543	""Is er een lijst met gebruikte afkortingen van de NLCS objecten.",OPEN,Informatiemodel,Inhoudelijke backlog,
30,#1526	In NLCS wordt een getrokken lijn aangeduid met de naam 'Continuous'  is leveranciersspecifiek,CLOSED,minor fix; documentation; Lijnen; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
31,"#1525	""Basiskleur wit (RGB 255,255,255, de 'wisselkleur')  leveranciersspecifiek",CLOSED,minor fix; documentation; kleuren; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
32,#1513  De aanhaallijnen van de maatvoering  / De prefix van de radius en diameter aanduidingen.,CLOSED,documentation; extra review expertcommissie vereist; maatvoering-leaders-teksten,Inhoudelijke issues Release 5.1,
33,"#1502	""o.a. “KANTOPSLUITING_TROTTOIRBAND_130 150-G",CLOSED,VH - verhardingen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
34,"#1501	""NLCS 5 kent de lagen: OG-BEBOUWING_HOOFDGEBOUW OG-BEBOUWING_ENTREE_HOOFDGEBOUW",CLOSED,OG-ondergrond; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
35,#1495	Ik had een vraag over de minimale Autocad versie ,OPEN,documentation; Vastgesteld-in-EC,Inhoudelijke backlog,
36,#1476	in de lin file bestaat SWA nog als lijnstyle. echter zijn alle SWA objecten vervallen,CLOSED,RI_riolering-en-GWSW; Lijnen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
37,#1473	bij het symbool (V-)SVH-SBS_DIKFORMAAT_BLOK(_KL)-SO ontbreken de stipjes,CLOSED,VH - verhardingen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
38,integratie tussen de NLCS en de NL/SfB codering?,OPEN,KW kunstwerken,Inhoudelijke backlog,
39,#1420	In de praktijk wordt de materiaalscheidingslijn op situatietekeningen wel eens aangezien voor een 1 - 1 markeringsstreep. ,CLOSED,VH - verhardingen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
40,Welke downloads van de inhoud van NLCS worden gegenereerd voor “directe” gebruikers NLCS (excel/csv),CLOSED,implementatie,NLCS release Vaststellen 5.02 als linked data​,
41,bgt mapping nlcs als linked data publiceren,OPEN,BGT,Inhoudelijke backlog,
42,"#1398	""In de NLCS norm is niet beschreven hoe een aanpijling is opgebouwd.",CLOSED,documentation; ZZ_voor alle hoofdgroepen; eisen aan NLCS applicaties; extra review expertcommissie vereist; CAD interoperabiliteit,Inhoudelijke issues Release 5.1,
43,"#1079	Waarom is de symbool voor een trekker oplegger een combinatie van 18,5m? Wettelijk gezien is de maximale lengte 16,5m.",CLOSED,minor fix; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
44,#1025	Gebruikersvraag countrykits voor gebruik NLCS in 3D pakketten,OPEN,documentation; Bespreken EC; 3D softwaretemplates,Inhoudelijke backlog,
45,#890	SAL-VERWIJZING_WIJZIGING_RECHTS-SO en SAL-VERWIJZING_WIJZIGING_LINKS-SO zijn niet goed zichtbaar.,CLOSED,minor fix; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
46,#888	Bij het symbool SIE-FIETSENKLUIS-SO vraag ik af of het symbool wel -SO moet zijn. ,CLOSED,IE-inrichtingselementen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
47,#887	Verwijzing naar een doorsnede moet volgens formele beschrijving een lijndikte van 0.18 mm hebben,CLOSED,documentation; doorsneden; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
48,#886	een Engelse benaming in een Nederlandse standaard? Volgens mij kan SVH-COBBLESTONE ,CLOSED,VH - verhardingen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
49,#885	Veel arceringslagen ten behoeve van “Constructies” hebben de kleur 252.,CLOSED,BC betonconstructies; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
50,#884	Er is geen arcering voor dikke tegels. (zowel 300x300 als 300x150 als 150x300).,CLOSED,documentation; VH - verhardingen; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
51,#883	De blocken voor straatbaksteen zijn door de puntjes behoorlijk onduidelijk,CLOSED,VH - verhardingen; eisen aan NLCS applicaties; extra review expertcommissie vereist,Inhoudelijke issues Release 5.1,
52,#882	Waarom zijn de SVH-symbolen voor BSS en straatbaksteen dikformaat,CLOSED,VH - verhardingen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
53,#881	Worden bijschriften t.a.v. te verwijderen situatie als zijnde bestaand weergegeven of wel met 1.8 en cursief?,CLOSED,Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
54,#879	13. Ondanks dat de symbolen voor verwijzingen slechts aanbevolen symbolen zijn,CLOSED,AL - Algemeen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
55,#878	In de formele omschrijving staat bij 4.4.4 “verwijzing naar een detail” dat er gebruikt moet worden gemaakt van een rechthoek,CLOSED,documentation; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
56,#877	Het symbool voor tegel 150x300 en 300x150 in zogenaamd “blokverband”,CLOSED,VH - verhardingen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
57,#840	Linestyle RI-GWA-V lijkt niet op de linestyle RI-GWA.,CLOSED,Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
58,#839	Linestylen RI-DRAINAGE en RI-GWA lijken te veel op elkaar. Kan hier een ander linestyle voor bedacht worden?,CLOSED,RI_riolering-en-GWSW; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
59,"#838	Linestyle bij laag V-OI-RI-GWA-G klopt niet. Er wordt aangegeven dat dit laag RI-GWA moet zijn, maar dat zou RI-GWA-V moeten zijn.",CLOSED,duplicate; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
60,"#837	""Er wordt niet altijd consequent omgegaan met de linestylen m.b.t. bestaand/vervallen/nieuw.",OPEN,Bespreken EC,Inhoudelijke backlog,
61,#827	Er bestaan geen doorsnede symbolen voor 280/300x160 en 280/300x250 banden,CLOSED,VH - verhardingen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
62,"#821	""In de NLCS Database staat bijv. het Object KOLK op Geometrie en Symbool, maar de children verwijzen alleen naar Geometrie.",CLOSED,RI_riolering-en-GWSW; Symbolen; VH - verhardingen; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
63,#599 De vraag is dan ook wat de juiste aanpak voor een dergelijke laagnaam is?,OPEN,Bespreken EC,Inhoudelijke backlog,
64,"#585	""In de NLCS wordt aangegeven dat als decimaalteken de “punt” (.) wordt gebruikt. Dit is echter de Angelsaksische methode.",CLOSED,documentation; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
65,"#508	""Hierbij wil ik jullie de symbolen voor de groep Verkeerskunde Vaarwegen doen toekomen",CLOSED,VV verkeersmaatregelen vaarweg; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
66,"#457	""Wij zijn momenteel bezig om voor een klant verschillende as-built autocadtekeningen om te zetten naar NLCS. ",CLOSED,CAD-applicaties,Gebruikersvragen,
67,"#454	""Het object stootband is als symbool terug te vinden bij SIE en bij SVH",CLOSED,NLCS Basis; VH - verhardingen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
68,"#454	""Grondkeringen Deze groep is naar mijn mening niet logisch opgebouwd.",CLOSED,NLCS Basis; GK Grondkeringen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
69,"#422	""Pagina 40-41, paragraaf 4.6.3. Wellicht extra duidelijk om hier op te nemen dat peilmaten/hoogtematen t.o.v. NAP altijd teksthoogte 1.8mm hebben: ",CLOSED,documentation; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
70,#422	Volgens mij zat bij NLCS v3.1 (2012) voor het laatst een lijst met verklaring van alle afkortingen die in de NLCS gebruikt worden.,OPEN,documentation,Inhoudelijke backlog,
71,#422	Waarvoor dienen de lagen met de bewerking ‘-WERK’ ? Kan dat uitgelegd worden in de formele beschrijving?,CLOSED,documentation; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
72,"#398	De NLCS lagen om damwanden weer te geven zijn te summier, alleen linetype continuous.",CLOSED,NLCS Basis; IE-inrichtingselementen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
73,"#E001	""in NLCS-5.0 lin ontbreken AL-SYSTEEMGRENS-SO",CLOSED,,NLCS release Vaststellen 5.02 als linked data​,
74,"#E002	""lijntype komt dubbel voor: aansluitleiding",CLOSED,RI_riolering-en-GWSW; NLCS Basis; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
75,#E003	Maatvoering wijkt af bij de diverse softwareleveranciers en komt niet overeen met FB,CLOSED,documentation; duplicate; Bespreken EC; maatvoering-leaders-teksten,Inhoudelijke issues Release 5.1,
76,#E004	het ontbreken van de Tekstgrootte in NLCS Maatvoerings layers. ,CLOSED,duplicate; NLCS Basis; Bespreken EC,Inhoudelijke issues Release 5.1,
77,#E005	SAM-ASPUNTNUMMER-SO bestaat uit een tag/attribute met een verkeerde tekststijl en een teksthoogte die niet conform de afspraken is.,CLOSED,NLCS Basis; AM assen en metrering; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
78,"#E006	""BGT mapping: -	Sommige symbolen zijn niet SO en dus niet schaalbaar:",CLOSED,documentation; BGT; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
79,"#E007	""""""-	B-SAL-VERWIJZING_MATERIAALNUMMER-SO , wit vlakje met witte tekst?",CLOSED,NLCS Basis; AL - Algemeen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
80,"#E008	Onze filters hebben weer een fout gevonden, onder KL, Poller Kast.",CLOSED,KL kabels en leidingen; IW installaties weg; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
81,"#E009	""NLCS ObjectID 3168, OPENBAAR TOILET",CLOSED,NLCS Basis; OG-ondergrond; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
82,"#E010	""Status van symbooleigenschappen is niet juist in database voor 3740 en 3821",CLOSED,NLCS Basis; KL kabels en leidingen; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
83,"#E011	NLCS objectID 517; lt_b en lt_n staan beide ingesteld op 685,",CLOSED,GW-grondwerk; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
84,"#E012	""De volgende lijntypes worden niet toegepast bij de NLCS objecten; 87 AL-WATERLIJN-SO   ",CLOSED,Lijnen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
85,"#E013	""Lijntypes voor status vervallen niet ingesteld voor:",CLOSED,GR-Groen-inclusief-bomen; Lijnen; ZZ_voor alle hoofdgroepen; KL kabels en leidingen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
86,"#E014	Objecten dubbel: KNIKLIJN en TALUD; ObjectID's verwijderen: 4088, 4087, 4099 en 4100",CLOSED,GW-grondwerk; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
87,"#E015	""Symbool mantelbuis controleren; 'VERVALLEN' maar ook 'NIEUW' in combinatie met 'VERVALLEN!!!!'",CLOSED,Symbolen; Vastgesteld-in-EC; dynamische symbolen; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
88,"#E016	Dubbele definitie in de NLCS.lin, RI-AANSLUITLEIDING-SO (349 en 381) & V-RI-AANSLUITLEIDING-SO",CLOSED,Lijnen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
89,"#E017	""10 ID's in de """"VIEW"""" worden wel gebruikt maar hebben fase=""""vervallen""""",CLOSED,publicatie,NLCS release Vaststellen 5.02 als linked data​,
90,#E018	Symbool N-SVH-KANTOPSLUITING_TROTTOIRBAND_130 250-D;,CLOSED,VH - verhardingen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
91,"#E019	""4 symbolen voor mapping BGT niet -SO; kan logisch zijn maar hoe dan om te gaan met rotatie van het object """,CLOSED,BGT; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
92,"#E020	""op regel 144 van NLCS-OBJECTEN-OG-5.0.xls zit een bug.",CLOSED,NLCS Basis; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
93,"#E021	""In de formele beschrijving lees ik het volgende op blz 60 (par 5.2.2.c) voor arceringen met een vervallen status:",CLOSED,documentation; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
94,"#E022	""Wat betreft BEWERKINGEN: ",CLOSED,NLCS Basis; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
95,#E023	voor alle objecten kleur 50 vervangen door kleur 40,CLOSED,NLCS Basis; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
96,#E024 AVH-TEGELS_300x300_HALFST én AVH-TEGELS_300x300_HALFST-SO,CLOSED,documentation; duplicate; Bespreken EC; Controversieel,Inhoudelijke issues Release 5.1,
97,BGT ondergrond,CLOSED,BGT; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
98,"Meta-informatie / Tekenblad onderdelen, niet in informatiemodel?",OPEN,Informatiemodel; meta-informatie,Inhoudelijke backlog,
99,Governance ontology alignment NLCS - IMBOR,OPEN,BOMOS; IMBOR,Alignment NLCS-IMBOR​,
100,Documentatie importsheet nieuwe NLCs objecten opstellen,CLOSED,documentation; BOMOS,NLCS release Vaststellen 5.02 als linked data​,
101,Governance mapping GWSW - NLCS,OPEN,RI_riolering-en-GWSW; BOMOS,Alignment GWSW,
102,2D/3D,CLOSED,duplicate; Project <> Beheer,Gebruikersvragen,
103,#1704 KG-GRONDVERWERVING_OPSTALLEN,CLOSED,NLCS Basis; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
104,#1705 KG-BENOGRENS en KG-ONDERHOUDSGRENS,CLOSED,NLCS Basis; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
105,#1706 Naamgeving inritblokken,CLOSED,VH - verhardingen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
106,#1707 fout in de tag bij het symbool STROOMRICHTING_RECHTS,CLOSED,RI_riolering-en-GWSW; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
107,#1708 Tekstgrootte chemische stoffen,CLOSED,documentation; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
108,#1709 Hoogtemaatvoering cursief of niet.,CLOSED,documentation; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
109,"objecten die niet in NLCS voorkomen, maar wel in IMBOR",OPEN,IMBOR,Alignment NLCS-IMBOR​,
110,Vergelijking IMBOR - NLCS,OPEN,IMBOR,Alignment NLCS-IMBOR​,
111,Use cases ontology alignment IMBOR - NLCS,OPEN,IMBOR,Alignment NLCS-IMBOR​,
112,Toevoegen Bomen aan NLCS,OPEN,GR-Groen-inclusief-bomen; Scope,Inhoudelijke backlog,
113,Op elkaar afstemmen IMBOR en NLCS,CLOSED,IMBOR,Alignment NLCS-IMBOR​,
114,Review objectentabel stedelijk spoor: Check op decompositie,CLOSED,Stedelijk Spoor,Release Stedelijk Spoor​ Tram in NLCS 5.1,
115,"Stedelijk Spoor, lagen met alleen tekst",CLOSED,Informatiemodel; Stedelijk Spoor,Release Stedelijk Spoor​ Tram in NLCS 5.1,
116,Stedelijk spoor: spaties en hoofdletter,CLOSED,Netbeheer; Stedelijk Spoor; Bespreken EC,Release Stedelijk Spoor​ Tram in NLCS 5.1,
117,Stedelijk spoor: kabels en leidingen afstemmen met netbeheer,CLOSED,Netbeheer; Stedelijk Spoor,Release Stedelijk Spoor​ Tram in NLCS 5.1,
118,Opstellen symbolen voor Stedelijk Spoor door werkgroep,CLOSED,Stedelijk Spoor,Release Stedelijk Spoor​ Tram in NLCS 5.1,
119,"We nemen geen status op in de laagnaam bij Stedelijk spoor, ook niet als het altijd meetgegevens zijn",CLOSED,Stedelijk Spoor; status&bewerking,Release Stedelijk Spoor​ Tram in NLCS 5.1,
120,Uitbreiden NLCS met Stedelijk Spoor: tabellen vaststellen in werkgroep,CLOSED,duplicate; Stedelijk Spoor,Release Stedelijk Spoor​ Tram in NLCS 5.1,
121,Concept publicatie & documentatie Stedelijk Spoor,CLOSED,Stedelijk Spoor,Release Stedelijk Spoor​ Tram in NLCS 5.1,
122,Afstemmen beschrijving SD in Formele beschrijving NLCS,CLOSED,documentation; Vastgesteld-in-EC; CAD-elementen,Inhoudelijke issues Release 5.1,
123,VWA symbolen bij DWA,CLOSED,RI_riolering-en-GWSW; Symbolen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
124,Schema feedback verwerken: afronden issues,CLOSED,BOMOS,Inhoudelijke issues Release 5.1,
125,Toevoegen VRI aan NLCS,CLOSED,Bespreken EC; VRI,Inhoudelijke issues Release 5.1,
126,Release notes 5.0 toevoegen aan formele documentatie,CLOSED,documentation,Inhoudelijke issues Release 5.1,
127,implementatie: minimale eisen documenteren,CLOSED,documentation; BOMOS,Inhoudelijke issues Release 5.1,
128,Analyse oneigenlijk gebruik van X in de laagnaam,CLOSED,RI_riolering-en-GWSW; VH - verhardingen; VW Verkeersmaatregelen Weg; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
129,Voorstel hekwerken 'terreinafscheidingen',CLOSED,Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
130,Voorstel hoofdgroep beplanting,CLOSED,GR-Groen-inclusief-bomen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
131,lijntypes riolering,CLOSED,RI_riolering-en-GWSW; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
132,"mapping BGT, finetuning",CLOSED,duplicate; BGT; Symbolen; Vastgesteld-in-EC; Opgenomen in voorstel 5.1 (MHT),Inhoudelijke issues Release 5.1,
133,Symbolen NLCS publiceren via Github,CLOSED,documentation; Symbolen; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
134,Arceringen  exporteren als .pat bestand,CLOSED,documentation; publicatie,Inhoudelijke issues Release 5.1,
135,.lin kunnen genereren uit de database,CLOSED,documentation; publicatie,Inhoudelijke issues Release 5.1,
136,Symbolen NLCS: viewer inrichten,OPEN,Bespreken EC; Symbolen,Inhoudelijke backlog,
137,"Symbolen NLCS ook publiceren als SVG, voor representatie in GIS",CLOSED,Symbolen; CAD<>GIS datatransformaties,Gebruikersvragen,
138,"Monitoren project ""NLCS mee in ISO 19650: OTL+ILS""",CLOSED,IMBOR; Project <> Beheer,Alignment NLCS-IMBOR​,
139,(hoe) kunnen we zorgen dat NLCS gebruikt kan worden in de ILS Configurator?,OPEN,ILS-tekening,Inhoudelijke backlog,
140,Hoe actueel is de BGT achtergondinformatie op de website?,CLOSED,documentation; BGT; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
141,Straatnamen en huisnummers uit BGT?,CLOSED,documentation; BGT; Vastgesteld-in-EC,Inhoudelijke issues Release 5.1,
142,Onderzoek opname constructies in NLCS,OPEN,Bespreken EC; BC betonconstructies,Inhoudelijke backlog,
143,Kabels dubbel in ET en OV?,CLOSED,documentation; Netbeheer; KL kabels en leidingen; OV Openbare verlichting,Release Netbeheer​ in NLCS versie x,
144,Substatus uitbreiden,CLOSED,duplicate; Netbeheer; status&bewerking,Release Netbeheer​ in NLCS versie x,
145,NLCS bewerkingen toepassen op alle NLCS statussen,CLOSED,documentation; duplicate; Netbeheer; status&bewerking,Release Netbeheer​ in NLCS versie x,
146,Documenteren doel use case en probleemstelling 2D/3D,CLOSED,Project <> Beheer,Gebruikersvragen,
