number,title,state,labels,milestone,release_notes
520,"definitieve concept-publicatie uploaden op hub, en .lin maken",CLOSED,,Inhoudelijke issues Release 5.1,
521,GWSW mapping 5.0 laatste stappen,CLOSED,RI_riolering-en-GWSW,Alignment GWSW,
522,"input stedelijk spoor, hoofdgroep AL",CLOSED,Stedelijk Spoor; AL - Algemeen,Release Stedelijk Spoor​ Tram in NLCS 5.1,
523,"input stedelijk spoor, hoofdgroep AM",CLOSED,Stedelijk Spoor; AM assen en metrering,Release Stedelijk Spoor​ Tram in NLCS 5.1,
524,"input stedelijk spoor, hoofdgroep ES",CLOSED,Stedelijk Spoor; ES - energievoorziening spoor,Release Stedelijk Spoor​ Tram in NLCS 5.1,
525,"input stedelijk spoor, hoofdgroep KG",CLOSED,Stedelijk Spoor; KG - Kadastrale informatie en grenzen,Release Stedelijk Spoor​ Tram in NLCS 5.1,
526,"input stedelijk spoor, hoofdgroep KL",CLOSED,Stedelijk Spoor; KL kabels en leidingen,Release Stedelijk Spoor​ Tram in NLCS 5.1,
527,"input stedelijk spoor, hoofdgroep OG",CLOSED,Stedelijk Spoor; OG-ondergrond,Release Stedelijk Spoor​ Tram in NLCS 5.1,
528,"input stedelijk spoor, hoofdgroep VW",CLOSED,duplicate; Stedelijk Spoor; VH - verhardingen; VW Verkeersmaatregelen Weg,Release Stedelijk Spoor​ Tram in NLCS 5.1,
529,"input stedelijk spoor, hoofdgroep GR",CLOSED,Stedelijk Spoor; GR-Groen-inclusief-bomen,Release Stedelijk Spoor​ Tram in NLCS 5.1,
530,"input stedelijk spoor, hoofdgroep IS",CLOSED,Stedelijk Spoor; IS installaties spoor,Release Stedelijk Spoor​ Tram in NLCS 5.1,
531,"input stedelijk spoor, hoofdgroep SB",CLOSED,Stedelijk Spoor; SB spoorbouw,Release Stedelijk Spoor​ Tram in NLCS 5.1,
532,"input stedelijk spoor, hoofdgroep VW",CLOSED,Stedelijk Spoor; VW Verkeersmaatregelen Weg,Release Stedelijk Spoor​ Tram in NLCS 5.1,
533,"Vragen werkgroep stedelijk spoor, symbolen",CLOSED,Stedelijk Spoor; Symbolen,Release Stedelijk Spoor​ Tram in NLCS 5.1,
534,bewerkingen niet als data in database,CLOSED,publicatie; status&bewerking; KL kabels en leidingen,Technische issues voor NLCS 5.1,
535,"Feedback op concept-5.1 / linked data publicatie versus sql namen in database van symbolen, arceringen, lijnen zijn veranderd",CLOSED,Informatiemodel; Symbolen; Lijnen; Arceringen,NLCS release Vaststellen 5.02 als linked data​,
536,Regelset bij NLCS ,OPEN,Informatiemodel; tekeningen-valideren,Inhoudelijke backlog,
537,"concept-5.1 Discipline XX staat wel in beheeromgeving, maar lijkt niet in publicatie te zitten?",CLOSED,publicatie; disciplines,Inhoudelijke issues Release 5.1,
538,Data voor kleurnummers bij veel nieuwe nlcsobjecten in hoofdgroep SB niet juist ingevuld,CLOSED,publicatie; SB spoorbouw,Release Stedelijk Spoor​ Tram in NLCS 5.1,
