omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje3,element,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
BESCHOEIING2_DAMWAND_STAAL,*,-,**,-,GK,-,BESCHOEIING2,_,DAMWAND,_,STAAL,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING2_DAMWAND_STAAL-G,0.18,130,132,130,130,253,GK-BESCHOEIING2-SO,0.35,130,132,130,130,253,GK-BESCHOEIING2-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING2-SO,0.35,130,132,130,130,253,GK-BESCHOEIING2-SO,,,,340,,
BESCHOEIING2_HOUT,*,-,**,-,GK,-,BESCHOEIING2,_,HOUT,,,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING2_HOUT-G,0.18,130,132,130,130,253,GK-BESCHOEIING2-SO,0.35,130,132,130,130,253,GK-BESCHOEIING2-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING2-SO,0.35,130,132,130,130,253,GK-BESCHOEIING2-SO,,,,339,,
BESCHOEIING2_HOUT_SCHOT,*,-,**,-,GK,-,BESCHOEIING2,_,HOUT,_,SCHOT,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING2_HOUT_SCHOT-G,0.18,130,132,130,130,253,GK-BESCHOEIING2-SO,0.35,130,132,130,130,253,GK-BESCHOEIING2-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING2-SO,0.35,130,132,130,130,253,GK-BESCHOEIING2-SO,,,,345,,
BESCHOEIING2_KUNSTSTOF,*,-,**,-,GK,-,BESCHOEIING2,_,KUNSTSTOF,,,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING2_KUNSTSTOF-G,0.18,130,132,130,130,253,GK-BESCHOEIING2-SO,0.35,130,132,130,130,253,GK-BESCHOEIING2-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING2-SO,0.35,130,132,130,130,253,GK-BESCHOEIING2-SO,,,,339,,
BESCHOEIING2_KUNSTSTOF_SCHOT,*,-,**,-,GK,-,BESCHOEIING2,_,KUNSTSTOF,_,SCHOT,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING2_KUNSTSTOF_SCHOT-G,0.18,130,132,130,130,253,GK-BESCHOEIING2-SO,0.35,130,132,130,130,253,GK-BESCHOEIING2-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING2-SO,0.35,130,132,130,130,253,GK-BESCHOEIING2-SO,,,,350,,
BESCHOEIING2_STAAL,*,-,**,-,GK,-,BESCHOEIING2,_,STAAL,,,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING2_STAAL-G,0.18,130,132,130,130,253,GK-BESCHOEIING2-SO,0.35,130,132,130,130,253,GK-BESCHOEIING2-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING2-SO,0.35,130,132,130,130,253,GK-BESCHOEIING2-SO,,,,339,,
BESCHOEIING3,*,-,**,-,GK,-,BESCHOEIING3,,,,,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING3-G,0.18,130,132,130,130,253,GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,GK-BESCHOEIING3-SO,,,,0,,
BESCHOEIING3_BETON,*,-,**,-,GK,-,BESCHOEIING3,_,BETON,,,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING3_BETON-G,0.18,130,132,130,130,253,GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,GK-BESCHOEIING3-SO,,,,339,,
BESCHOEIING3_DAMWAND,*,-,**,-,GK,-,BESCHOEIING3,_,DAMWAND,,,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING3_DAMWAND-G,0.18,130,132,130,130,253,GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,GK-BESCHOEIING3-SO,,,,339,,
BESCHOEIING3_DAMWAND_BETON,*,-,**,-,GK,-,BESCHOEIING3,_,DAMWAND,_,BETON,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING3_DAMWAND_BETON-G,0.18,130,132,130,130,253,GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING3-SO,0.35,130,132,130,130,253,GK-BESCHOEIING3-SO,,,,340,,
