omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje3,element,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
GRONDSCHEIDINGEN_ANTIWORTELDOEK_NONWOVEN,*,_,**,_,GW,_,GRONDSCHEIDINGEN,_,ANTIWORTELDOEK,_,NONWOVEN,_,,_,,_,,-,,-,G,-,,,,*_**_GW_GRONDSCHEIDINGEN_ANTIWORTELDOEK_NONWOVEN,0.18,210,212,210,210,253,CONTINUOUS,0.50,210,212,210,210,253,CONTINUOUS,0.18,210,212,210,210,253,V-CONTINUOUS-SO,0.18,210,212,210,210,253,CONTINUOUS,,,4758,4757,http://digitalbuildingdata.tech/nlcs/def/098c52b0-3f37-4c4e-befe-22bfa1b7ebac,http://digitalbuildingdata.tech/nlcs/def/7edb3b41-6d17-4274-9e72-7b31b4c67bf7
GRONDSCHEIDINGEN_ANTIWORTELDOEK_WOVEN,*,_,**,_,GW,_,GRONDSCHEIDINGEN,_,ANTIWORTELDOEK,_,WOVEN,_,,_,,_,,-,,-,G,-,,,,*_**_GW_GRONDSCHEIDINGEN_ANTIWORTELDOEK_WOVEN,0.18,210,212,210,210,253,CONTINUOUS,0.50,210,212,210,210,253,CONTINUOUS,0.18,210,212,210,210,253,V-CONTINUOUS-SO,0.18,210,212,210,210,253,CONTINUOUS,,,4759,4757,http://digitalbuildingdata.tech/nlcs/def/3e46e0fe-bfc4-4b66-9e79-84e11628b179,http://digitalbuildingdata.tech/nlcs/def/7edb3b41-6d17-4274-9e72-7b31b4c67bf7
GRONDSCHEIDINGEN_ANTIWORTELSCHERM,*,_,**,_,GW,_,GRONDSCHEIDINGEN,_,ANTIWORTELSCHERM,_,,_,,_,,_,,-,,-,G,-,,,,*_**_GW_GRONDSCHEIDINGEN_ANTIWORTELSCHERM,0.18,210,212,210,210,253,CONTINUOUS,0.50,210,212,210,210,253,CONTINUOUS,0.18,210,212,210,210,253,V-CONTINUOUS-SO,0.18,210,212,210,210,253,CONTINUOUS,,,4760,4756,http://digitalbuildingdata.tech/nlcs/def/17309198-8610-4995-9899-4cb02fb7e1ff,http://digitalbuildingdata.tech/nlcs/def/c4186ae5-89c1-45b3-ab14-14f19b31490d
GRONDSCHEIDINGEN_GEOGRID,*,_,**,_,GW,_,GRONDSCHEIDINGEN,_,GEOGRID,_,,_,,_,,_,,-,,-,G,-,,,,*_**_GW_GRONDSCHEIDINGEN_GEOGRID,0.18,210,212,210,210,253,CONTINUOUS,0.50,210,212,210,210,253,CONTINUOUS,0.18,210,212,210,210,253,V-CONTINUOUS-SO,0.18,210,212,210,210,253,CONTINUOUS,,,4761,4756,http://digitalbuildingdata.tech/nlcs/def/e358b0bd-be59-4776-bd46-433064d27d95,http://digitalbuildingdata.tech/nlcs/def/c4186ae5-89c1-45b3-ab14-14f19b31490d
GRONDSCHEIDINGEN_GEOMEMBRAAN,*,_,**,_,GW,_,GRONDSCHEIDINGEN,_,GEOMEMBRAAN,_,,_,,_,,_,,-,,-,G,-,,,,*_**_GW_GRONDSCHEIDINGEN_GEOMEMBRAAN,0.18,210,212,210,210,253,CONTINUOUS,0.50,210,212,210,210,253,CONTINUOUS,0.18,210,212,210,210,253,V-CONTINUOUS-SO,0.18,210,212,210,210,253,CONTINUOUS,,,4762,4756,http://digitalbuildingdata.tech/nlcs/def/d4317b00-fbfc-4a16-9fa9-6bbd00af4d1f,http://digitalbuildingdata.tech/nlcs/def/c4186ae5-89c1-45b3-ab14-14f19b31490d
GRONDSCHEIDINGEN_GEOTEXTIEL,*,_,**,_,GW,_,GRONDSCHEIDINGEN,_,GEOTEXTIEL,_,,_,,_,,_,,-,,-,G,-,,,,*_**_GW_GRONDSCHEIDINGEN_GEOTEXTIEL,0.18,210,212,210,210,253,CONTINUOUS,0.50,210,212,210,210,253,CONTINUOUS,0.18,210,212,210,210,253,V-CONTINUOUS-SO,0.18,210,212,210,210,253,CONTINUOUS,,,4763,4756,http://digitalbuildingdata.tech/nlcs/def/157f0ca6-261d-47cf-9ee1-c4a045e11bbb,http://digitalbuildingdata.tech/nlcs/def/c4186ae5-89c1-45b3-ab14-14f19b31490d
GRONDSCHEIDINGEN_GEOTEXTIEL_WATERDOORLATEND,*,_,**,_,GW,_,GRONDSCHEIDINGEN,_,GEOTEXTIEL,_,WATERDOORLATEND,_,,_,,_,,-,,-,G,-,,,,*_**_GW_GRONDSCHEIDINGEN_GEOTEXTIEL_WATERDOORLATEND,0.18,210,212,210,210,253,CONTINUOUS,0.50,210,212,210,210,253,CONTINUOUS,0.18,210,212,210,210,253,V-CONTINUOUS-SO,0.18,210,212,210,210,253,CONTINUOUS,,,4764,4763,http://digitalbuildingdata.tech/nlcs/def/0da2be6e-da0a-4b10-8a7b-452284fbbfac,http://digitalbuildingdata.tech/nlcs/def/157f0ca6-261d-47cf-9ee1-c4a045e11bbb
GROND,*,-,**,-,GW,-,GROND,,,,,,,,,,,,,-,G/A,,,AGW-GROND,,*-**-GW-GROND-G/A,0.18,7,7,7,7,"165,082,000",CONTINUOUS,0.35,7,7,7,7,"165,082,000",CONTINUOUS,0.35,7,7,7,7,"165,082,000",V-CONTINUOUS-SO,0.35,7,7,7,7,"165,082,000",CONTINUOUS,,,477,0,,
GROND-OPPERVLAKWERK,*,-,**,-,GW,-,GROND,,,,,,,,,,,-,OPPERVLAKWERK,-,G/A,,,AGW-GROND,,*-**-GW-GROND-OPPERVLAKWERK-G,0.18,7,7,7,7,"165,082,000",CONTINUOUS,0.35,7,7,7,7,"165,082,000",CONTINUOUS,0.35,7,7,7,7,"165,082,000",V-CONTINUOUS-SO,0.35,7,7,7,7,"165,082,000",CONTINUOUS,,,479,477,,
GROND-WERK,*,-,**,-,GW,-,GROND,,,,,,,,,,,-,WERK,-,G/A,,,AGW-WERK,,*-**-GW-GROND-WERK-G/A,0.18,7,7,7,7,"165,082,000",CONTINUOUS,0.35,7,7,7,7,"165,082,000",CONTINUOUS,0.35,7,7,7,7,"165,082,000",V-CONTINUOUS-SO,0.35,7,7,7,7,"165,082,000",CONTINUOUS,,,478,477,,
