OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;ELEMENT;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;VERSIE;WIJZIGING;STATUS;ID;KIND_VAN;
CCTV_KABEL_COMMUNICATIE;*;-;**;-;KL;-;CCTV;_;KABEL;_;COMMUNICATIE;;;;;;;;;-;G;;;;;*-**-KL-CCTV_KABEL_COMMUNICATIE-G;0.18;70;72;70;70;253;CONTINUOUS;0.35;70;72;70;70;253;CONTINUOUS;0.35;70;72;70;70;253;V-CONTINUOUS-SO;0.35;70;72;70;70;253;CONTINUOUS;;;4.1;;NIEUW;3431;1419;
CCTV_KABEL_COMMUNICATIE;*;-;**;-;KL;-;CCTV;_;KABEL;_;COMMUNICATIE;;;;;;;;;-;G;;;;;*-**-KL-CCTV_KABEL_COMMUNICATIE-G;0.18;70;72;70;70;253;CONTINUOUS;0.35;70;72;70;70;253;CONTINUOUS;0.35;70;72;70;70;253;V-CONTINUOUS-SO;0.35;70;72;70;70;253;CONTINUOUS;;;4.2;4.2: dubbel met 3431;VERVALLEN;3440;1419;
CCTV_KABEL_VOEDING;*;-;**;-;KL;-;CCTV;_;KABEL;_;VOEDING;;;;;;;;;-;G;;;;;*-**-KL-CCTV_KABEL_VOEDING-G;0.18;70;72;70;70;253;CONTINUOUS;0.35;70;72;70;70;253;CONTINUOUS;0.35;70;72;70;70;253;V-CONTINUOUS-SO;0.35;70;72;70;70;253;CONTINUOUS;;;4.1;;NIEUW;3430;1419;
CCTV_KABEL_VOEDING;*;-;**;-;KL;-;CCTV;_;KABEL;_;VOEDING;;;;;;;;;-;G;;;;;*-**-KL-CCTV_KABEL_VOEDING-G;0.18;70;72;70;70;253;CONTINUOUS;0.35;70;72;70;70;253;CONTINUOUS;0.35;70;72;70;70;253;V-CONTINUOUS-SO;0.35;70;72;70;70;253;CONTINUOUS;;;4.2;4.2: dubbel met 3430;VERVALLEN;3439;1419;
CHEMIE;*;-;**;-;KL;-;CHEMIE;;;;;;;;;;;;;-;G;;;;;*-**-KL-CHEMIE-G;0.18;40;42;40;40;40;KL-CHEMIE-SO;0.35;40;42;40;40;40;KL-CHEMIE-SO;0.35;40;42;40;40;40;V-KL-CHEMIE-SO;0.35;40;42;40;40;40;KL-CHEMIE-SO;;;2.3;;;637;0;
CHEMIE_AFSLUITER;*;-;**;-;KL;-;CHEMIE;_;AFSLUITER;;;;;;;;;;;-;G/S;;;;SKL-WTB_HULP_AFSLUITER;*-**-KL-CHEMIE_AFSLUITER-G;0.18;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;V-CONTINUOUS-SO;0.35;40;42;40;40;40;CONTINUOUS;;;2.3;;;638;637;
CHEMIE_HULPSTUK;*;-;**;-;KL;-;CHEMIE;_;HULPSTUK;;;;;;;;;;;-;G/S;;;;SKL-WTB_HULP;*-**-KL-CHEMIE_HULPSTUK-G/S;0.18;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;V-CONTINUOUS-SO;0.35;40;42;40;40;40;CONTINUOUS;;;2.3;;;639;637;
CHEMIE_LEIDING;*;-;**;-;KL;-;CHEMIE;_;LEIDING;;;;;;;;;;;-;G;;;;;*-**-KL-CHEMIE_LEIDING-G;0.18;40;42;40;40;40;KL-CHEMIE-SO;0.35;40;42;40;40;40;KL-CHEMIE-SO;0.35;40;42;40;40;40;V-KL-CHEMIE-SO;0.35;40;42;40;40;40;KL-CHEMIE-SO;;;2.3;;;640;637;
CHEMIE_LOCATIEPAAL;*;-;**;-;KL;-;CHEMIE;_;LOCATIEPAAL;;;;;;;;;;;-;G/S;;;;SKL-LEIDINGMERKPAAL;*-**-KL-CHEMIE_LOCATIEPAAL-G/S;0.18;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;V-CONTINUOUS-SO;0.35;40;42;40;40;40;CONTINUOUS;;;2.3;;;641;637;
CHEMIE_MANTELBUIS;*;-;**;-;KL;-;CHEMIE;_;MANTELBUIS;;;;;;;;;;;-;G;;;;;*-**-KL-CHEMIE_MANTELBUIS-G;0.18;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;V-CONTINUOUS-SO;0.35;40;42;40;40;40;CONTINUOUS;;;2.5;;;642;637;
CHEMIE_OVERIG;*;-;**;-;KL;-;CHEMIE;_;OVERIG;;;;;;;;;;;-;G;;;;;*-**-KL-CHEMIE_OVERIG-G;0.18;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;V-CONTINUOUS-SO;0.35;40;42;40;40;40;CONTINUOUS;;;3.1;;VERVALLEN;643;637;
CHEMIE_PUT;*;-;**;-;KL;-;CHEMIE;_;PUT;;;;;;;;;;;-;G/S;;;;SKL-WTB_PUT;*-**-KL-CHEMIE_PUT-G/S;0.18;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;V-CONTINUOUS-SO;0.35;40;42;40;40;40;CONTINUOUS;;;2.3;;;644;637;
COMBIKABEL;*;-;**;-;KL;-;COMBIKABEL;;;;;;;;;;;;;-;G;;;;;*-**-KL-COMBIKABEL-G;0.18;90;92;90;90;90;KL-COMBIKABEL-SO;0.35;90;92;90;90;90;KL-COMBIKABEL-SO;0.35;90;92;90;90;90;V-KL-COMBIKABEL-SO;0.35;90;92;90;90;90;KL-COMBIKABEL-SO;;;4.2;4.2:Lijnstijl toegevoegd;GEWIJZIGD;3118;0;
