omschrijving;status;underscore;discipline;underscore2;hoofdgroep;underscore3;object;underscore4;subobject01;underscore5;subobject02;underscore6;subobject03;underscore7;subobject04;underscore8;subobject05;streepje;bewerking;streepje3;element;streepje2;schaal;aobject;sobject;laagnaam;lw_b;kl_b;kl_b_a;kl_b_gd;kl_b_gn;kl_b_v;lt_b;lw_n;kl_n;kl_n_a;kl_n_gd;kl_n_gn;kl_n_v;lt_n;lw_v;kl_v;kl_v_a;kl_v_gd;kl_v_gn;kl_v_v;lt_v;lw_t;kl_t;kl_t_a;kl_t_gd;kl_t_gn;kl_t_v;lt_t;vrkl_kort;vrkl_lang;id_nummer;kind_van;objectURI;kind_vanURI
SWA_AANSLUITPUT_ONTSTOPPINGSPUT_BETON;*;-;**;-;RI;-;SWA;_;AANSLUITPUT;_;ONTSTOPPINGSPUT;_;BETON;;;;;;;-;G/S;;;;SRI-PUT_ONTSTOPPINGSPUT;*-**-RI-SWA_AANSLUITPUT_ONTSTOPPINGSPUT_BETON-G;0.18;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;V-CONTINUOUS-SO;0.35;130;132;130;130;253;CONTINUOUS;;;2121;2120;;
SWA_AANSLUITPUT_ONTSTOPPINGSPUT_PE;*;-;**;-;RI;-;SWA;_;AANSLUITPUT;_;ONTSTOPPINGSPUT;_;PE;;;;;;;-;G/S;;;;SRI-PUT_ONTSTOPPINGSPUT;*-**-RI-SWA_AANSLUITPUT_ONTSTOPPINGSPUT_PE-G;0.18;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;V-CONTINUOUS-SO;0.35;130;132;130;130;253;CONTINUOUS;;;2122;2120;;
SWA_BOB;*;-;**;-;RI;-;SWA;_;BOB;;;;;;;;;;;-;G/S;;;;SRI-BOB;*-**-RI-SWA_BOB-G/S;0.18;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;V-CONTINUOUS-SO;0.35;130;132;130;130;253;CONTINUOUS;;;2084;2083;;
SWA_DEMARCATIE;*;-;**;-;RI;-;SWA;_;DEMARCATIE;;;;;;;;;;;-;G/S;;;;SRI-DEMARCATIE;*-**-RI-SWA_DEMARCATIE-G/S;0.18;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;V-CONTINUOUS-SO;0.35;130;132;130;130;253;CONTINUOUS;;;2085;2083;;
SWA_HULPSTUK;*;-;**;-;RI;-;SWA;_;HULPSTUK;;;;;;;;;;;-;G/S;;;;SRI-HULP;*-**-RI-SWA_HULPSTUK-G/S;0.18;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;V-CONTINUOUS-SO;0.35;130;132;130;130;253;CONTINUOUS;;;2086;2083;;
SWA_HULPSTUK_AFDEKPLAAT;*;-;**;-;RI;-;SWA;_;HULPSTUK;_;AFDEKPLAAT;;;;;;;;;-;G/S;;;;SRI-PUT_AFDEKPLAAT;*-**-RI-SWA_HULPSTUK_AFDEKPLAAT-G/S;0.18;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;V-CONTINUOUS-SO;0.35;130;132;130;130;253;CONTINUOUS;;;2087;2086;;
SWA_HULPSTUK_AFSLUITER;*;-;**;-;RI;-;SWA;_;HULPSTUK;_;AFSLUITER;;;;;;;;;-;G/S;;;;SRI-HULP_AFSLUITER;*-**-RI-SWA_HULPSTUK_AFSLUITER-G/S;0.18;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;V-CONTINUOUS-SO;0.35;130;132;130;130;253;CONTINUOUS;;;3867;2086;;
SWA_HULPSTUK_BELUCHTING;*;-;**;-;RI;-;SWA;_;HULPSTUK;_;BELUCHTING;;;;;;;;;-;G/S;;;;SRI-HULP_BELUCHTING;*-**-RI-SWA_HULPSTUK_BELUCHTING-G/S;0.18;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;V-CONTINUOUS-SO;0.35;130;132;130;130;253;CONTINUOUS;;;3868;2086;;
SWA_HULPSTUK_EINDKAP;*;-;**;-;RI;-;SWA;_;HULPSTUK;_;EINDKAP;;;;;;;;;-;G/S;;;;SRI-HULP_EINDKAP;*-**-RI-SWA_HULPSTUK_EINDKAP-G/S;0.18;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;V-CONTINUOUS-SO;0.35;130;132;130;130;253;CONTINUOUS;;;3869;2086;;
SWA_HULPSTUK_INLAAT;*;-;**;-;RI;-;SWA;_;HULPSTUK;_;INLAAT;;;;;;;;;-;G;;;;;*-**-RI-SWA_HULPSTUK_INLAAT-G;0.18;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;V-CONTINUOUS-SO;0.35;130;132;130;130;253;CONTINUOUS;;;2088;2086;;
