omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje3,element,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
TERREINAFSCHEIDING_DOORGANG,*,-,**,-,IE,-,TERREINAFSCHEIDING,_,DOORGANG,,,,,,,,,,,-,G/S,,,,SIE-TERREINAFSCHEIDING_DOORGANG,*-**-IE-TERREINAFSCHEIDING_DOORGANG-G/S,0.18,210,212,210,210,253,CONTINUOUS,0.35,210,212,210,210,253,CONTINUOUS,0.35,210,212,210,210,253,V-CONTINUOUS-SO,0.35,210,212,210,210,253,CONTINUOUS,,,556,545,,
TERREINAFSCHEIDING_KUNSTMATIG,*,-,**,-,IE,-,TERREINAFSCHEIDING,_,KUNSTMATIG,,,,,,,,,,,-,G,,,,,*-**-IE-TERREINAFSCHEIDING_KUNSTMATIG-G,0.18,30,32,30,30,253,IE-TERREINAFSCHEIDING_KUNSTMATIG-SO,0.35,30,32,30,30,253,IE-TERREINAFSCHEIDING_KUNSTMATIG-SO,0.35,30,32,30,30,253,V-IE-TERREINAFSCHEIDING_KUNSTMATIG-SO,0.35,30,32,30,30,253,IE-TERREINAFSCHEIDING_KUNSTMATIG-SO,,,546,545,,
TERREINAFSCHEIDING_KUNSTMATIG_HEKWERK,*,-,**,-,IE,-,TERREINAFSCHEIDING,_,KUNSTMATIG,_,HEKWERK,,,,,,,,,-,G,,,,,*-**-IE-TERREINAFSCHEIDING_KUNSTMATIG_HEKWERK-G,0.18,20,22,20,20,253,IE-TERREINAFSCHEIDING_KUNSTMATIG-SO,0.35,20,22,20,20,253,IE-TERREINAFSCHEIDING_KUNSTMATIG-SO,0.35,20,22,20,20,253,V-IE-TERREINAFSCHEIDING_KUNSTMATIG-SO,0.35,20,22,20,20,253,IE-TERREINAFSCHEIDING_KUNSTMATIG-SO,,,548,546,,
TERREINAFSCHEIDING_KUNSTMATIG_HEKWERK_HOOG,*,-,**,-,IE,-,TERREINAFSCHEIDING,_,KUNSTMATIG,_,HEKWERK,_,HOOG,,,,,,,-,G,,,,,*-**-IE-TERREINAFSCHEIDING_KUNSTMATIG_HEKWERK_HOOG-G,0.18,210,212,210,210,253,CONTINUOUS,0.35,210,212,210,210,253,CONTINUOUS,0.35,210,212,210,210,253,V-CONTINUOUS-SO,0.35,210,212,210,210,253,CONTINUOUS,,,3108,548,,
TERREINAFSCHEIDING_KUNSTMATIG_HEKWERK_HOOG_BALLENVANGER,*,-,**,-,IE,-,TERREINAFSCHEIDING,_,KUNSTMATIG,_,HEKWERK,_,HOOG,_,BALLENVANGER,,,,,-,G,,,,,*-**-IE-TERREINAFSCHEIDING_KUNSTMATIG_HEKWERK_HOOG_BALLENVANGER-G,0.18,210,212,210,210,253,CONTINUOUS,0.35,210,212,210,210,253,CONTINUOUS,0.35,210,212,210,210,253,V-CONTINUOUS-SO,0.35,210,212,210,210,253,CONTINUOUS,,,3109,3108,,
TERREINAFSCHEIDING_KUNSTMATIG_HEKWERK_LAAG,*,-,**,-,IE,-,TERREINAFSCHEIDING,_,KUNSTMATIG,_,HEKWERK,_,LAAG,,,,,,,-,G,,,,,*-**-IE-TERREINAFSCHEIDING_KUNSTMATIG_HEKWERK_LAAG-G,0.18,210,212,210,210,253,CONTINUOUS,0.35,210,212,210,210,253,CONTINUOUS,0.35,210,212,210,210,253,V-CONTINUOUS-SO,0.35,210,212,210,210,253,CONTINUOUS,,,3110,548,,
TERREINAFSCHEIDING_KUNSTMATIG_HEKWERK_RASTER,*,-,**,-,IE,-,TERREINAFSCHEIDING,_,KUNSTMATIG,_,HEKWERK,_,RASTER,,,,,,,-,G,,,,,*-**-IE-TERREINAFSCHEIDING_KUNSTMATIG_HEKWERK_RASTER-G,0.18,30,32,30,30,253,IE-TERREINAFSCHEIDING_KUNSTMATIG-SO,0.35,30,32,30,30,253,IE-TERREINAFSCHEIDING_KUNSTMATIG-SO,0.35,30,32,30,30,253,V-IE-TERREINAFSCHEIDING_KUNSTMATIG-SO,0.35,30,32,30,30,253,IE-TERREINAFSCHEIDING_KUNSTMATIG-SO,,,549,548,,
TERREINAFSCHEIDING_KUNSTMATIG_MUUR,*,-,**,-,IE,-,TERREINAFSCHEIDING,_,KUNSTMATIG,_,MUUR,,,,,,,,,-,G,,,,,*-**-IE-TERREINAFSCHEIDING_KUNSTMATIG_MUUR-G,0.18,90,92,90,90,253,IE-TERREINAFSCHEIDING_KUNSTMATIG-SO,0.35,90,92,90,90,253,IE-TERREINAFSCHEIDING_KUNSTMATIG-SO,0.35,90,92,90,90,253,V-IE-TERREINAFSCHEIDING_KUNSTMATIG-SO,0.35,90,92,90,90,253,IE-TERREINAFSCHEIDING_KUNSTMATIG-SO,,,550,546,,
TERREINAFSCHEIDING_KUNSTMATIG_RASTERHEKWERK,*,-,**,-,IE,-,TERREINAFSCHEIDING,_,KUNSTMATIG,_,RASTERHEKWERK,,,,,,,,,-,G,,,,,*-**-IE-TERREINAFSCHEIDING_KUNSTMATIG_RASTERHEKWERK-G,0.18,20,22,20,20,253,IE-TERREINAFSCHEIDING_KUNSTMATIG-SO,0.35,20,22,20,20,253,IE-TERREINAFSCHEIDING_KUNSTMATIG-SO,0.35,20,22,20,20,253,V-IE-TERREINAFSCHEIDING_KUNSTMATIG-SO,0.35,20,22,20,20,253,IE-TERREINAFSCHEIDING_KUNSTMATIG-SO,,,547,546,,
TERREINAFSCHEIDING_KUNSTMATIG_SCHUTTING,*,-,**,-,IE,-,TERREINAFSCHEIDING,_,KUNSTMATIG,_,SCHUTTING,,,,,,,,,-,G,,,,,*-**-IE-TERREINAFSCHEIDING_KUNSTMATIG_SCHUTTING-G,0.18,90,92,90,90,253,IE-TERREINAFSCHEIDING_KUNSTMATIG-SO,0.35,90,92,90,90,253,IE-TERREINAFSCHEIDING_KUNSTMATIG-SO,0.35,90,92,90,90,253,V-IE-TERREINAFSCHEIDING_KUNSTMATIG-SO,0.35,90,92,90,90,253,IE-TERREINAFSCHEIDING_KUNSTMATIG-SO,,,551,546,,
TERREINAFSCHEIDING_NATUURLIJK,*,-,**,-,IE,-,TERREINAFSCHEIDING,_,NATUURLIJK,,,,,,,,,,,-,G,,,,,*-**-IE-TERREINAFSCHEIDING_NATUURLIJK-G,0.18,60,62,60,60,253,IE-TERREINAFSCHEIDING_NATUURLIJK-SO,0.35,60,62,60,60,253,IE-TERREINAFSCHEIDING_NATUURLIJK-SO,0.35,60,62,60,60,253,V-IE-TERREINAFSCHEIDING_NATUURLIJK-SO,0.35,60,62,60,60,253,IE-TERREINAFSCHEIDING_NATUURLIJK-SO,,,552,545,,
TERREINAFSCHEIDING_NATUURLIJK_HAAG,*,-,**,-,IE,-,TERREINAFSCHEIDING,_,NATUURLIJK,_,HAAG,,,,,,,,,-,G,,,,,*-**-IE-TERREINAFSCHEIDING_NATUURLIJK_HAAG-G,0.18,60,62,60,60,253,IE-TERREINAFSCHEIDING_NATUURLIJK-SO,0.35,60,62,60,60,253,IE-TERREINAFSCHEIDING_NATUURLIJK-SO,0.35,60,62,60,60,253,V-IE-TERREINAFSCHEIDING_NATUURLIJK-SO,0.35,60,62,60,60,253,IE-TERREINAFSCHEIDING_NATUURLIJK-SO,,,553,552,,
TERREINAFSCHEIDING_NATUURLIJK_HAAG MET RASTER,*,-,**,-,IE,-,TERREINAFSCHEIDING,_,NATUURLIJK,_,HAAG MET RASTER,,,,,,,,,-,G,,,,,*-**-IE-TERREINAFSCHEIDING_NATUURLIJK_HAAG MET RASTER-G,0.18,60,62,60,60,253,IE-TERREINAFSCHEIDING_NATUURLIJK-SO,0.35,60,62,60,60,253,IE-TERREINAFSCHEIDING_NATUURLIJK-SO,0.35,60,62,60,60,253,V-IE-TERREINAFSCHEIDING_NATUURLIJK-SO,0.35,60,62,60,60,253,IE-TERREINAFSCHEIDING_NATUURLIJK-SO,,,554,552,,
TERREINAFSCHEIDING_NATUURLIJK_HOUTWAL,*,-,**,-,IE,-,TERREINAFSCHEIDING,_,NATUURLIJK,_,HOUTWAL,,,,,,,,,-,G,,,,,*-**-IE-TERREINAFSCHEIDING_NATUURLIJK_HOUTWAL-G,0.18,60,62,60,60,253,IE-TERREINAFSCHEIDING_NATUURLIJK-SO,0.35,60,62,60,60,253,IE-TERREINAFSCHEIDING_NATUURLIJK-SO,0.35,60,62,60,60,253,V-IE-TERREINAFSCHEIDING_NATUURLIJK-SO,0.35,60,62,60,60,253,IE-TERREINAFSCHEIDING_NATUURLIJK-SO,,,555,552,,
WEERSTATION,*,-,**,-,IE,-,WEERSTATION,,,,,,,,,,,,,-,G/S,,,,SIE-WEERSTATION,*-**-IE-WEERSTATION-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3418,0,,
