omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje3,element,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
BOOM_BEVEERD_IN CONTAINER,*,_,**,_,GR,_,BOOM,_,BEVEERD,_,IN CONTAINER,_,,_,,_,,-,,-,G/S,,,,SGR-BOOM,*_**_GR_BOOM_BEVEERD_IN CONTAINER,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,,,4185,4181,,
BOOM_BEVEERD_IN CONTAINER_1E GROOTTE,*,_,**,_,GR,_,BOOM,_,BEVEERD,_,IN CONTAINER,_,1E GROOTTE,_,,_,,-,,-,G/S,,,,SGR-BOOM,*_**_GR_BOOM_BEVEERD_IN CONTAINER_1E GROOTTE,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,,,4186,4185,,
BOOM_BEVEERD_IN CONTAINER_2E GROOTTE,*,_,**,_,GR,_,BOOM,_,BEVEERD,_,IN CONTAINER,_,2E GROOTTE,_,,_,,-,,-,G/S,,,,SGR-BOOM,*_**_GR_BOOM_BEVEERD_IN CONTAINER_2E GROOTTE,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,,,4187,4185,,
BOOM_BEVEERD_IN CONTAINER_3E GROOTTE,*,_,**,_,GR,_,BOOM,_,BEVEERD,_,IN CONTAINER,_,3E GROOTTE,_,,_,,-,,-,G/S,,,,SGR-BOOM,*_**_GR_BOOM_BEVEERD_IN CONTAINER_3E GROOTTE,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,,,4188,4185,,
BOOM_BEVEERD_MET KLUIT,*,_,**,_,GR,_,BOOM,_,BEVEERD,_,MET KLUIT,_,,_,,_,,-,,-,G/S,,,,SGR-BOOM,*_**_GR_BOOM_BEVEERD_MET KLUIT,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,,,4189,4181,,
BOOM_BEVEERD_MET KLUIT_1E GROOTTE,*,_,**,_,GR,_,BOOM,_,BEVEERD,_,MET KLUIT,_,1E GROOTTE,_,,_,,-,,-,G/S,,,,SGR-BOOM,*_**_GR_BOOM_BEVEERD_MET KLUIT_1E GROOTTE,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,,,4190,4189,,
BOOM_BEVEERD_MET KLUIT_2E GROOTTE,*,_,**,_,GR,_,BOOM,_,BEVEERD,_,MET KLUIT,_,2E GROOTTE,_,,_,,-,,-,G/S,,,,SGR-BOOM,*_**_GR_BOOM_BEVEERD_MET KLUIT_2E GROOTTE,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,,,4191,4189,,
BOOM_BEVEERD_MET KLUIT_3E GROOTTE,*,_,**,_,GR,_,BOOM,_,BEVEERD,_,MET KLUIT,_,3E GROOTTE,_,,_,,-,,-,G/S,,,,SGR-BOOM,*_**_GR_BOOM_BEVEERD_MET KLUIT_3E GROOTTE,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,,,4192,4189,,
BOOM_BEVEERD_ZONDER KLUIT,*,_,**,_,GR,_,BOOM,_,BEVEERD,_,ZONDER KLUIT,_,,_,,_,,-,,-,G/S,,,,SGR-BOOM,*_**_GR_BOOM_BEVEERD_ZONDER KLUIT,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,,,4193,4181,,
BOOM_BEVEERD_ZONDER KLUIT_1E GROOTTE,*,_,**,_,GR,_,BOOM,_,BEVEERD,_,ZONDER KLUIT,_,1E GROOTTE,_,,_,,-,,-,G/S,,,,SGR-BOOM,*_**_GR_BOOM_BEVEERD_ZONDER KLUIT_1E GROOTTE,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,,,4194,4193,,
