omschrijving;status;underscore;discipline;underscore2;hoofdgroep;underscore3;object;underscore4;subobject01;underscore5;subobject02;underscore6;subobject03;underscore7;subobject04;underscore8;subobject05;streepje;bewerking;streepje3;element;streepje2;schaal;aobject;sobject;laagnaam;lw_b;kl_b;kl_b_a;kl_b_gd;kl_b_gn;kl_b_v;lt_b;lw_n;kl_n;kl_n_a;kl_n_gd;kl_n_gn;kl_n_v;lt_n;lw_v;kl_v;kl_v_a;kl_v_gd;kl_v_gn;kl_v_v;lt_v;lw_t;kl_t;kl_t_a;kl_t_gd;kl_t_gn;kl_t_v;lt_t;vrkl_kort;vrkl_lang;id_nummer;kind_van;objectURI;kind_vanURI
FUNDERING_SLAKKEN;*;-;**;-;VH;-;FUNDERING;_;SLAKKEN;;;;;;;;;;;-;G;;;;;*-**-VH-FUNDERING_SLAKKEN-G;0.18;7;252;7;7;254;CONTINUOUS;0.35;7;252;7;7;254;CONTINUOUS;0.25;7;252;7;7;254;V-CONTINUOUS-SO;0.25;7;252;7;7;254;CONTINUOUS;;;2500;2492;;
FUNDERING_SLAKKEN_AVI;*;-;**;-;VH;-;FUNDERING;_;SLAKKEN;_;AVI;;;;;;;;;-;G;;;;;*-**-VH-FUNDERING_SLAKKEN_AVI-G;0.18;7;252;7;7;254;CONTINUOUS;0.35;7;252;7;7;254;CONTINUOUS;0.25;7;252;7;7;254;V-CONTINUOUS-SO;0.25;7;252;7;7;254;CONTINUOUS;;;2501;2500;;
FUNDERING_SLAKKEN_HOOGOVEN;*;-;**;-;VH;-;FUNDERING;_;SLAKKEN;_;HOOGOVEN;;;;;;;;;-;G;;;;;*-**-VH-FUNDERING_SLAKKEN_HOOGOVEN-G;0.18;7;252;7;7;254;CONTINUOUS;0.35;7;252;7;7;254;CONTINUOUS;0.25;7;252;7;7;254;V-CONTINUOUS-SO;0.25;7;252;7;7;254;CONTINUOUS;;;2502;2500;;
FUNDERING_ZAND;*;-;**;-;VH;-;FUNDERING;_;ZAND;;;;;;;;;;;-;G;;;;;*-**-VH-FUNDERING_ZAND-G;0.18;7;252;7;7;254;CONTINUOUS;0.35;7;252;7;7;254;CONTINUOUS;0.25;7;252;7;7;254;V-CONTINUOUS-SO;0.25;7;252;7;7;254;CONTINUOUS;;;2503;2492;;
FUNDERING_ZANDCEMENTSTABILISATIE;*;-;**;-;VH;-;FUNDERING;_;ZANDCEMENTSTABILISATIE;;;;;;;;;;;-;G;;;;;*-**-VH-FUNDERING_ZANDCEMENTSTABILISATIE-G;0.18;7;252;7;7;254;CONTINUOUS;0.35;7;252;7;7;254;CONTINUOUS;0.25;7;252;7;7;254;V-CONTINUOUS-SO;0.25;7;252;7;7;254;CONTINUOUS;;;2504;2492;;
GEOTEXTIEL;*;-;**;-;VH;-;GEOTEXTIEL;;;;;;;;;;;;;-;G/S/A;;;AVH-GEOTEXTIEL;SVH-GEOTEXTIEL;*-**-VH-GEOTEXTIEL-G/S/A;0.18;60;62;60;60;254;CONTINUOUS;0.35;60;62;60;60;254;CONTINUOUS;0.25;60;62;60;60;254;ZZ-HIDDEN-SO;0.25;60;62;60;60;254;CONTINUOUS;;;2505;0;;
GESLOTENVERHARDING;*;-;**;-;VH;-;GESLOTENVERHARDING;;;;;;;;;;;;;-;G/S/A;;;AVH-GESLOTEN;SVH-GESLOTEN;*-**-VH-GESLOTENVERHARDING-G/S/A;0.18;10;12;10;10;132,132,132;CONTINUOUS;0.35;10;12;10;10;254;CONTINUOUS;0.25;10;12;10;10;254;V-CONTINUOUS-SO;0.25;10;12;10;10;254;CONTINUOUS;;;3342;0;;
GESLOTENVERHARDING_ASFALT;*;-;**;-;VH;-;GESLOTENVERHARDING;_;ASFALT;;;;;;;;;;;-;G/S/A;;;AVH-ASFALT;SVH-ASFALT;*-**-VH-GESLOTENVERHARDING_ASFALT-G/S/A;0.18;10;12;10;10;132,132,132;CONTINUOUS;0.35;10;12;10;10;253;CONTINUOUS;0.25;10;12;10;10;253;ZZ-HIDDEN-SO;0.25;10;12;10;10;253;CONTINUOUS;;;2464;3342;;
GESLOTENVERHARDING_ASFALT-TRAPSGEWIJSFREZEN;*;-;**;-;VH;-;GESLOTENVERHARDING;_;ASFALT;;;;;;;;;-;TRAPSGEWIJSFREZEN;-;G/S/A;;;AVH-ASFALT;SVH-ASFALT;*-**-VH-GESLOTENVERHARDING_ASFALT-TRAPSGEWIJSFREZEN-G;0.18;10;12;10;10;253;VH-TRAPSGEWIJSFREZEN-SO;0.25;10;12;10;10;253;VH-TRAPSGEWIJSFREZEN-SO;0.25;10;12;10;10;253;ZZ-HIDDEN-SO;0.25;10;12;10;10;253;VH-TRAPSGEWIJSFREZEN-SO;;;2944;2464;;
GESLOTENVERHARDING_ASFALT_COATING;*;-;**;-;VH;-;GESLOTENVERHARDING;_;ASFALT;_;COATING;;;;;;;;;-;G/S/A;;;AVH-ASFALT;SVH-ASFALT;*-**-VH-GESLOTENVERHARDING_ASFALT_COATING-G;0.18;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;CONTINUOUS;0.25;10;12;10;10;253;ZZ-HIDDEN-SO;0.25;10;12;10;10;253;CONTINUOUS;;;2941;2464;;
GESLOTENVERHARDING_ASFALT_DEKLAAG;*;-;**;-;VH;-;GESLOTENVERHARDING;_;ASFALT;_;DEKLAAG;;;;;;;;;-;G/S/A;;;AVH-ASFALT;SVH-ASFALT;*-**-VH-GESLOTENVERHARDING_ASFALT_DEKLAAG-G;0.18;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;CONTINUOUS;0.25;10;12;10;10;253;ZZ-HIDDEN-SO;0.25;10;12;10;10;253;CONTINUOUS;;;3014;2464;;
GESLOTENVERHARDING_ASFALT_FREESVAK;*;-;**;-;VH;-;GESLOTENVERHARDING;_;ASFALT;_;FREESVAK;;;;;;;;;-;G/S/A;;;AVH-ASFALT;SVH-ASFALT_FREESVAK;*-**-VH-GESLOTENVERHARDING_ASFALT_FREESVAK-G/S;0.18;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;CONTINUOUS;;;;;;;;;;;;;;;;;2465;2464;;
GESLOTENVERHARDING_ASFALT_FUNDERING;*;-;**;-;VH;-;GESLOTENVERHARDING;_;ASFALT;_;FUNDERING;;;;;;;;;-;G/S/A;;;AVH-ASFALT;SVH-ASFALT;*-**-VH-GESLOTENVERHARDING_ASFALT_FUNDERING-G;0.18;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;CONTINUOUS;0.25;10;12;10;10;253;ZZ-HIDDEN-SO;0.25;10;12;10;10;253;CONTINUOUS;;;3010;2464;;
