;;; File   : RTW_HATCH1.dat
;;; Functie: Tabel met alle RTW hatch

Posities:
POS_AANTHATCH      145
POS_HATCHNAAM      5
POS_HATCHLAYER     45
POS_HATCHLAYER1    75
POS_SCALE          105
POS_ROT            125
POS_INFO           145


    5                                       45                            75                            105                 125                 145
    am-rooster                              *                             *                             20                  0                   algemene rooster 20 mm

*Grondprofiel                                                                                                                                   33 
    gp-klei                                 go-**-**                      *                             1                   0                   klei
    gp-klei-z-z-k                           go-**-**                      *                             1                   0                   klei zandig of zandig klei
    gp-klei-s-k-z-p-h                       go-**-**                      *                             1                   0                   klei siltig tot klei zandig pl humeus
    gp-klei-z-p-zl                          go-**-**                      *                             1                   0                   klei zandig met pl zandlaagjes
    gp-klei-va-ve-vs                        go-**-**                      *                             1                   0                   klei vaak met veel veenstukjes
    gp-klei-s-p-pl                          go-**-**                      *                             1                   0                   klei siltig pl plantenresten
    gp-klei-z-p-d-zl                        go-**-**                      *                             1                   0                   klei zandig pl dunne zandlaagjes
    gp-klei-s-z-l                           go-**-**                      *                             1                   0                   klei siltig zandig (leem)
    gp-klei-siltig                          go-**-**                      *                             1                   0                   klei siltig
    gp-klei-s-z-zl                          go-**-**                      *                             1                   0                   klei siltig en zandig met zandlaagjes
    gp-zand                                 go-**-**                      *                             1                   0                   zand
    gp-zand-f-s-kl-p-kll                    go-**-**                      *                             1                   0                   zand fijn siltig of kleiig pl kleilaagjes
    gp-zand-f-s-p-e-sl-vs                   go-**-**                      *                             1                   0                   zand fijn siltig pl enkele siltlaagjes / veenstukjes
    gp-zand-kl-p-d-sl                       go-**-**                      *                             1                   0                   zand kleiig pl dunne siltlaagtjes
    gp-zand-f-fm-p-vs                       go-**-**                      *                             1                   0                   zand fijn / fijnmiddel pl veenstukjes
    gp-zand-fm-o-z-mg-p-g                   go-**-**                      *                             1                   0                   zand fijnmiddel overg zand middelgrof pl grindig
    gp-zand-f-s-kl                          go-**-**                      *                             1                   0                   zand fijn siltig en kleiig
    gp-zand-fijn-siltig                     go-**-**                      *                             1                   0                   zand fijn siltig
    gp-veen                                 go-**-**                      *                             1                   0                   veen
    gp-veen-of-veenkleiig                   go-**-**                      *                             1                   0                   veen of veenkleiig
    gp-grind                                go-**-**                      *                             1                   0                   grind
    gp-grind-zandig                         go-**-**                      *                             1                   0                   grind zandig
    gp-zanderig-grind                       go-**-**                      *                             1                   0                   zanderig grind
    gp-vrij-te-benoemen1                    go-**-**                      *                             1                   0                   vrij te benoemen 1
    gp-vrij-te-benoemen2                    go-**-**                      *                             1                   0                   vrij te benoemen 2
    gp-vrij-te-benoemen3                    go-**-**                      *                             1                   0                   vrij te benoemen 3
    gp-vrij-te-benoemen4                    go-**-**                      *                             1                   0                   vrij te benoemen 4
    gp-vrij-te-benoemen5                    go-**-**                      *                             1                   0                   vrij te benoemen 5
    gp-vervuilde-gr-kl-1                    go-**-**                      *                             1                   0                   vervuilde grond kl 1
    gp-vervuilde-gr-kl-2                    go-**-**                      *                             1                   0                   vervuilde grond kl 2
    gp-vervuilde-gr-kl-3                    go-**-**                      *                             1                   0                   vervuilde grond kl 3
    gp-vervuilde-gr-kl-4                    go-**-**                      *                             1                   0                   vervuilde grond kl 4
    gp-gp-grondverbetering                  go-**-**                      *                             1                   0                   grondverbetering

*Materiaal in aanzicht                                                                                                                          4 
    ma-tegelwerk                            bv-**-**                      *                             1                   0                   tegelwerk
    ma-beton-aanzicht                       bv-**-**                      *                             1                   0                   beton aanzicht
    ma-beton-stortvlak                      bv-**-**                      *                             1                   0                   beton stortvlak
    ma-spuitbeton                           bv-**-**                      *                             1                   0                   spuitbeton

*Waterbouw                                                                                                                                      13 
    wb-streep                               wb-**-**                      *                             1                   0                   algemene arcering streep
    wb-streep                               wb-**-**                      *                             2                   0                   algemene arcering streep 2 mm
    wb-streep                               wb-**-**                      *                             5                   0                   algemene arcering streep 5 mm
    wb-streep                               wb-**-**                      *                             10                  0                   algemene arcering streep 10 mm
    wb-streep                               wb-**-**                      *                             20                  0                   algemene arcering streep 20 mm
    wb-rooster                              wb-**-**                      *                             1                   0                   algemene rooster
    wb-rooster                              wb-**-**                      *                             2                   0                   algemene rooster 2 mm
    wb-rooster                              wb-**-**                      *                             5                   0                   algemene rooster 5 mm
    wb-rooster                              wb-**-**                      *                             10                  0                   algemene rooster 10 mm
    wb-rooster                              wb-**-**                      *                             20                  0                   algemene rooster 20 mm
    wb-bestorting                           wb-**-**                      *                             2000                0                   stortsteen
    wb-basaltonverharding                   wb-**-**                      *                             1                   0                   basalton
    wb-basaltverharding                     wb-**-**                      *                             1000                0                   basaltverharding

*Solid                                                                                                                                          2 
    solid                                   *                             *                             1                   0                   solid
    solid                                   mk-**-**                      *                             1                   0                   solid-markeringen

einde
