;;; File   : RTW_rtwbreed_lay_defkl.dat gegenereerd uit RTW.mdb
;;; Functie: Tabel met alle RTW lagen tbv RTW toolbox discipline: rtwbreed

Posities:
POS_AANTLAAGNAAM   140
POS_LAAGNAAM       5
POS_LW_BS          45
POS_KL_BS          50
POS_LT_BS          60
POS_LW_NW          75
POS_KL_NW          80
POS_LT_NW          90
POS_LW_VW          105
POS_KL_VW          110
POS_LT_VW          120
POS_OMSCHR         140


    5                                       45   50        60             75   80        90             105  110       120                 140

*Afscheidingen                                                                                                                             21 
11  dp-grondwerk                            18   8         continuous     35   7         continuous     35   7         continuous          Grondwerk, cunet, ontgravingen
12  dp-gws                                  18   153       continuous     35   150       continuous     35   150       continuous          Grondwaterstand
13  dp-kleiaanvarc                          0    #         continuous     18   7         continuous     0    #         continuous          Arcering klei aanvullen
14  dp-kleiontgrarc                         0    #         continuous     0    #         continuous     18   7         continuous          Arcering klei ontgraven
15  dp-kunstwerk                            18   173       continuous     35   170       continuous     35   170       continuous          Kunstwerk
16  dp-maaiveld                             18   93        continuous     35   90        continuous     35   90        continuous          Maaiveld
17  dp-markering                            18   8         continuous     35   7         continuous     35   7         continuous          Markering
18  dp-matenbalk                            25   7         continuous     25   7         continuous     25   7         continuous          Matenbalk
19  dp-NAPlijn                              18   8         rtwcenter50    0    #         rtwcenter50    0    #         rtwcenter50         NAPlijn
20  dp-overhoogte                           18   93        continuous     35   90        continuous     35   90        continuous          Overhoogte
21  dp-portaal                              18   8         continuous     35   7         continuous     35   7         continuous          Portalen
22  dp-rijksgr                              18   8         continuous     35   7         continuous     0    #         continuous          Rijksgrens
23  dp-rijrichting                          18   8         continuous     18   7         continuous     0    #         continuous          Rijrichting
24  dp-signalering                          18   8         continuous     35   7         continuous     35   7         continuous          Signalering/drips
25  dp-taludbekl                            18   8         continuous     35   7         continuous     35   7         continuous          Talud bekleding
26  dp-teelontgrarc                         0    #         continuous     0    #         continuous     18   7         continuous          Arcering teelaarde ontgraven
27  dp-uithouder                            18   8         continuous     35   7         continuous     35   7         continuous          Uithouder
28  dp-verharding                           18   8         continuous     35   7         continuous     35   7         continuous          Verharding
29  dp-verkanting                           18   8         continuous     35   7         continuous     35   7         continuous          Verkanting
30  dp-verlichting                          18   8         continuous     35   7         continuous     35   7         continuous          Verlichting
31  dp-bekledingarc                         0    #         continuous     18   7         continuous     0    #         continuous          Arcering bekledingsgrond aanvullen
32  dp-waterhuish                           18   133       continuous     35   130       continuous     35   130       continuous          Waterhuishouding
33  dp-waterlijn                            18   133       waterlijn      35   130       waterlijn      0    #         waterlijn           Waterlijn
34  dp-zandaanvarc                          0    #         continuous     18   7         continuous     0    #         continuous          Arcering zand aanvullen
35  dp-zandontgrarc                         0    #         continuous     0    #         continuous     18   7         continuous          Arcering zand ontgraven
36  dp-zettingsl                            18   93        continuous     35   90        continuous     0    #         continuous          Zettingslijn
37  dp-contour_z                            18   8         continuous     35   7         continuous     35   7         continuous          Algemeen-contouren zichtbaar
38  dp-contour_nz                           18   8         rtwdashed50    35   7         rtwdashed50    35   7         rtwdashed50         Algemeen-contouren niet zichtbaar
39  dp-afbreeklijn                          18   8         rtwcenter50    18   8         rtwcenter50    18   8         rtwcenter50         Algemeen-afbreeklijnen
40  dp-hartlijn                             18   13        rtwcenter50    18   10        rtwcenter50    18   10        rtwcenter50         Algemeen-hartlijnen
41  dp-hulpgeometrie                        18   53        continuous     35   50        continuous     35   50        continuous          Algemeen-hulpgeometrie
42  dp-arcering                             18   254       continuous     18   253       continuous     18   253       continuous          Arcering
43  ------------------------------------------
44  dp-bm                                   25   7         continuous     25   7         continuous     25   7         continuous          Bemating
45  dp-t18                                  18   7         continuous     18   7         continuous     18   7         continuous          Tekst 1.80 mm
46  dp-t25                                  25   7         continuous     25   7         continuous     25   7         continuous          Tekst 2.50 mm
47  dp-t35                                  35   7         continuous     35   7         continuous     35   7         continuous          Tekst 3.50 mm
48  dp-t50                                  50   7         continuous     50   7         continuous     50   7         continuous          Tekst 5.00 mm
49  dp-t70                                  70   7         continuous     70   7         continuous     70   7         continuous          Tekst 7.00 mm

*Faunavoorzieningen                                                                                                                        20 
1   fv-amfibie                              18   8         continuous     35   7         continuous     35   7         continuous          Amfibie
2   fv-ecolvz                               18   93        continuous     35   90        continuous     35   90        continuous          Ecologische verbindingszone
3   fv-faunatunnel                          18   8         continuous     35   7         continuous     35   7         continuous          Faunatunnel
4   fv-natvroever                           18   93        continuous     35   90        continuous     35   90        continuous          Natuurvriendelijke oever
5   fv-overig                               18   8         continuous     18   7         continuous     18   8         continuous          Overig
6   fv-wildraster                           18   8         continuous     35   7         continuous     35   7         continuous          Wildraster
7   fv-wildrooster                          18   8         continuous     35   7         continuous     35   7         continuous          Wildrooster
8   fv-contour_z                            18   8         continuous     35   7         continuous     35   7         continuous          Algemeen-contouren zichtbaar
9   fv-contour_nz                           18   8         rtwdashed50    35   7         rtwdashed50    35   7         rtwdashed50         Algemeen-contouren niet zichtbaar
10  fv-hartlijn                             18   13        rtwcenter50    18   10        rtwcenter50    18   10        rtwcenter50         Algemeen-hartlijnen
11  fv-afbreeklijn                          18   8         rtwcenter50    18   8         rtwcenter50    18   8         rtwcenter50         Algemeen-afbreeklijnen
12  fv-hulpgeometrie                        18   53        continuous     35   50        continuous     35   50        continuous          Algemeen-Hulpgeometrie
13  fv-arcering                             18   254       continuous     18   253       continuous     18   253       continuous          Arcering
14  ------------------------------------------
15  fv-bm                                   25   7         continuous     25   7         continuous     25   7         continuous          Bemating
16  fv-t18                                  18   7         continuous     18   7         continuous     18   7         continuous          Tekst 1.80 mm
17  fv-t25                                  25   7         continuous     25   7         continuous     25   7         continuous          Tekst 2.50 mm
18  fv-t35                                  35   7         continuous     35   7         continuous     35   7         continuous          Tekst 3.50 mm
19  fv-t50                                  50   7         continuous     50   7         continuous     50   7         continuous          Tekst 5.00 mm
20  fv-t70                                  70   7         continuous     70   7         continuous     70   7         continuous          Tekst 7.00 mm

*Grondaankoop                                                                                                                              18 
1   ga-aankoopgrens                         18   8         continuous     35   7         continuous     35   7         continuous          Aankoopgrens
2   ga-kda                                  18   8         continuous     35   7         continuous     35   7         continuous          Kadastrale aanduiding
3   ga-opstallen                            18   8         continuous     35   7         continuous     35   7         continuous          Opstallen
4   ga-overhoekgrens                        18   8         continuous     35   7         continuous     35   7         continuous          Overhoekgrens teveel aan te kopen grond
5   ga-verkoopgrens                         18   8         continuous     35   7         continuous     35   7         continuous          Verkoopgrens
6   ga-contour_z                            18   8         continuous     35   7         continuous     35   7         continuous          Algemeen-contouren zichtbaar
7   ga-contour_nz                           18   8         rtwdashed50    35   7         rtwdashed50    35   7         rtwdashed50         Algemeen-contouren niet zichtbaar
8   ga-hartlijn                             18   13        rtwcenter50    18   10        rtwcenter50    18   10        rtwcenter50         Algemeen-hartlijnen
9   ga-afbreeklijn                          18   8         rtwcenter50    18   8         rtwcenter50    18   8         rtwcenter50         Algemeen-afbreeklijnen
10  ga-hulpgeometrie                        18   53        continuous     35   50        continuous     35   50        continuous          Algemeen-Hulpgeometrie
11  ga-arcering                             18   254       continuous     18   253       continuous     18   253       continuous          Arcering
12  ------------------------------------------
13  ga-bm                                   25   7         continuous     25   7         continuous     25   7         continuous          Bemating
14  ga-t18                                  18   7         continuous     18   7         continuous     18   7         continuous          Tekst 1.80 mm
15  ga-t25                                  25   7         continuous     25   7         continuous     25   7         continuous          Tekst 2.50 mm
16  ga-t35                                  35   7         continuous     35   7         continuous     35   7         continuous          Tekst 3.50 mm
17  ga-t50                                  50   7         continuous     50   7         continuous     50   7         continuous          Tekst 5.00 mm
18  ga-t70                                  70   7         continuous     70   7         continuous     70   7         continuous          Tekst 7.00 mm

*Grondkerende constructies                                                                                                                 23 
1   gk-betoniet                             18   7         betoniet       35   7         betoniet       35   7         betoniet_v          Betoniet
