;;; File   : RTW_wegen_lay_defkl.dat gegenereerd uit RTW.mdb
;;; Functie: Tabel met alle RTW lagen tbv RTW toolbox discipline: wegen

Posities:
POS_AANTLAAGNAAM   140
POS_LAAGNAAM       5
POS_LW_BS          45
POS_KL_BS          50
POS_LT_BS          60
POS_LW_NW          75
POS_KL_NW          80
POS_LT_NW          90
POS_LW_VW          105
POS_KL_VW          110
POS_LT_VW          120
POS_OMSCHR         140


    5                                       45   50        60             75   80        90             105  110       120                 140

*Bewegwijzering                                                                                                                            24 
84  li-tlp-voeding                          18   13        elec           35   10        elec           35   12        elec_v              Telpunt Voedingskabel
85  li-tlp-signaal                          18   93        signa          35   90        signa          35   92        signa_v             Telpunt Signaalkabel
86  li-tlp-aarding                          18   9         continuous     35   7         continuous     35   8         continuous          Telpunt Aarding
87  li-tlp-mantelbuis                       18   9         continuous     35   7         continuous     35   8         continuous          Telpunt Mantelbuis of koker
88  li-tlp-kabelkoker                       18   9         continuous     35   7         continuous     35   8         continuous          Telpunt Kabelkoker
89  li-tlp-kabelgoot                        18   9         continuous     35   7         continuous     35   8         continuous          Telpunt Kabelgoot
90  li-tlp-kast                             18   9         continuous     35   7         continuous     35   8         continuous          Telpunt Kast
91  li-tlp-laskast                          18   9         continuous     35   7         continuous     35   8         continuous          Telpunt Laskast
92  li-tlp-bundel                           18   9         continuous     35   7         continuous     35   8         continuous          Telpunt bundel van kabels met kabelvlag
93  li-tlp-put                              18   9         continuous     35   7         continuous     35   8         continuous          Telpunt put
94  li-tlp-overig                           18   9         continuous     35   7         continuous     35   8         continuous          Telpunt overige onderdelen
95  li-tlp-lus                              18   9         continuous     35   7         continuous     35   8         continuous          Telpunt detectielus
96  li-wem-voeding                          18   13        elec           35   10        elec           35   12        elec_v              Weight&Motion Voedingskabel
97  li-wem-signaal                          18   93        signa          35   90        signa          35   92        signa_v             Weight&Motion Signaalkabel
98  li-wem-aarding                          18   9         continuous     35   7         continuous     35   8         continuous          Weight&Motion Aarding
99  li-wem-mantelbuis                       18   9         continuous     35   7         continuous     35   8         continuous          Weight&Motion Mantelbuis of koker
100 li-wem-kabelkoker                       18   9         continuous     35   7         continuous     35   8         continuous          Weight&Motion Kabelkoker
101 li-wem-kabelgoot                        18   9         continuous     35   7         continuous     35   8         continuous          Weight&Motion Kabelgoot
102 li-wem-kast                             18   9         continuous     35   7         continuous     35   8         continuous          Weight&Motion Kast
103 li-wem-laskast                          18   9         continuous     35   7         continuous     35   8         continuous          Weight&Motion Laskast
104 li-wem-bundel                           18   9         continuous     35   7         continuous     35   8         continuous          Weight&Motion bundel van kabels met kabelvlag
105 li-wem-put                              18   9         continuous     35   7         continuous     35   8         continuous          Weight&Motion put
106 li-wem-overig                           18   9         continuous     35   7         continuous     35   8         continuous          Weight&Motion overige onderdelen
107 li-wem-lus                              18   9         continuous     35   7         continuous     35   8         continuous          Weight&Motion detectielus
108 li-moni-voeding                         18   13        elec           35   10        elec           35   12        elec_v              Monitoring Voedingskabel
